,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Mamíferos marin",4.09848881,1.00000000,0.33800000,0.33800000,3.08647203,12.5430698,0.31674671,0.24606989,,
2,Escómbridos,4.08904982,1.00000000,1.84381604,1.84381604,2.15966797,5.23847008,0.44075149,0.41227081,,
3,Picudos,4.03363085,1.00000000,0.82400000,0.82400000,2.26227903,7.37969494,0.79393178,0.30655459,,
4,Tiburones,3.79112911,1.00000000,1.50023103,1.50023103,0.63852102,5.23376513,0.96406329,0.12200030,,
5,Sierra,3.71520495,1.00000000,4.78034496,4.78034496,1.34238994,4.52981615,0.66249949,0.29634541,,
6,"Anguilas y more",3.66944790,0.89999998,1.05254197,0.94728768,1.18891704,6.36451721,0.76255941,0.18680400,,
7,Synodontidos,3.64977288,0.80000001,0.49226999,0.39381599,1.54740405,8.11403847,0.83254349,0.19070700,,
8,Carángidos,3.62717891,1.00000000,2.15490198,2.15490198,1.04200101,6.38665819,0.89772129,0.16315280,,
9,Dorado,3.61527491,1.00000000,1.54900002,1.54900002,1.04409802,4.85791779,0.88347352,0.21492711,,
10,"Aves marinas",3.54793096,0.20000000,0.13400000,0.026799999,6.78069115,71.3748627,0.04329454,0.09500111,,
11,"Adultos Lutjanu",3.16874099,0.89999998,0.51976502,0.46778849,0.69325840,4.55499220,0.87658048,0.15219750,,
12,"Juveniles Lutja",3.15504098,0.69999999,0.21054401,0.14738080,1.04111397,3.45661712,0.85780847,0.30119449,,
13,"Tortugas marina",3.14475799,1.00000000,2.54099989,2.54099989,0.13126589,4.14196587,0.61809862,0.03169169,,
14,Serranidos,3.10732698,0.89999998,1.58408594,1.42567694,1.60158801,5.65512085,0.67062819,0.28321019,,
15,"Otros peces",3.07785797,0.89999998,0.69044000,0.62139601,1.35952699,11.0523500,0.79020637,0.12300800,,
16,Sciánidos,3.05246210,0.69999999,4.12674713,2.88872290,1.51798999,10.1531801,0.72333568,0.14950880,,
17,Gasterosteidos,3.02993608,0.80000001,3.10544491,2.48435593,0.69013101,4.10048580,0.88679010,0.16830470,,
18,Haemúlidos,2.99687910,0.80000001,1.25333798,1.00267005,1.50318003,5.50039911,0.69632697,0.27328560,,
19,Tetraodóntidos,2.91819811,0.80000001,7.97404194,6.37923384,1.73159397,4.25770092,0.98896390,0.40669689,,
20,Sardinas,2.81729198,1.00000000,36.9119110,36.9119110,1.60853302,12.9143801,0.90151417,0.12455360,,
21,Gerreidos,2.78829789,0.69999999,0.20622399,0.14435680,1.08318400,11.4028101,0.96946120,0.09499273,,
22,Ophidiidos,2.71867609,0.80000001,5.67643404,4.54114723,1.11698103,8.76247978,0.88425118,0.12747321,,
23,Rayas,2.70660806,0.89999998,22.7813797,20.5032406,0.54810250,1.96714306,0.28953651,0.27862871,,
24,Pleuronéctidos,2.70219994,0.89999998,17.1445007,15.4300499,0.84639931,2.62149000,0.60040712,0.32286951,,
25,Pulpo,2.69077492,0.50000000,6.25320005,3.12660003,1.02543998,3.05828309,0.95516521,0.33529919,,
26,"Otros lutjánido",2.63902712,0.89999998,0.53380197,0.48042181,0.65215248,6.22235680,0.83060789,0.10480800,,
27,"Otros crustáceo",2.10760999,0.89999998,0.23244300,0.20919870,2.84353805,9.25198746,0.77330071,0.30734351,,
28,Peneidos,2.10339999,0.69999999,0.59856802,0.41899759,4.71777821,19.2823906,0.92551190,0.24466769,,
29,Estomatópodos,2.10246491,0.69999999,0.74990112,0.52493072,4.11115694,8.41480732,0.51374233,0.48856220,,
30,Moluscos,2.09797597,0.89999998,4.23708010,3.81337190,3.09197688,6.49837780,0.67826051,0.47580749,,
31,"Otros macroinve",2.06748796,0.69999999,0.39336100,0.27535269,0.81357878,6.54380894,0.90678501,0.12432800,,
32,Equinodermos,2.05345106,1.00000000,1.58389294,1.58389294,0.96212822,4.01739979,0.72287858,0.23949030,,
33,Zooplancton,2.03324795,1.00000000,27.0930004,27.0930004,23.5784302,64.1778488,0.77105927,0.36739200,,
34,Infauna,2.03040791,1.00000000,13.7384501,13.7384501,4.41634607,19.7677307,0.80983430,0.22341190,,
35,Braquiuros,2.01754689,0.89999998,25.4999294,22.9499397,4.07788992,9.36695480,0.51294029,0.43534851,,
36,Fitoplancton,1.00000000,1.00000000,40.9609985,40.9609985,71.0188828,,0.61456198,,,
37,"Peces muertos",1.00000000,1.00000000,2.15700006,2.15700006,,,0.89729738,,,
38,Detritus,1.00000000,1.00000000,,,,,0.29248360,,,
