,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,6.40000010,6.40000010,7691.57177734,,0.50000000,,,
2,Periphyton,1.00000000,1.00000000,329.000000,329.000000,5.40999985,,0.43914151,,,
3,Oysters,2.09999990,1.00000000,387.000000,387.000000,1.52999997,35.0000000,0.95045960,0.04371428,,
4,"Herbivorous zooplankton",2.00000000,1.00000000,479.10479736,479.10479736,18.0000000,93.0000000,0.94999999,0.19354840,,
5,"Carnivorous zooplankton",2.90000010,1.00000000,222.53979492,222.53979492,2.90000010,33.0000000,0.94999999,0.08787879,,
6,shrimp,2.46002007,1.00000000,103.25849915,103.25849915,1.79999995,19.0000000,0.94999993,0.09473684,,
7,Crabs,3.11626005,1.00000000,33.17304993,33.17304993,1.20000005,11.6000004,0.94999993,0.10344830,,
8,Polychaetes,2.18199992,1.00000000,69.19734192,69.19734192,5.80000019,24.2000008,0.94999993,0.23966940,,
9,"Herbivorous fish",2.00000000,1.00000000,186.14340210,186.14340210,2.29999995,6.50000000,0.94999999,0.35384610,,
10,"Zooplanktivorous fish",2.92000103,1.00000000,38.14923096,38.14923096,1.89999998,5.00000000,0.94999999,0.38000000,,
11,"Benthic-feeding fish",3.19774389,1.00000000,191.25540161,191.25540161,1.00000000,2.70000005,0.94999999,0.37037039,,
12,"Piscivorous fish",3.54986501,1.00000000,61.05263901,61.05263901,0.89999998,2.09999990,0.94999999,0.42857140,,
13,Detritus,1.00000000,1.00000000,486.000000,486.000000,,,0.89767861,,,
