,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Marine mammals",4.15594816,1.00000000,0.0099999998,0.0099999998,,0.039999999,12.4600000,0.00000000,0.00321027,,
2,"Coastal birds",3.44302392,1.00000000,0.0099999998,0.0099999998,,0.28000000,67.0000000,0.00000000,0.00417911,,
,Meagre,,,,,,,,,,,
3,"Meagre ad",3.94440889,1.00000000,0.12000000,0.12000000,0.20999999,,2.09999990,0.65654367,0.09999998,,
4,"Meagre juv",3.80219412,1.00000000,0.0000533437,0.0000533437,0.30000001,,17.8841209,0.97424990,0.01677466,,
5,Mullets,2.09539008,1.00000000,0.41999999,0.41999999,,0.80000001,8.22000027,0.79374790,0.09732360,,
6,"Pelagic L",3.83999896,1.00000000,3.42000008,3.42000008,,0.95999998,5.40000010,0.90040070,0.17777780,,
7,Mackerel,3.19838500,1.00000000,1.45000005,1.45000005,,0.44999999,3.00000000,0.73503453,0.15000001,,
8,Sardine,2.90000010,1.00000000,11.7900000,11.7900000,,0.64999998,4.33333302,0.77039200,0.15000001,,
9,Sardinelles,2.77777791,1.00000000,18.0000000,18.0000000,,0.99000001,7.65000010,0.78467733,0.12941180,,
10,"Horse mackerels",3.23172998,1.00000000,10.00000000,10.00000000,,0.72000003,3.59999990,0.84406900,0.20000000,,
11,"Coastal selacians",3.64224195,1.00000000,1.24000001,1.24000001,,0.30000001,2.00000000,0.01459141,0.15000001,-0.061999999,-0.05000000
12,"Coastal M",3.04715109,1.00000000,0.82999998,0.82999998,,0.57999998,2.90000010,0.85811383,0.20000000,,
13,"Coastal S",3.12336802,1.00000000,4.21000004,4.21000004,,0.62000000,3.09999990,0.95078897,0.20000000,,
,Croakers,,,,,,,,,,,
14,"Croakers ad",3.65882397,1.00000000,0.077000000,0.077000223,0.60000002,,3.84999490,0.75448197,0.15584441,,
15,"Croakers juv",3.23003793,1.00000000,0.0035229570,0.0035229570,1.16999996,,9.94020653,0.70612550,0.11770380,,
,Seabreams,,,,,,,,,,,
16,"Seabreams ad",3.15057206,1.00000000,1.69000006,1.69000006,0.47999999,,4.69999790,0.88373798,0.10212770,,
17,"Seabreams juv.",3.14113688,1.00000000,0.012495810,0.012495810,0.75999999,,21.0728703,0.88443619,0.03606533,,
,Catfish,,,,,,,,,,,
18,"Catfish ad",3.47663093,1.00000000,0.60000002,0.60000068,0.34000000,,4.09999418,0.22568600,0.08292695,,
19,"Catfish juv",3.04517698,1.00000000,0.0016645950,0.0016645950,0.57999998,,22.3271809,0.78017539,0.02597730,,
20,"Shelf selacians",4.06237602,1.00000000,0.20000000,0.20000000,,0.23999999,1.60000002,0.78716302,0.15000001,,
21,"Shelf L",4.07734585,1.00000000,0.36000001,0.36000001,,0.47000000,3.34999990,0.46728781,0.14029850,,
22,"Shelf M",3.23902798,1.00000000,1.54999995,1.54999995,,0.56999999,6.19999981,0.90772623,0.09193549,,
,Groupers,,,,,,,,,,,
23,"Groupers ad",3.77894092,1.00000000,0.11000000,0.11000000,0.43000001,,3.15000010,0.93827230,0.13650790,-0.0055000000,-0.04999999
24,"Grouper juv",3.53102112,1.00000000,0.0003747143,0.0003747143,0.44000000,,16.1936302,0.53646928,0.02717118,-0.0000187357,-0.04999999
,Sparids,,,,,,,,,,,
25,"Sparids ad",2.96328712,1.00000000,1.28999996,1.28999996,0.44000000,,2.36000299,0.87066478,0.18644039,,
26,"Sparids juv",2.59797406,1.00000000,0.010739030,0.010739030,0.86000001,,9.79051590,0.93885088,0.08784011,,
27,Scianids,3.41808891,1.00000000,0.22000000,0.22000000,,0.28999999,4.25000000,0.66533512,0.06823529,-0.011000000,-0.05000000
28,"Shelf soles",3.30665898,1.00000000,0.34999999,0.34999999,,0.57999998,2.90000010,0.88180453,0.20000000,,
29,"Shelf S",3.05070090,1.00000000,6.19500017,6.19500017,,0.81999999,7.59999990,0.94985050,0.10789470,,
30,"Octopus vulgaris",3.15155292,1.00000000,1.37000000,1.37000000,,1.39999998,4.66666698,0.63220417,0.30000001,-0.041099999,-0.03000000
31,Cephalopods,3.56235194,1.00000000,1.00000000,1.00000000,,1.20000005,4.00000000,0.83864409,0.30000001,-0.029999999,-0.03000000
32,"BA L crustaceans",2.43264294,0.19000000,48.0000000,9.11999989,,1.44000006,7.19999981,0.94633508,0.20000000,,
33,"BA molluscs",2.05263209,0.19000000,94.0000076,17.8600006,,1.50000000,16.66666985,0.95489877,0.090000004,,
34,"BA worms",2.02999997,0.19000000,28.0000000,5.32000017,,3.00000000,33.33332825,0.83862698,0.090000004,,
35,"BA crustaceans",2.09999990,0.19000000,6.00000000,1.13999999,,2.40000010,12.00000000,0.99592698,0.20000000,,
36,"BA other inverts",2.20740008,0.19000000,3.00000000,0.56999999,,1.79999995,9.00000000,0.88506508,0.20000000,,
37,"BA meiobenthos",2.00000000,0.19000000,11.0000000,2.08999991,,9.00000000,99.99999237,0.95227098,0.090000004,,
38,"shelf L crustaceans",2.52372599,0.81000000,10.00000000,8.10000038,,1.50000000,7.50000000,0.73247570,0.20000000,,
39,"shelf molluscs",2.00000000,0.81000000,32.3600006,26.2115993,,1.50000000,16.66666985,0.49971491,0.090000004,,
40,"shelf worms",2.00099993,0.81000000,39.2200012,31.7681999,,3.00000000,33.0000000,0.40917680,0.09090909,,
