,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Phytoplankton- Primary Producers",1.00000000,1.00000000,20.0454998,20.0454998,212.111099,,0.46677610,,,
2,Bacteria,2.00000000,1.00000000,7.15777779,7.15777779,91.2500076,380.208191,0.85425371,0.24000010,,
3,Microzooplankton,2.33307910,1.00000000,4.72086000,4.72086000,72.0000076,242.424301,0.84843570,0.29699999,,
4,"Small copepods",2.25764108,1.00000000,5.55002499,5.55002499,66.5315170,127.750000,0.63247299,0.52079457,,
5,"Large Copepods",2.49300194,1.00000000,4.51180410,4.51180410,75.6613007,109.500000,0.82927930,0.69097078,,
6,"Gelatinous Zooplankton",3.29181194,1.00000000,0.23418030,0.23418030,40.0000000,146.000000,0.90004891,0.27397260,,
7,Micronekton,2.91485000,1.00000000,3.49570489,3.49570489,14.2500000,145.050995,0.56043398,0.09824131,,
8,Mesopelagics,3.28665090,1.00000000,0.18141110,0.18141110,0.95037627,1.82500005,0.90528673,0.52075410,,
9,"Macrobenthos- polychaetes",2.38846397,1.00000000,20.9542694,20.9542694,2.50000000,17.5000000,0.76977038,0.14285710,,
10,"Macrobenthos- crustaceans",2.63565993,1.00000000,5.55819082,5.55819082,3.00000000,21.0000000,0.76395518,0.14285710,,
11,"Macrobenthos- molluscs",2.24035311,1.00000000,32.8851585,32.8851585,2.00000000,14.0000000,0.74238861,0.14285710,,
12,"Macrobenthos- other",2.39485693,1.00000000,32.4465408,32.4465408,2.00000000,18.0000000,0.90016419,0.11111110,,
13,"Megabenthos- filterers",2.07999992,1.00000000,4.42575598,4.42575598,5.00000000,19.0000000,0.89925599,0.26315790,,
14,"Megabenthos- other",2.96254897,1.00000000,3.50773001,3.50773001,1.99667096,18.0000000,0.89764988,0.11092620,,
15,"Shrimp et al.",2.69975090,1.00000000,0.17840220,0.17840220,2.00000000,5.00000000,0.83963847,0.40000001,,
16,"Larval-juv fish- all",3.25985599,1.00000000,0.16565990,0.16565990,21.0000000,45.0000000,0.80168152,0.46666670,,
17,"Small Pelagics- commercial",3.66370797,1.00000000,5.73840523,5.73840523,0.36962181,2.00000000,0.91265368,0.18481091,,
18,"Small Pelagics- other",3.27571893,1.00000000,2.49416208,2.49416208,0.95037627,2.00000000,0.86502439,0.47518811,,
19,"Small Pelagics- squid",3.89812207,1.00000000,1.17982900,1.17982900,0.95037627,2.75000000,0.96012980,0.34559140,,
20,"Small Pelagics- anadromous",3.47235799,1.00000000,0.50700003,0.50700003,0.42498091,2.00000000,0.99462521,0.21249050,,
21,"Medium Pelagics- (piscivores & other)",4.50352001,1.00000000,0.24904020,0.24904020,0.44999999,2.03999996,0.89122951,0.22058821,,
22,"Demersals- benthivores",3.79275203,1.00000000,3.50986910,3.50986910,0.44999999,0.89999998,0.89821398,0.50000000,,
23,"Demersals- omnivores",3.59093308,1.00000000,2.30639005,2.30639005,0.44999999,0.80000001,0.89999980,0.56250000,,
24,"Demersals- piscivores",4.30521584,1.00000000,1.98373306,1.98373306,0.44999999,1.14999998,0.89999998,0.39130431,,
25,"Sharks- coastal",4.39517498,1.00000000,0.039999999,0.039999999,0.10000000,1.46000004,0.88120162,0.06849315,,
26,"Sharks- pelagics",4.71078396,1.00000000,0.026864771,0.026864771,0.10000000,1.32006502,0.98617363,0.07575385,,
27,HMS,4.31427097,1.00000000,0.032000002,0.032000002,0.49917400,8.25354481,0.86565661,0.06047995,,
28,"Baleen Whales",3.67720604,1.00000000,0.16000000,0.16000000,0.038048189,4.15000010,0.18949699,0.00916824,,
29,Odontocetes,4.66611099,1.00000000,0.061650231,0.061650231,0.039999999,17.3600006,0.89999998,0.00230415,,
30,"Sea Birds",4.08415985,1.00000000,0.0029485940,0.0029485940,0.27500001,17.3425903,0.90000039,0.01585692,,
31,Discard,1.00000000,1.00000000,1.26865101,1.26865101,,,0.33521840,,0.93110901,0.73393631
32,Detritus-POC,1.00000000,1.00000000,30.0000000,30.0000000,,,0.80758917,,,
