,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Primary producers",1.00000000,1.00000000,102.458801,102.458801,84.5508118,,0.31563050,,,
2,"Sm. zooplankton",2.00000000,1.00000000,20.2000008,20.2000008,25.0000000,90.4000015,0.58689177,0.27654871,,
3,"Lg. zooplankton",2.17783499,1.00000000,56.30390930,56.30390930,6.00000000,25.0000000,0.94999993,0.23999999,,
4,Worms,2.00000000,1.00000000,21.96269035,21.96269035,2.00000000,22.2000008,0.94999999,0.09009009,,
5,"Other benthos",2.00000000,1.00000000,155.75619507,155.75619507,1.54999995,9.39999962,0.94999993,0.16489360,,
6,"Predatory echinoderms",2.79999995,1.00000000,2.51029611,2.51029611,1.10000002,4.44000006,0.94999993,0.24774770,,
7,Crabs,2.49160600,1.00000000,12.41436005,12.41436005,1.79999995,10.00000000,0.94999999,0.18000001,,
8,Shrimp,2.47732902,1.00000000,28.36879921,28.36879921,1.70000005,11.33333015,0.94999993,0.15000001,,
9,Lobsters,3.21404600,1.00000000,1.87613499,1.87613499,0.28200001,5.84999990,0.94999993,0.04820513,,
10,"Detrital feeders",2.10692692,1.00000000,0.32575351,0.32575351,0.55199999,7.16099977,0.94999999,0.07708421,,
11,"Sm. deep water bottom",3.41822410,1.00000000,3.05386806,3.05386806,0.35200000,6.16699982,0.94999999,0.05707800,,
12,"Lg. deep water bottom",3.56286502,1.00000000,0.22467110,0.22467110,0.27000001,2.98499990,0.94999999,0.09045227,,
13,"Lg. deep water comm.",3.99258804,1.00000000,0.10931910,0.10931910,0.53299999,4.46999979,0.94999999,0.11923940,,
14,"Sm. demersal",2.84429312,1.00000000,12.30198002,12.30198002,1.44500005,10.9569998,0.94999993,0.13187920,,
15,"Med. demersal",3.09690690,1.00000000,5.59070587,5.59070587,0.69000000,8.55799961,0.94999999,0.08062632,,
16,"Med. demersal comm.",3.22996998,1.00000000,1.85819995,1.85819995,1.25999999,7.92100000,0.96262419,0.15907080,,
17,"Lg. demersal",3.44807792,1.00000000,1.90000904,1.90000904,0.49399999,7.44999981,0.94999999,0.06630872,,
18,"Lg. demersal comm.",3.42251706,1.00000000,2.23600006,2.23600006,0.82200003,5.98699999,0.63493627,0.13729750,,
19,"V. lg. demersal",3.90079808,1.00000000,0.39548609,0.39548609,0.15700001,3.88100004,0.94999999,0.04045349,,
20,"V. lg. demersal comm.",4.12913418,1.00000000,0.50000000,0.50000000,0.71600002,4.88700008,0.93031257,0.14651120,,
21,"Sm. bathypelagic",3.29690409,1.00000000,3.63206792,3.63206792,1.76800001,12.6479998,0.94999999,0.13978490,,
22,"Med. bathypelagic",3.84245896,1.00000000,0.28993380,0.28993380,0.52499998,7.48199987,0.94999993,0.07016841,,
23,"Lg. bathypelagic",3.98544407,1.00000000,0.23999999,0.23999999,0.43500000,4.34000015,0.85554981,0.10023040,,
24,"Mesopelagic prey",3.05690002,1.00000000,5.71928310,5.71928310,2.37700009,13.0360003,0.94999999,0.18234120,,
25,"Med. pelagic",3.29149389,1.00000000,3.02466011,3.02466011,1.13100004,8.47099972,0.94999993,0.13351440,,
26,"Med. pelagic comm.",3.52909899,1.00000000,6.39574718,6.39574718,0.94099998,6.31400013,0.94999999,0.14903390,,
27,"Lg. pelagic",4.23412800,1.00000000,2.32115793,2.32115793,0.77700001,3.20600009,0.94999999,0.24235810,,
28,Sardines,2.92418694,1.00000000,17.6469994,17.6469994,1.10000002,11.0810003,0.98888391,0.09926902,,
29,Tunas,4.28823423,1.00000000,0.057620000,0.057620000,0.64200002,3.77399993,0.66041720,0.17011130,,
30,"Sm. demersal sharks/rays",3.82560897,1.00000000,0.32900000,0.32900000,0.65799999,5.70699978,0.88853067,0.11529700,,
31,"Lg. demersal sharks/rays",4.12846613,1.00000000,0.20000000,0.20000000,0.31999999,3.19600010,0.84544373,0.10012510,,
32,"Pelagic sharks",4.28097820,1.00000000,0.20000000,0.20000000,0.36000001,2.57399988,0.72433519,0.13986020,,
33,Cephalopods,3.52679896,1.00000000,2.11183500,2.11183500,3.09999990,11.6999998,0.94999993,0.26495719,,
34,Turtles,3.17783499,1.00000000,0.0049999999,0.0049999999,0.15000001,3.50000000,0.09448126,0.04285714,,
35,Seabirds,3.96415591,1.00000000,0.015000000,0.015000000,0.039999999,52.1430016,0.09519854,0.00076712,,
36,"Baleen whales",3.46660304,1.00000000,0.030999999,0.030999999,0.020000000,4.65209198,0.20429030,0.00429914,,
37,"Toothed whales/dolphins",4.35280418,1.00000000,0.061999999,0.061999999,0.070000000,12.1157398,0.22821410,0.00577761,,
38,Detritus,1.00000000,1.00000000,,,,,0.34624359,,,
