,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Foxes,2.95145512,0.25000000,0.0048076920,0.0012019230,,0.039999999,5.30000019,0.15720020,0.00754717,,
2,"Marsupial grazers",2.00000000,0.25000000,2.40384603,0.60096151,,0.80000001,9.00000000,0.20938200,0.08888889,,
3,"Goats and sheep",2.00000000,0.25000000,0.40384600,0.10096150,,0.50000000,7.50000000,0.64842838,0.06666667,,
4,Ospreys,3.62472105,0.55000001,0.0001923080,0.0001057694,,5.40000010,62.0000000,0.01620610,0.08709677,,
5,"Coastal seabird",3.46333599,0.55000001,0.0001538460,0.0000846153,,5.40000010,65.0000000,0.82420129,0.08307692,,
6,"Shallow demersal fish",3.55807805,0.55000001,0.79724228,0.43848330,,0.70999998,5.30000019,0.81873763,0.13396230,,
7,Trevallies,3.66563606,0.64999998,0.090617679,0.058901489,,0.41999999,4.80000019,0.70299888,0.08749999,,
8,Mackerels,3.66669202,0.64999998,0.97511542,0.63382500,,0.47000000,3.29999995,0.63263702,0.14242420,,
9,Queenfish,3.47821403,0.64999998,0.0025641001,0.0016666650,,0.60000002,2.98800302,0.90620673,0.20080300,,
10,Dolphins,3.68931293,0.80000001,0.030859239,0.024687391,,0.039999999,7.00000000,0.00000000,0.00571429,,
11,"Demersal sharks",3.74239397,0.50000000,0.076743059,0.038371529,,0.33000001,3.79999995,0.00072782,0.08684211,,
12,"Pelagic sharks",4.11506510,0.64999998,0.0047192308,0.0030675000,,2.40199995,4.90000010,0.00302132,0.49020410,,
13,Whales,3.09661603,0.44999999,3.47307801,1.56288505,,0.017000001,2.75000000,0.21065870,0.00618182,,
14,"Whale sharks",2.56430888,0.34999999,0.039230771,0.013730770,,0.0099999998,0.15000001,0.51359111,0.06666666,,
15,"Manta Rays",2.15049696,0.050000001,0.0091454377,0.0004572719,,0.0099999998,0.12000000,0.32870489,0.08333334,,
,Turtles,,,,,,,,,,,
16,"Adult Turtles",2.42856598,1.00000000,0.082000002,0.081999980,0.070000000,,1.09999895,0.53856719,0.06363640,,
17,Hatchlings,3.00750494,0.75000000,1.42475903,1.06856894,0.12000000,,17.7674809,0.19512270,0.00675391,,
18,"Turtle eggs",3.42856598,0.25000000,0.0006285424,0.0001571356,0.17000000,,116.428001,0.65046740,0.00146013,,
19,Dugongs,2.00000000,0.20000000,0.037001420,0.0074002841,,0.050000001,0.75000000,0.99474508,0.06666667,,
,Lethrinids,,,,,,,,,,,
20,"Lethrinids adults",3.68062210,0.079999998,3.25000000,0.26000011,0.34999999,,4.80000210,0.52961361,0.07291663,,
21,"Lethrinids juv",3.57060289,0.079999998,1.30355096,0.10428410,0.60000002,,7.78303623,0.95363557,0.07709074,,
,"L sebae",,,,,,,,,,,
22,"L nebulosus adult",3.64680910,0.079999998,3.50000000,0.27999991,0.44999999,,5.00000095,0.64978361,0.08999998,,
23,"L nebulosus juv",3.56173301,0.079999998,1.34263802,0.10741100,0.64999998,,9.00544453,0.96771479,0.07217856,,
