,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Baleen whales",4.03284788,1.00000000,0.024633940,0.024633940,0.020000000,4.39438295,0.75492752,0.00455126,,
2,"Toothed whales",5.01588392,1.00000000,0.051143780,0.051143780,0.020000000,6.68902302,0.65678388,0.00298997,,
3,"Beaked whales",4.87817621,1.00000000,0.0005360920,0.0005360920,0.020000000,8.80568314,0.31906739,0.00227126,,
4,Seabirds,4.00357294,1.00000000,0.0002041850,0.0002041850,0.078490533,72.7785568,0.25490740,0.00107848,,
5,"Pelagic sharks",4.72674084,1.00000000,0.00664298,0.00664298,0.38999999,10.00000000,0.89999998,0.03900000,,
6,Yellowfin,4.56151390,1.00000000,0.0000151419,0.0000151419,1.04999995,15.5299997,0.76240611,0.06761108,,
7,Bluefin,4.31028795,1.00000000,0.0020295959,0.0020295959,0.50000000,4.00000000,0.97708231,0.12500000,,
8,Skipjack,4.28438711,1.00000000,0.0004633540,0.0004633540,1.35000002,19.6100006,0.84286201,0.06884243,,
9,Albacore,4.59101582,1.00000000,0.0000001776,0.0000001776,0.80000001,9.60000038,0.62499928,0.08333333,,
10,Bigeye,4.39492178,1.00000000,0.026943680,0.026943680,0.75000000,17.1599998,0.55723512,0.04370629,,
11,Swordfish,4.86760998,1.00000000,0.0000591355,0.0000591355,0.69999999,4.00000000,0.73033237,0.17500000,,
12,Billfishes,5.01482677,1.00000000,0.0000505821,0.0000505821,0.40393579,4.69036913,0.52764010,0.08612026,,
13,"Lg. Plank. fish",4.07721186,1.00000000,0.00649023,0.00649023,0.11200000,1.79999995,0.10000000,0.06222223,,
14,"Lg. Epi. fish",4.34066486,1.00000000,0.01377723,0.01377723,0.69000000,8.93769264,0.89999998,0.07720114,,
15,"Md. Epi. fish",3.91633511,1.00000000,0.11296770,0.11296770,1.08000004,7.67083311,0.89999998,0.14079310,,
16,"Sm. Epi. fish",3.16496205,1.00000000,0.85927641,0.85927641,2.05333304,12.5488901,0.89999998,0.16362670,,
17,"Lg. Meso fish",4.33366680,1.00000000,0.00000064,0.00000064,0.15000001,3.54999995,0.89999998,0.04225352,,
18,"Sm. Meso fish",3.20915890,1.00000000,1.72436905,1.72436905,1.98000002,18.2500000,0.70573181,0.10849310,,
19,"Sm. Bathyp. fish",3.16093802,1.00000000,0.06288844,0.06288844,1.03999996,3.65000010,0.89999998,0.28493151,,
20,"Md. Bathyp.fish",3.57013392,1.00000000,0.06954853,0.06954853,0.19000000,0.28999999,0.89999992,0.65517241,,
21,"Lg. Bathyp. fish",3.14774799,1.00000000,0.02316859,0.02316859,0.27000001,0.49000001,0.89999998,0.55102038,,
22,"Sm. Bathyd. slp",3.66933203,1.00000000,0.08110210,0.08110210,0.34535709,0.62792212,0.89999998,0.54999989,,
23,"Lg. Bathyd. slp",3.85348797,1.00000000,0.053245999,0.053245999,0.17464291,0.31753251,0.68907148,0.55000007,,
24,"Sm. Bathyd. abs",3.18906808,1.00000000,0.12143010,0.12143010,0.37777781,0.68686873,0.44754520,0.55000001,,
25,"Lg. Bathyd. abs",2.86147189,1.00000000,0.18963049,0.18963049,0.20916671,0.38030300,0.46663249,0.55000007,,
26,"Sm Squids",3.89955807,1.00000000,0.29346511,0.29346511,4.59999990,36.5000000,0.89999992,0.12602741,,
27,"Lg Squids",4.41516876,1.00000000,0.08038551,0.08038551,4.59999990,36.5000000,0.89999998,0.12602741,,
28,"Benth. ceph.",3.72437310,1.00000000,0.00879052,0.00879052,1.14999998,2.29999995,0.89999998,0.50000000,,
29,Meiobenthos,2.56472898,1.00000000,1.23399997,1.23399997,2.25000000,22.6499996,0.25912800,0.09933775,,
30,Macrobenthos,2.57822299,1.00000000,0.54500002,0.54500002,1.00000000,9.85000038,0.23078860,0.10152280,,
31,Megabenthos,2.47823596,1.00000000,0.49300000,0.49300000,1.10000002,6.69999981,0.11212770,0.16417910,,
32,"Het. bacteria",2.00000000,1.00000000,28.1669998,28.1669998,18.4500008,25.0000000,0.64686859,0.73799998,,
33,"Sm. Zoop. shlw",2.06060600,1.00000000,90.0000000,90.0000000,17.2999992,57.7000008,0.32416379,0.29982671,,
34,"Lg. Zoop. shlw",3.07070708,1.00000000,7.37731695,7.37731695,8.69999981,29.0000000,0.23035499,0.30000001,,
35,"Sm. Zoop. deep",2.24808693,1.00000000,20.0000000,20.0000000,17.2999992,57.7000008,0.12341410,0.29982671,,
36,"Lg. Zoop. deep",2.99971795,1.00000000,1.39226401,1.39226401,8.69999981,29.0000000,0.13848530,0.30000001,,
37,Phytoplankton,1.00000000,1.00000000,13.5000000,13.5000000,259.274414,,0.89769232,,,
38,Detritus,1.00000000,1.00000000,,,,,0.97389531,,,
