,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
,arrowtooth,,,,,,,,,,,
1,"arrowtooth juv.",3.79886889,1.00000000,0.023624601,0.023624601,0.50000000,,4.57679415,0.85320479,0.10924680,,
2,"arrowtooth ad.",3.84174705,1.00000000,0.28000000,0.28000131,0.25000000,,2.00005388,0.32904071,0.12499660,,
,P.Cod,,,,,,,,,,,
3,"P. cod juv.",3.66338301,1.00000000,0.28193870,0.28193870,0.80000001,,3.42176294,0.49940661,0.23379759,,
4,"P. cod ad.",3.69547009,1.00000000,0.47999999,0.48000041,0.66000003,,1.79999900,0.46135750,0.36666700,,
,"P. halibut",,,,,,,,,,,
5,"P. halibut juv.",3.74934602,1.00000000,0.021970879,0.021970879,0.50000000,,2.55046797,0.23303740,0.19604240,,
6,"P. halibut ad.",4.01774597,1.00000000,0.17000000,0.17000011,0.30000001,,0.99999940,0.69019568,0.30000019,,
,sablefish,,,,,,,,,,,
7,"sablefish juv.",3.80162001,1.00000000,0.033585161,0.033585161,0.30000001,,4.41281605,0.66908687,0.06798380,,
8,"sablefish ad.",3.56350899,1.00000000,0.20280001,0.20279990,0.20000000,,2.20000100,0.39663231,0.09090906,,
,pollock,,,,,,,,,,,
9,"pollock juv.",3.63805199,1.00000000,0.11327430,0.11327430,0.80000001,,6.71485281,0.80122429,0.11913890,,
10,"pollock ad.",3.51748300,1.00000000,3.26830006,3.26830101,0.40000001,,2.00000000,0.71494102,0.20000000,,
,herring,,,,,,,,,,,
11,"herring juv.",3.34170008,1.00000000,0.27603909,0.27603909,0.80000001,,7.29907084,0.85302651,0.10960300,,
12,"herring ad.",3.27782607,1.00000000,0.44999999,0.44999969,0.64999998,,4.39997578,0.85826319,0.14772810,,
13,"birds pelag pisciv",4.33091402,1.00000000,0.0011000000,0.0011000000,,0.11600000,170.000000,0.00000000,0.00068235,,
14,"birds demer pisciv",4.40250921,1.00000000,0.0027999999,0.0027999999,,0.063000001,148.000000,0.00000000,0.00042568,,
15,"birds zooplanktiv",3.50417709,1.00000000,0.0003000000,0.0003000000,,0.17399999,251.000000,0.00000000,0.00069323,,
16,odontocetae,4.75315523,1.00000000,0.035999998,0.035999998,,0.029999999,13.1000004,0.00000000,0.00229008,,
17,mysticetae,3.41599393,1.00000000,0.15500000,0.15500000,,0.020000000,13.3699999,0.01521290,0.00149589,,
18,"sea lions",4.61503410,1.00000000,0.17399999,0.17399999,,0.059999999,12.6999998,0.90344828,0.00472441,,
19,seals,4.79642582,1.00000000,0.0010000000,0.0010000000,,0.16000000,15.9499998,0.29475001,0.01003135,,
20,"salmon shark",4.96527195,1.00000000,0.020000000,0.020000000,,0.20000000,1.20000005,0.00000000,0.16666670,,
21,"pelagic sharks",4.84790611,1.00000000,0.029999999,0.029999999,,0.14000000,1.00000000,0.00000000,0.14000000,,
22,dogfish,3.92910790,1.00000000,1.29999995,1.29999995,,0.10000000,2.70000005,0.70747691,0.03703704,,
23,"rajidae / ratfish",3.34825993,1.00000000,0.83499998,0.83499998,,0.30000001,1.31975996,0.88210118,0.22731410,,
24,pink,3.90381002,1.00000000,0.20000000,0.20000000,,1.39999998,8.89999962,0.67556149,0.15730339,,
25,chum,3.83211088,1.00000000,0.40000001,0.40000001,,1.00000000,7.00000000,0.48769671,0.14285710,,
26,sockeye,4.13346195,1.00000000,0.20000000,0.20000000,,1.26999998,8.39999962,0.67863297,0.15119050,,
27,coho,4.29715490,1.00000000,0.25000000,0.25000000,,1.10000002,7.69999981,0.52796727,0.14285710,,
28,chinook,4.22320604,1.00000000,0.38999999,0.38999999,,0.74000001,5.00000000,0.54093897,0.14800000,,
29,"Pac. Ocean perch",3.37737203,1.00000000,1.29999995,1.29999995,,0.10000000,2.40000010,0.51421350,0.04166666,,
30,"northern rockfish",3.16820693,1.00000000,0.15800001,0.15800001,,0.15000001,2.59999990,0.30311179,0.05769231,,
31,"rockfish other",3.54778695,1.00000000,1.00000000,1.00000000,,0.18000001,2.59999990,0.85263491,0.06923077,,
32,"Pac. hake",3.33739495,1.00000000,0.093000002,0.093000002,,0.50000000,2.40000010,0.79522789,0.20833330,,
33,"atka mackerel",3.55362201,1.00000000,0.26899999,0.26899999,,0.60000002,3.00000000,0.39633209,0.20000000,,
34,lingcod,4.40222979,1.00000000,0.36300001,0.36300001,,0.23999999,2.40000010,0.35697889,0.10000000,,
35,"yellowfin sole",3.37204194,1.00000000,0.50500000,0.50500000,,0.19000000,2.40000010,0.74155289,0.07916667,,
36,"rock sole",3.40381193,1.00000000,0.57200003,0.57200003,,0.22000000,2.29999995,0.76776069,0.09565218,,
37,plaice,3.22893500,1.00000000,0.46100000,0.46100000,,0.25000000,2.00000000,0.74826902,0.12500000,,
38,"flatfish other",3.40538692,1.00000000,1.29999995,1.29999995,,0.60000002,3.00000000,0.91160083,0.20000000,,
39,myctophids,3.28415704,1.00000000,4.50000000,4.50000000,,0.50000000,6.80000019,0.65962118,0.07352941,,
40,"misc. small demersals",3.60055709,1.00000000,7.00000000,7.00000000,,1.57679999,5.25600004,0.61283737,0.30000001,,
41,"misc. pred. pelagics",4.48806715,1.00000000,0.20999999,0.20999999,,0.44999999,6.59999990,0.47610050,0.06818182,,
42,"misc. small pelagics",3.55599499,1.00000000,7.83713722,7.83713722,,2.29999995,7.66666603,0.94999999,0.30000001,,
43,krill,2.12516499,1.00000000,18.0000000,18.0000000,,6.00000000,24.7999992,0.90362108,0.24193551,,
44,"carn. zooplankton",3.00658798,1.00000000,25.0000000,25.0000000,,7.00000000,20.0000000,0.91887689,0.34999999,,
45,"herb. zooplankton",2.00000000,1.00000000,25.0000000,25.0000000,,27.0000000,80.0000000,0.82984692,0.33750001,,
46,jellies,3.20757198,1.00000000,12.5000000,12.5000000,,9.60000038,13.0000000,0.07326296,0.73846161,,
47,"large squids",4.16449881,1.00000000,0.50000000,0.50000000,,2.59999990,6.40000010,0.14863010,0.40625000,,
48,"small squids",3.56237411,1.00000000,2.71869707,2.71869707,,3.00000000,15.0000000,0.89999992,0.20000000,,
49,shrimps,3.03293800,1.00000000,5.65000010,5.65000010,,1.20000005,9.66699982,0.88165641,0.12413370,,
50,crabs,2.82434392,1.00000000,3.79999995,3.79999995,,1.50000000,3.50000000,0.74140769,0.42857140,,
51,bivalves,2.25065899,1.00000000,7.69999981,7.69999981,,0.89999998,4.50000000,0.38871250,0.20000000,,
52,echinoderms,2.75160289,1.00000000,14.8000002,14.8000002,,0.30000001,1.20000005,0.67044783,0.25000000,,
53,"other benthos",2.07371902,1.00000000,43.0000000,43.0000000,,4.50000000,15.00000000,0.53486919,0.30000001,,
54,phytoplankton,1.00000000,1.00000000,22.0000000,22.0000000,,130.000000,,0.95675439,,,
55,macrophytes,1.00000000,1.00000000,9.00000000,9.00000000,,9.00000000,,0.86753070,,,
56,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,,0.23495290,,,
