,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplanktons,1.00000000,1.00000000,323.000000,323.000000,,399.000000,,0.03537340,,,
2,"Benthic producers",1.00000000,1.00000000,153.000000,153.000000,,11.8900003,,0.02014043,,,
3,Zooplanktons,2.00000000,1.00000000,33.7999992,33.7999992,,32.0000000,192.000000,0.05265116,0.16666670,,
4,Jellyfish,3.11111093,1.00000000,0.14601700,0.14601700,,5.00000000,20.0000000,0.95000023,0.25000000,,
5,Polychaetes,2.00000000,1.00000000,3.43563700,3.43563700,,6.75000000,22.5000000,0.95000011,0.30000001,,
6,Echinoderms,2.33321500,1.00000000,3.06500006,3.06500006,,1.20000005,3.57999992,0.39895090,0.33519551,,
7,"Benthic crustaceans",2.19982195,1.00000000,2.64899993,2.64899993,,5.65000010,26.8999996,0.62679338,0.21003720,,
8,"Non-ceph molluscs",2.17777801,1.00000000,13.7469997,13.7469997,,3.00000000,7.00000000,0.38476300,0.42857140,,
9,"Sessile/other invertebrates",2.59999990,1.00000000,3.11400008,3.11400008,,1.00000000,9.00000000,0.84566748,0.11111110,,
10,Shrimps,2.31384301,1.00000000,0.42545339,0.42545339,,5.40000010,28.9400005,0.94999999,0.18659300,,
11,Crabs,2.52391005,1.00000000,0.75114882,0.75114882,,3.00000000,12.0000000,0.94999993,0.25000000,,
12,Cephalopods,3.29666805,1.00000000,0.46880111,0.46880111,,3.09999990,8.00000000,0.50000000,0.38749999,,
13,"Threadfin bream (Nemipterids)",3.21398711,1.00000000,1.03999996,1.03999996,,0.74000001,8.10000038,0.46895939,0.09135802,,
14,"Bigeyes (Priacanthids)",3.48218298,1.00000000,0.31799999,0.31799999,,1.21000004,11.3000002,0.32826939,0.10707960,,
15,"Lizard fish (Synodontids)",3.97494292,1.00000000,0.30000001,0.30000001,,2.29999995,5.40700006,0.24056780,0.42537451,,
,Hairtail,,,,,,,,,,,
16,"Juv Hairtail (Trichiurids)",3.88985801,1.00000000,0.034021750,0.034021750,2.29999995,,13.4097900,0.32881549,0.17151649,,
17,"Adult hairtail (Trichiurids)",3.93518996,1.00000000,0.042599991,0.042599991,1.50000000,,6.20699692,0.32677701,0.24166270,,
18,"Pomfret (Stromateids)",3.59153008,1.00000000,0.06494320,0.06494320,,1.29999995,6.38000011,0.94999993,0.20376170,,
19,Snappers,3.76853395,1.00000000,0.01400712,0.01400712,,1.34000003,8.98400021,0.95000011,0.14915410,,
20,"Adult groupers",3.76668692,1.00000000,0.039999999,0.039999999,,0.85000002,6.09999990,0.37514251,0.13934430,,
21,"Croakers (less than 30cm)",3.31776810,1.00000000,0.28900000,0.28900000,,2.35999990,11.2760000,0.78387707,0.20929410,,
,"Large croakers",,,,,,,,,,,
22,"Juv large croakers",3.36273599,1.00000000,0.042493269,0.042493269,2.35999990,,15.6509199,0.95548922,0.15078990,-0.0042493260,-0.09999998
23,"Croakers (30+cm)",3.43091893,1.00000000,0.094999969,0.094999969,1.42999995,,6.23200321,0.61122411,0.22946070,-0.0094999997,-0.10000000
24,"Demesral fish (less than 30 cm)",3.00827789,1.00000000,1.54086399,1.54086399,,2.70000005,13.0270004,0.94999981,0.20726180,,
,"Large demersal fish",,,,,,,,,,,
25,"Juv demersal fish (30+cm)",3.04548407,1.00000000,0.11159850,0.11159850,2.59999990,,15.4607000,0.63760549,0.16816831,-0.011159850,-0.10000000
26,"Adult demersal fish (30+cm)",3.44963193,1.00000000,0.19499999,0.19499990,1.44000006,,6.20699978,0.42425799,0.23199610,-0.019500000,-0.10000000
27,"Benthopelagic fish",2.81472898,1.00000000,0.51554513,0.51554513,,3.00000000,15.00000000,0.95000023,0.20000000,,
28,"Melon seed",3.03564811,1.00000000,0.11400000,0.11400000,,2.24000001,24.7000008,0.51573002,0.09068826,,
29,"Pelagic fish (less than 30cm)",2.81447792,1.00000000,1.03525198,1.03525198,,2.86999989,12.2159996,0.94999999,0.23493780,,
,"Large pelagic fish",,,,,,,,,,,
30,"Juvenile large pelagic fish",2.89670205,1.00000000,0.11786590,0.11786590,2.86999989,,14.3726301,0.60702151,0.19968510,,
31,"Pelagic fish (30+cm)",3.38476396,1.00000000,0.15800001,0.15799990,0.89999998,,6.27699804,0.28251180,0.14338060,,
32,"Demersal sharks and rays",3.51316500,1.00000000,0.039999999,0.039999999,,1.25999999,6.30000019,0.36406910,0.20000000,,
33,"Pelagic sharks and rays",4.01881981,1.00000000,0.02841202,0.02841202,,0.38999999,1.95000005,0.50000000,0.20000000,,
34,Seabirds,3.52482796,1.00000000,0.0021980000,0.0021980000,,0.059999999,67.7590027,0.00461763,0.00088549,,
35,Pinnipeds,4.14966488,1.00000000,0.0046000001,0.0046000001,,0.045000002,14.7679996,0.67927033,0.00304713,,
36,"Other mammals",3.94398093,1.00000000,0.015799999,0.015799999,,0.11200000,10.5229998,0.06812478,0.01064335,,
37,Seaturtles,2.97743607,1.00000000,0.0002000000,0.0002000000,,0.10000000,3.50000000,0.50304478,0.02857143,,
38,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,,0.01665401,,,
