,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Cetacea,4.16424179,1.00000000,0.23311000,0.23311000,0.058287699,5.95585585,0.02723102,0.00978662,,
2,"Harp seals",4.29214096,1.00000000,0.12740999,0.12740999,0.064316154,6.93754196,0.78100961,0.00927074,,
3,"Hooded seals",4.71246481,1.00000000,0.0052399999,0.0052399999,0.093314789,10.0243301,0.04601514,0.00930883,,
4,"Grey seals",4.58588982,1.00000000,0.034529999,0.034529999,0.043245722,4.98352289,0.00977717,0.00867774,,
5,"Harbour seals",4.43325520,1.00000000,0.0041700001,0.0041700001,0.046904501,5.27951193,0.00000000,0.00888425,,
6,Seabirds,4.22151804,1.00000000,0.0040199999,0.0040199999,0.30719671,69.3785934,0.08097620,0.00442783,,
7,"Large cod",4.09799004,1.00000000,0.26782000,0.26782000,0.28042361,1.37862694,0.70121968,0.20340790,,
8,"Small cod",3.86617088,1.00000000,0.060389999,0.060389999,0.93630368,4.36797523,0.94724482,0.21435650,,
9,"L. Greenland halibut",4.20562077,1.00000000,0.23119000,0.23119000,0.14699771,1.02250195,0.84850079,0.14376280,,
10,"S. Greenland halibut",4.12606287,1.00000000,0.20426001,0.20426001,0.39123851,2.04155397,0.80481941,0.19163761,,
11,"American plaice",3.25107098,1.00000000,0.96362001,0.96362001,0.21163850,1.01566303,0.89032680,0.20837469,,
12,Flounders,3.12199092,1.00000000,0.063620001,0.063620001,0.31023410,1.30587494,0.88139212,0.23756801,,
13,Skates,4.06839705,1.00000000,0.16060001,0.16060001,0.23301940,1.19066405,0.90685588,0.19570540,,
14,Redfish,3.66523910,1.00000000,1.43221998,1.43221998,0.16244140,1.01752198,0.89085943,0.15964410,,
15,"L. demersals",3.43914890,1.00000000,0.22156000,0.22156000,0.18005300,1.07754695,0.93504411,0.16709530,,
16,"S. demersals",3.43553805,1.00000000,0.24092001,0.24092001,0.41787869,1.40366602,0.94959497,0.29770520,,
17,Capelin,3.34560704,1.00000000,16.6736908,16.6736908,0.23443450,0.85360593,0.77889311,0.27464020,,
18,"Sand lance",3.21277499,1.00000000,0.12178000,0.12178000,1.16301203,4.18342876,0.93194431,0.27800450,,
19,"Arctic cod",3.28365803,1.00000000,0.020570001,0.020570001,1.04426503,4.69900417,0.91717052,0.22223110,,
20,"Large pelagics",3.64882398,1.00000000,0.039209999,0.039209999,0.21007100,1.03683400,0.90297109,0.20260809,,
21,"Piscivorous small pelagics",3.47020006,1.00000000,0.55848998,0.55848998,0.35795629,1.67068398,0.94924772,0.21425730,,
22,"Planktivorous small pelagics",3.35171199,1.00000000,1.14863002,1.14863002,0.33283359,1.97943604,0.94982302,0.16814570,,
23,Shrimp,2.63651896,1.00000000,0.61526000,0.61526000,0.95193088,4.28169298,0.95028210,0.22232580,,
24,"Large crustacea",2.95323801,1.00000000,0.86214000,0.86214000,0.27073619,1.69728899,0.95018429,0.15951100,,
25,Echinoderms,2.00000000,1.00000000,112.300003,112.300003,0.29244250,0.99732858,0.00667967,0.29322580,,
26,Molluscs,2.00000000,1.00000000,42.0999985,42.0999985,1.69400799,5.78346491,0.00884839,0.29290539,,
27,Polychaetes,2.15540099,1.00000000,10.5000000,10.5000000,1.21248603,6.09035397,0.72707337,0.19908300,,
28,"Other bent. invert.",2.00000000,1.00000000,7.80000019,7.80000019,1.18092406,4.02500391,0.11994990,0.29339701,,
29,"Large zooplankton",2.51445293,1.00000000,9.64249992,9.64249992,2.51677394,14.5457897,0.80120188,0.17302421,,
30,"Small zooplankton",2.11557293,1.00000000,50.0000000,50.0000000,6.42931700,24.4799309,0.59018940,0.26263621,,
31,Phytoplankton,1.00000000,1.00000000,23.4112396,23.4112396,55.9746094,,0.66666389,,,
32,Detritus,1.00000000,1.00000000,132.608002,132.608002,,,0.52755851,,,
