,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Cormorant,3.98216701,1.00000000,0.052000001,0.052000001,0.039999999,58.4000015,0.00000000,0.00068493,,
2,Seabass,3.78963995,1.00000000,2.86216903,2.86216903,0.56999999,5.13000011,0.36899999,0.11111110,,
3,Eel,3.71572709,1.00000000,3.58058596,3.58058596,0.38999999,4.00000000,0.83999991,0.09750000,,
4,Seabeam,3.46608591,1.00000000,5.53535318,5.53535318,0.99000001,4.73999977,0.80000001,0.20886080,,
5,Forage,3.31533098,1.00000000,11.50185013,11.50185013,1.70000005,14.1999998,0.80000001,0.11971830,,
6,Zoobenthos,2.46608591,1.00000000,162.67539978,162.67539978,4.09999990,17.0000000,0.89999998,0.24117650,,
7,"Mullets (juveniles)",2.36343408,1.00000000,5.39945889,5.39945889,1.74000001,23.4500008,0.89999992,0.07420042,,
8,Mullets,2.26389503,1.00000000,2.51851797,2.51851797,0.54000002,23.4500008,0.75000012,0.02302772,,
9,Zooplankton,2.11111093,1.00000000,52.77600098,52.77600098,20.0000000,70.0000000,0.98000002,0.28571430,,
10,Phytoplankton,1.00000000,1.00000000,130.25740051,130.25740051,40.0000000,,0.72199988,,,
11,Pleustophytes,1.00000000,1.00000000,225.000000,225.000000,7.32937908,,0.40000001,,,
12,Detritus,1.00000000,1.00000000,18000.0000,18000.0000,,,0.14057320,,,
