,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,0.06337104,0.06337104,250.000000,,0.89999998,,,
2,"Aquatic macrophytes",1.00000000,1.00000000,35.0000000,35.0000000,10.00000000,,0.15207089,,,
3,Periphyton,1.00000000,1.00000000,7.40000010,7.40000010,20.0000000,,0.65793538,,,
4,Benthos,2.00000000,1.00000000,4.80000019,4.80000019,10.3999996,40.0000000,0.06894286,0.25999999,,
5,Insects,2.00000000,1.00000000,0.60007381,0.60007381,25.0000000,250.000000,0.69999999,0.10000000,,
6,Zooplankton,2.00000000,1.00000000,0.08442883,0.08442883,55.0000000,250.000000,0.69999999,0.22000000,,
7,"Hypostomus spp",2.00000000,1.00000000,0.0010000000,0.0010000000,2.46000004,25.0000000,0.64255089,0.09840000,,
8,"P maculatus",3.08038497,1.00000000,0.00408862,0.00408862,1.99000001,14.8400002,0.98999989,0.13409699,,
9,"Schizodon borelii",2.00000000,1.00000000,0.00259016,0.00259016,3.47000003,25.0000000,0.99000001,0.13880000,,
10,"Loricariichthys platymetopon",2.29999995,1.00000000,0.00029065,0.00029065,4.11999989,42.0000000,0.99000013,0.09809524,,
11,"Prochilodus lineatus",2.15000010,1.00000000,0.05050152,0.05050152,4.55999994,47.0000000,0.99000001,0.09702127,,
12,"Cyphocharax modesta",2.09999990,1.00000000,0.00142388,0.00142388,3.31999993,33.7999992,0.99000013,0.09822486,,
13,"Steindacchnerina insculpta",2.09999990,1.00000000,0.00136459,0.00136459,4.76999998,48.0000000,0.99000013,0.09937500,,
14,"Iheringichthys labrosus",2.65000010,1.00000000,0.0049999999,0.0049999999,2.26999998,19.2700005,0.82466972,0.11779970,,
15,"Schizodon altoparanae",2.00000000,1.00000000,0.00043624,0.00043624,1.83000004,26.2199993,0.99000001,0.06979405,,
16,"Hypophthalmus edentatus",2.70000005,1.00000000,0.039999999,0.039999999,1.85000002,20.8700008,0.79103577,0.08864398,,
17,"Trachydoras paraguayensis",2.45000005,1.00000000,0.00253257,0.00253257,2.42000008,17.0000000,0.99000001,0.14235289,,
18,"Hoplosternum littorale",2.59999990,1.00000000,0.0060000001,0.0060000001,4.13000011,29.0000000,0.83736628,0.14241379,,
19,"Leporinus friderici",2.57626200,1.00000000,0.02083803,0.02083803,2.42000008,18.9699993,0.99000001,0.12756990,,
20,"Leporinus obtusidens",2.57626200,1.00000000,0.34000000,0.34000000,2.84999990,30.0000000,0.97722352,0.09500000,,
21,"Parauchenipterus galeatus",2.59999990,1.00000000,0.03146465,0.03146465,2.90000010,26.2000008,0.99000001,0.11068700,,
22,"Pterodoras granulosus",2.29999995,1.00000000,0.059999999,0.059999999,1.03999996,16.0499992,0.92456073,0.06479751,,
23,"Astyanax altiparanae",2.71262598,1.00000000,0.44601861,0.44601861,3.00000000,21.0000000,0.98999989,0.14285710,,
24,"Auchenipterus nuchalis",3.05500007,1.00000000,0.016000001,0.016000001,2.71000004,20.0000000,0.72691357,0.13550000,,
25,"Brycon orbignyanus",2.81482601,1.00000000,0.01451691,0.01451691,0.92000002,5.86999989,0.99000013,0.15672910,,
26,"Acestrorhyncus lacustris",3.55015206,1.00000000,0.0060000001,0.0060000001,2.22000003,7.80000019,0.87739891,0.28461540,,
27,"Hoplias malabaricus",3.80924201,1.00000000,0.00187439,0.00187439,2.67000008,9.00000000,0.98999989,0.29666671,,
28,"Plagioscion squamisissimus",3.74726009,1.00000000,0.090000004,0.090000004,1.13000000,5.21000004,0.73000002,0.21689060,-0.00000001,-0.00000008
29,"Pseudoplatystoma corruscans",4.01617622,1.00000000,0.00691665,0.00691665,2.81999993,10.00000000,0.98986012,0.28200001,,
30,"Rhaphiodon vulpinis",3.76002598,1.00000000,0.0099999998,0.0099999998,1.39999998,10.00000000,0.71428567,0.14000000,,
31,"Serrasalmus marginatus",3.83491492,1.00000000,0.04770644,0.04770644,2.00000000,7.21000004,0.99000013,0.27739251,,
32,"Hemisorubin platyrhynchos",3.76908994,1.00000000,0.0060000001,0.0060000001,1.29999995,5.36999989,0.88674951,0.24208570,,
33,"Salminus brasiliensis",3.55561090,1.00000000,0.00213029,0.00213029,1.00000000,3.71000004,0.99000001,0.26954180,,
34,"Serrasalmus spiloptera",3.77121401,1.00000000,0.02960227,0.02960227,1.60000002,6.73000002,0.99000001,0.23774150,,
35,"Other benthos feeders",2.54999995,1.00000000,0.02494656,0.02494656,3.90000010,29.0000000,0.99000013,0.13448280,,
36,"Other detritus feeders",2.20000005,1.00000000,0.01461609,0.01461609,4.30000019,43.0000000,0.98999989,0.10000000,,
37,"Other insectivores",2.87126303,1.00000000,0.02542599,0.02542599,3.90000010,27.0000000,0.99000013,0.14444450,,
38,"Other piscivores",3.70123792,1.00000000,0.00281198,0.00281198,4.00000000,15.0000000,0.98992598,0.26666671,,
39,"Other omnivores",2.54999995,1.00000000,0.41357490,0.41357490,5.00000000,33.0000000,0.98999989,0.15151520,,
40,Detritus,1.00000000,1.00000000,,,,,0.45285019,,,
