,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
,Mérous,,,,,,,,,,,
1,"Dusky grouper - medium",4.24850512,1.00000000,0.42669719,0.42669719,0.44029000,,1.55712605,0.72148627,0.28275809,,
3,"Dusky grouper - large",4.37091923,1.00000000,4.32099915,4.32073784,0.10000000,,0.66774982,0.00000000,0.14975670,,
7,"Dusky grouper - small",3.97942209,1.00000000,0.24608810,0.24608810,1.53029001,,4.39626408,0.39575011,0.34808871,,
2,Rays,4.37519121,1.00000000,0.03266332,0.03266332,,0.19900000,1.99000001,0.40000001,0.10000000,,
4,"Amberjack and dentex +",4.08403015,1.00000000,5.55000019,5.55000019,,0.24400000,2.44000006,0.10825510,0.10000000,,
5,"Large-scaled scorpionfish +",4.20877886,1.00000000,0.49100000,0.49100000,,0.51700002,4.48199987,0.66660261,0.11535030,,
6,"Scorpionfishes and combers +",3.79308796,1.00000000,4.29300022,4.29300022,,0.59899998,3.99333310,0.28980869,0.15000001,,
8,Seabirds,4.08686781,1.00000000,0.28999999,0.28999999,,0.40000001,73.1999969,0.00000000,0.00546448,,
9,Cephalopods,3.59949303,1.00000000,3.00000000,3.00000000,,2.33999991,7.79999924,0.94810158,0.30000001,,
10,"Stripped red mulet +",3.64524889,1.00000000,0.23500000,0.23500000,,0.83899999,5.64699984,0.96219277,0.14857450,,
11,Pagellus,3.65525794,1.00000000,0.65405953,0.65405953,,0.41499999,4.15000010,0.98000002,0.10000000,,
12,"Blennies +",3.32180691,1.00000000,0.14900000,0.14900000,,0.59399998,5.94000006,0.97838259,0.10000000,,
13,"Pipefishes +",3.41028309,1.00000000,0.021000000,0.021000000,,1.37699997,9.92300034,0.82906818,0.13876849,,
14,Gobies,3.33302593,1.00000000,0.42600000,0.42600000,,1.11899996,5.59499979,0.78388071,0.20000000,,
15,"Horse mackerels and sand smelts +",3.53781104,1.00000000,20.0000000,20.0000000,,0.55599999,5.55999994,0.91712320,0.10000000,,
16,"Diplodus +",3.07972002,1.00000000,3.62800002,3.62800002,,0.50300002,5.03000021,0.66040462,0.10000000,,
17,Wrasses,2.95635509,1.00000000,5.03900003,5.03900003,,0.52700001,5.26999998,0.95115161,0.10000000,,
18,Crabs,2.62938190,1.00000000,3.60800004,3.60800004,,1.61000001,14.0000000,0.75464141,0.11500000,,
19,Decapods,2.67249489,1.00000000,13.36503029,13.36503029,,2.29999995,23.00000000,0.94999981,0.10000000,,
20,"Sea stars",2.71330690,1.00000000,0.69999999,0.69999999,,0.25000000,1.66666698,0.18352100,0.15000001,,
21,"Large zooplankton",3.03771496,1.00000000,2.18184805,2.18184805,,25.0000000,125.00000000,0.94999993,0.20000000,,
22,Bivalves,2.10400009,1.00000000,2.78999996,2.78999996,,2.46000004,15.8669996,0.93894112,0.15503880,,
23,Gastropods,2.24190211,1.00000000,17.88591957,17.88591957,,1.91299999,10.7100000,0.89999992,0.17861810,,
24,Suspensivores,2.27991509,1.00000000,24.82558060,24.82558060,,1.69500005,14.0070000,0.89999998,0.12101090,,
25,"Brittle stars +",2.04738998,1.00000000,0.69322902,0.69322902,,0.49000001,3.24000001,0.89999998,0.15123460,,
26,"Sea worms",2.32881808,1.00000000,27.59089088,27.59089088,,1.82000005,11.5299997,0.94999999,0.15784910,,
27,Mullets,2.26839995,1.00000000,4.50199986,4.50199986,,0.45300001,4.53000021,0.59493399,0.09999999,,
28,Gorgonians,2.23188591,1.00000000,40.5559998,40.5559998,,0.079999998,0.53333330,0.00000000,0.15000001,,
29,"Small crustaceans",2.14280009,1.00000000,31.0499992,31.0499992,,4.00000000,33.4000015,0.92530358,0.11976050,,
30,"Small zooplankton",2.09999990,1.00000000,9.62869263,9.62869263,,50.0000000,170.000000,0.94999993,0.29411769,,
31,"Sea urchins",2.15634489,1.00000000,38.1949997,38.1949997,,0.19000000,1.26666701,0.65139312,0.15000001,,
32,Amphipods,2.23559809,1.00000000,21.78907013,21.78907013,,4.00000000,20.00000000,0.94999999,0.20000000,,
33,"Sea cucumbers",2.04999995,1.00000000,76.2549973,76.2549973,,0.25000000,1.66666698,0.23150390,0.15000001,,
,Saupes,,,,,,,,,,,
34,"Salema - adults",2.00000000,1.00000000,5.39999819,5.39996719,0.25421000,,2.54024005,0.12624720,0.10007320,,
36,"Salema - juveniles",2.00000000,1.00000000,4.10151196,4.10151196,0.81421000,,5.24384022,0.42501149,0.15526980,,
35,Foraminifera,2.00000000,1.00000000,4.79603291,4.79603291,,80.0000000,266.66668701,0.94999999,0.30000001,,
37,Posidonia,1.00000000,1.00000000,8550.00000,8550.00000,,0.30000001,,0.30339849,,,
38,"Shallow seaweeds",1.00000000,1.00000000,140.959000,140.959000,,4.42999983,,0.53347617,,,
39,"Deep seaweeds",1.00000000,1.00000000,40.9500008,40.9500008,,1.57299995,,0.55857122,,,
40,Phytoplankton,1.00000000,1.00000000,20.0000000,20.0000000,,112.650002,,0.67657888,,,
41,Detritus,1.00000000,1.00000000,86.3539963,86.3539963,,,,0.53300327,,,
