,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,7.61658001,7.61658001,250.000000,,0.68401092,,,
2,"Small zooplankton",2.11111093,1.00000000,6.47668409,6.47668409,36.7999992,74.7259979,0.79644698,0.49246579,,
3,"Large zooplankton",2.32850289,1.00000000,9.97409344,9.97409344,23.7999992,48.2610016,0.58078921,0.49315181,,
4,"Deposit Feeders",2.00000000,0.83499998,69.9480133,58.4065819,4.80000019,66.6999969,0.66957319,0.07196403,,
5,"Scallops and mussels",2.38080812,0.83499998,4.92199993,4.10986996,3.09999990,10.8999996,0.28088719,0.28440371,,
6,"Filter Feeders",2.07769990,0.85000002,73.5109863,62.4843483,2.79999995,11.8000002,0.72307771,0.23728810,,
7,"Inf. Predators",2.84655690,0.40000001,13.5751305,5.43005180,5.40000010,58.4000015,0.79965508,0.09246575,,
8,"Epi. Predators",3.18333101,0.40000001,2.36269403,0.94507760,2.90000010,21.8999996,0.92932039,0.13242009,,
9,"Sth Rock Lobster",3.18651104,0.37000000,0.068000004,0.025160000,0.73000002,12.4099998,0.69283599,0.05882353,,
10,Abalone,2.00000000,0.37000000,0.69900000,0.25863001,0.73000002,12.4099998,0.73400807,0.05882353,,
11,"Other Grazers",2.00000000,0.40000001,2.24900007,0.89960003,0.88000000,11.6800003,0.59418941,0.07534246,,
12,Scavengers,2.25316501,0.40000001,9.32642460,3.73057008,6.86000013,55.4799995,0.49342650,0.12364820,,
13,Microphytobenthos,1.00000000,1.00000000,18.1347198,18.1347198,44.0000000,,0.13963330,,,
14,Seagrass,1.00000000,0.10000000,2.59067392,0.25906739,24.0000000,,0.32206061,,,
15,Macroalgae,1.00000000,0.69999999,25.9067402,18.1347198,20.0000000,,0.30038539,,,
16,Clupeoids,3.23484397,1.00000000,2.84974098,2.84974098,1.14999998,30.1499996,0.96974277,0.03814262,,
17,"Juvenile Snapper",3.40450692,0.69999999,0.46891189,0.32823831,0.54750001,2.73749995,0.95349813,0.20000000,,
18,Snapper,3.61692309,0.69999999,0.37564769,0.26295340,0.49250001,2.73749995,0.95273161,0.17990869,,
19,"Juvenile Flatfish",3.30152011,0.75000000,2.31865311,1.73898995,0.82125002,2.73749995,0.90206432,0.30000001,,
20,Flatfish,3.34419894,0.75000000,2.28497505,1.71373105,0.41075000,2.73749995,0.79323387,0.15004569,,
21,"Juvenile KG Whiting",3.54399610,0.80000001,0.14248700,0.11398960,0.82125002,2.73749995,0.89624220,0.30000001,,
22,"KG Whiting",3.38839602,0.80000001,0.11658030,0.093264237,0.54750001,2.73749995,0.94934249,0.20000000,,
23,"Juvenile Piscivores",4.17249584,0.72000003,0.56735772,0.40849751,0.82125002,2.73749995,0.63964558,0.30000001,,
24,Piscivores,4.36006498,0.72000003,0.28756469,0.20704660,0.41075000,2.73749995,0.98079371,0.15004569,,
25,"Juvenile Mullet",2.60509801,0.82499999,0.52590680,0.43387309,0.41075000,2.73749995,0.87036347,0.15004569,,
26,"Mullet and Garfish",2.09987903,0.82499999,0.38341981,0.31632131,0.32850000,2.73749995,0.93223512,0.12000000,,
27,"Other demersals",3.23602796,0.96499997,4.89896393,4.72749996,0.54750001,2.73749995,0.86919123,0.20000000,,
28,"Southern calamari",3.59256005,0.93000001,0.31865281,0.29634711,1.82500005,18.2500000,0.77736562,0.10000000,,
29,"Other cepahalopods",3.73233795,0.94499999,0.41450769,0.39170980,1.36874998,9.12500000,0.43717971,0.15000001,,
30,Rays,3.34892392,0.89999998,6.16580200,5.54922199,0.23400000,1.55999994,0.02165741,0.15000001,,
31,Sharks,4.28763103,0.62000000,0.14766841,0.091554403,0.23400000,1.55999994,0.28001761,0.15000001,,
32,Birds,3.64183903,1.00000000,1.01813495,1.01813495,0.070000000,1.69000006,0.14514740,0.04142012,,
33,"Marine mammals",4.20267820,1.00000000,0.019688999,0.019688999,0.090000004,19.8799992,0.00564331,0.00452716,,
34,Detritus,1.00000000,1.00000000,14766.8398,14766.8398,,,0.99773920,,,
