,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"River dolphins",3.69648790,1.00000000,0.29539999,0.29539999,0.079999998,7.50000000,0.00000000,0.01066667,,
2,Otters,3.35996699,1.00000000,0.016750000,0.016750000,4.30000019,22.4599991,0.00000000,0.19145150,,
3,Turtles,2.27399993,1.00000000,1.25999999,1.25999999,0.17000000,2.53999996,0.95238090,0.06692914,,
4,"Others piscivores",3.30979705,1.00000000,0.94999999,0.94999999,0.69999999,12.5000000,0.97470081,0.05600000,,
5,"Others invertivores",3.01874995,1.00000000,1.11000001,1.11000001,3.00000000,18.0000000,0.76692730,0.16666670,,
6,"Others frugivores",2.10124993,1.00000000,1.20200002,1.20200002,1.50000000,19.2700005,0.77764589,0.07784120,,
7,"Others algivores/detritivores",2.00000000,1.00000000,1.85000002,1.85000002,1.29999995,27.0000000,0.89275742,0.04814815,,
8,"Arapaima gigas",3.36956000,1.00000000,0.02031375,0.02031375,0.15500000,3.60999990,0.94999999,0.04293629,,
9,"Brachyplatystoma filamentosum",3.37786102,1.00000000,1.98488605,1.98488605,0.10300000,3.89000010,0.94999999,0.02647815,,
10,"Brachyplatystoma rousseauxii",3.37073994,1.00000000,0.79539329,0.79539329,0.32100001,4.76399994,0.94999999,0.06738035,,
11,"Pellona castelnaeana",3.23527694,1.00000000,0.79443473,0.79443473,0.61000001,7.93800020,0.94999999,0.07684556,,
12,"Cichla spp.",3.22426200,1.00000000,1.12199998,1.12199998,0.67199999,6.13999987,0.98415208,0.10944630,,
13,"Hypophthalmus marginatus",3.00765300,1.00000000,1.63278496,1.63278496,0.79000002,9.33800030,0.94999999,0.08460055,,
14,"Plagioscion squamosissimus",3.20886588,1.00000000,1.37751102,1.37751102,0.61000001,5.50400019,0.94999999,0.11082850,,
15,"Colossoma macropomum",2.20125008,1.00000000,0.79191577,0.79191577,0.47999999,19.2660007,0.94999999,0.02491436,,
16,"Mesonauta festivus",2.31500006,1.00000000,1.11600006,1.11600006,1.79600000,49.5449982,0.92900658,0.03624988,,
17,"Acaronia nassa",3.19084001,1.00000000,0.75500000,0.75500000,1.24800003,10.9259996,0.95863211,0.11422300,,
18,"Satanoperca acuticeps",2.72125006,1.00000000,1.65999997,1.65999997,1.24800003,11.0480003,0.93588668,0.11296160,,
19,"Acarichthys heckelii",2.63949990,1.00000000,1.85000002,1.85000002,1.40199995,11.7080002,0.74636728,0.11974720,,
20,"Bryconops spp.",2.41499996,1.00000000,1.56599998,1.56599998,1.28400004,14.1260004,0.95449990,0.09089622,,
21,Pacu,2.11150002,1.00000000,0.28999999,0.28999999,1.94200003,38.5699997,0.95101988,0.05035001,,
22,"Geophagus spp.",2.52250004,1.00000000,1.75100005,1.75100005,1.31900001,31.5610008,0.93741190,0.04179208,,
23,"Hemiodus spp.",2.72499990,1.00000000,1.89699996,1.89699996,1.18900001,32.1349983,0.93083167,0.03700016,,
24,"Schizodon spp.",2.15750003,1.00000000,0.57099998,0.57099998,1.11099994,29.4150009,0.79553258,0.03776984,,
25,"Leporinus spp.",2.52125001,1.00000000,1.12000000,1.12000000,1.00500000,33.0000000,0.88882190,0.03045455,,
26,"Laemolyta spp.",2.20875001,1.00000000,0.50199997,0.50199997,1.22000003,46.6879997,0.90078741,0.02613091,,
27,"Loricariichthys spp.",2.29999995,1.00000000,1.51999998,1.51999998,1.28400004,30.0000000,0.95545143,0.04280000,,
28,"Semaprochilodus spp.",2.00000000,1.00000000,0.48100001,0.48100001,1.18599999,48.7140007,0.93396717,0.02434618,,
29,"Terrestrial invertebrates",2.09999990,1.00000000,8.39999962,8.39999962,6.00000000,30.0000000,0.95333469,0.20000000,,
30,"Aquatic invertebrates",2.02500010,1.00000000,16.7999992,16.7999992,10.3999996,40.0000000,0.59816343,0.25999999,,
31,Zooplankton,2.00000000,1.00000000,3.22000003,3.22000003,70.0000000,166.000000,0.52641201,0.42168671,,
32,"Igapo Forest",1.00000000,0.045000002,96000.0000,4320.00000,0.30000001,,0.25812620,,,
33,Periphyton,1.00000000,1.00000000,2.66666698,2.66666698,365.000000,,0.25600040,,,
34,Phytoplankton,1.00000000,1.00000000,2.65799999,2.65799999,365.000000,,0.43451259,,,
35,Detritus,1.00000000,1.00000000,9.19999981,9.19999981,,,0.23966710,,,
