,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Sea birds",3.49475908,1.00000000,0.020000000,0.020000000,5.40000010,76.5000000,0.00000000,0.07058824,,
2,"Negaprion brevirostris",3.55998397,1.00000000,0.17000000,0.17000000,0.26400000,3.20000005,0.00000000,0.08250000,,
3,"Ginglymostoma cirratum",3.47362399,1.00000000,1.79999995,1.79999995,0.56599998,3.09999990,0.54770333,0.18258061,0.55800003,0.31000000
4,"Lutjanus jocu",3.27535892,1.00000000,2.22000003,2.22000003,0.52399999,5.50000000,0.05063584,0.09527273,-0.13782521,-0.06208343
5,"Cephalopholis fulva",3.27612901,1.00000000,0.20000000,0.20000000,1.29999995,6.69999981,0.62623447,0.19402990,0.10817930,0.54089648
6,Carangidae,3.03588700,1.00000000,2.11999989,2.11999989,1.16299999,11.3000002,0.43598101,0.10292040,0.93279988,0.44000000
7,"Acanthurus spp.",2.10101008,1.00000000,9.85999966,9.85999966,0.95999998,10.8999996,0.23067801,0.08807340,-0.081613973,-0.00827728
8,"Stegastes rocasensis",2.03030300,1.00000000,0.46000001,0.46000001,1.74000001,14.6999998,0.40310419,0.11836740,-0.0053670588,-0.01166752
9,"Thalassoma noronhanum",2.38618803,1.00000000,0.20000000,0.20000000,1.66999996,14.1000004,0.55419809,0.11843970,0.0043893158,0.02194658
10,"Abudefduf saxatilis",2.41830993,1.00000000,0.99000001,0.99000001,1.22000003,11.1999998,0.38937521,0.10892860,0.081816301,0.08264273
11,"Sparisoma spp.",2.20201993,1.00000000,1.13000000,1.13000000,1.01999998,6.19999981,0.27009919,0.16451611,0.28399551,0.25132349
12,"Melichthys niger",2.26322699,1.00000000,0.27000001,0.27000001,1.32000005,10.00000000,0.34920499,0.13200000,0.10260000,0.38000000
13,"Kyphosus spp.",2.02020192,1.00000000,0.46000001,0.46000001,0.73000002,27.5000000,0.08136044,0.02654546,,
14,"Mulloidichthys martinicus",3.07746410,1.00000000,0.41600001,0.41600001,1.91999996,9.60000038,0.56049681,0.20000000,0.43680000,1.04999995
15,"Holocentrus adscensionis",3.19229698,1.00000000,2.11800003,2.11800003,1.24000001,8.30000019,0.66167837,0.14939760,0.90028739,0.42506489
16,Haemulidae,3.09379101,1.00000000,0.96200001,0.96200001,1.07000005,11.6000004,0.52367711,0.09224138,0.083929822,0.08724514
17,"Small omnivore fish",2.38352990,1.00000000,0.79000002,0.79000002,2.73000002,25.1000004,0.20767380,0.10876490,-0.13429999,-0.17000000
18,Turtles,2.80481100,1.00000000,0.022000000,0.022000000,0.28999999,2.34999990,0.00000000,0.12340430,,
19,Cephalopoda,3.18872905,1.00000000,0.40500000,0.40500000,6.40000010,36.5000000,0.81488103,0.17534250,,
20,"Panulirus spp.",2.60659194,0.85000002,6.00000000,5.09999990,1.27999997,7.40000010,0.30113700,0.17297301,,
21,"Benthic macroinvertebrates",2.26528502,1.00000000,16.23302078,16.23302078,3.79999995,10.00000000,0.89999998,0.38000000,,
22,"Benthic microinvertebrates",2.01010108,1.00000000,24.35950089,24.35950089,4.94000006,16.6900005,0.85000008,0.29598561,,
23,"Siderastrea stellata",1.76466095,0.18000001,3.95000005,0.71100003,1.65999997,9.39999962,0.00000000,0.17659570,,
24,Zooplankton,2.08144808,0.94999999,0.25000000,0.23750000,87.0000000,160.000000,0.78972721,0.54374999,,
25,Phytoplankton,1.00000000,1.00000000,0.13000000,0.13000000,109.500000,,0.72838712,,,
26,"Digenea simplex",1.00000000,0.60000002,352.730011,211.638000,274.000000,,0.00088566,,,
27,"Other algal turf",1.00000000,0.55000001,1458.75000,802.312500,323.000000,,0.00039038,,,
28,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.00000000,,,
