,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Fitoplancton,1.00000000,1.00000000,11.5487900,11.5487900,136.652695,,0.70045608,,,
2,Algas,1.00000000,1.00000000,9.89317226,9.89317226,2.70743489,,0.51773381,,,
3,Misidaceos,2.11643696,1.00000000,2.33058310,2.33058310,5.12238312,25.5220203,0.63037568,0.20070450,,
4,Cefalópodos,3.20723009,1.00000000,0.20484070,0.20484070,1.67607200,4.53648710,0.78906238,0.36946470,,
5,Shrimps,2.29546809,1.00000000,0.010470580,0.010470580,3.31540704,15.5898399,0.68112099,0.21266460,,
6,Poliquetos,2.06730509,1.00000000,3.88665009,3.88665009,4.19999981,10.8095798,0.56517237,0.38854420,,
7,Crabs,2.40573406,1.00000000,0.020055261,0.020055261,2.25711107,10.9884300,0.82078439,0.20540801,,
8,Equinodermos,2.18060803,1.00000000,6.93005514,6.93005514,0.54863828,3.19251990,0.47796541,0.17185120,,
9,Gastropodos,2.00001097,1.00000000,0.010792780,0.010792780,1.85098803,11.5663700,0.75963151,0.16003190,,
10,Anfipodos,2.12396407,1.00000000,70.3851776,70.3851776,4.68193483,22.6280308,0.65623713,0.20690860,,
11,Bivalvos,2.00000000,1.00000000,0.010094390,0.010094390,1.63524199,10.6357298,0.78351712,0.15374990,,
12,"S. aurata cultiv.",2.00000000,1.00000000,6353.63281,6353.63281,1.28999996,3.31324601,0.56736702,0.38934630,,
13,"A regius cultiv.",2.00000000,1.00000000,728.880371,728.880371,1.25722694,3.47335005,0.58760887,0.36196381,,
14,"D. labrax cultiv.",2.00000000,1.00000000,384.594604,384.594604,1.27293801,3.54756093,0.73130602,0.35882059,,
15,"S. aurata salvaje",2.05963802,1.00000000,0.58763123,0.58763123,0.57140332,1.77888799,0.28384200,0.32121381,,
16,"Mullus surmeletus",2.69681907,1.00000000,2.06574893,2.06574893,1.18734002,4.84768820,0.28193030,0.24492911,,
17,"Sphyraena sphyraena",3.77031803,1.00000000,0.028908150,0.028908150,2.67911601,9.44436359,0.34677520,0.28367350,,
18,Sparidae,2.92390299,1.00000000,0.43451011,0.43451011,2.40272403,8.19991112,0.24836430,0.29301831,,
19,"Boops boops",2.11934304,1.00000000,0.38782039,0.38782039,2.64005494,8.93597031,0.07961380,0.29544130,,
20,"Pomatomus saltarix",3.44071198,1.00000000,14.4529896,14.4529896,2.66877007,10.0824604,0.00001805,0.26469430,,
21,"Myliobatis aquila",3.06964898,1.00000000,0.34108779,0.34108779,2.43832493,8.45452881,0.00000000,0.28840461,,
22,Mugilidae,2.00000000,1.00000000,180.422302,180.422302,2.99335694,11.4637403,0.01560456,0.26111519,,
23,"Sardinella aurita",2.00000000,1.00000000,6.11694622,6.11694622,4.01452494,13.9060297,0.13491610,0.28868949,,
24,"Trachurus mediterraneus",2.68204188,1.00000000,11.7879601,11.7879601,2.48990393,7.92426205,0.12032580,0.31421271,,
25,"Trachinotus ovatus",2.07173491,1.00000000,60.0560684,60.0560684,2.73706794,9.39233017,0.04989442,0.29141521,,
26,"Seriola dumerilii",3.72656393,1.00000000,0.097828999,0.097828999,2.50465488,7.79855394,0.00816233,0.32116911,,
27,"Balistes capriscus",3.17009401,1.00000000,0.022454631,0.022454631,1.49489796,5.22102690,0.16420420,0.28632259,,
28,"Pelágicos planctivoros",2.45142889,1.00000000,0.31862879,0.31862879,2.69115901,8.89800835,0.25916979,0.30244511,,
29,"S. scrofa",3.88696003,1.00000000,0.10297510,0.10297510,1.53667903,5.60333395,0.09921658,0.27424371,,
30,"G. buccichi",3.15591502,1.00000000,0.017922120,0.017922120,2.97853899,9.98947525,0.41982001,0.29816771,,
31,"Copepodos planct.",2.00000000,1.00000000,3.97995901,3.97995901,51.1371689,310.533295,0.91359103,0.16467530,,
32,"juv. B. boops",3.00994706,1.00000000,1.84894705,1.84894705,6.63038206,19.3825302,0.52143931,0.34208030,,
33,Serranus,2.54001999,1.00000000,0.020012060,0.020012060,1.87782204,6.99653101,0.67646128,0.26839331,,
34,"juv. Mugilidae",3.00365806,1.00000000,0.58732969,0.58732969,8.90758419,24.1120205,0.47933349,0.36942500,,
35,"juv Pelag. planct.",3.03658199,1.00000000,6.43202400,6.43202400,5.29527903,14.5662699,0.58930218,0.36353019,,
36,"juv S. aurata",3.08596301,1.00000000,0.42946100,0.42946100,6.18359280,16.8683300,0.56349581,0.36658001,,
37,"juv Sparidae",3.03660488,1.00000000,0.22115730,0.22115730,5.69999981,15.0887699,0.56174707,0.37776440,,
38,"juv. T. mediterraneus",3.00155902,1.00000000,0.49028510,0.49028510,7.48953676,20.3702106,0.44462970,0.36767101,,
39,"juv. T. ovatus",3.02165794,1.00000000,0.95810229,0.95810229,4.90188503,12.7446899,0.54230767,0.38462180,,
40,Pienso,1.00000000,1.00000000,31200.0000,31200.0000,,,0.89710259,,,
41,Detritus,1.00000000,1.00000000,631.729980,631.729980,,,0.06113321,,,
