,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Oiseaux marins",3.60500002,1.00000000,0.11800000,0.11800000,0.12000000,118.000000,0.00000000,0.00101695,,
2,"Mammiferes mari",3.34116602,1.00000000,0.039000001,0.039000001,0.046999998,17.2649994,0.00000000,0.00272227,,
3,"Thonides du lar",3.24308395,1.00000000,2.53999996,2.53999996,1.60000002,4.76900005,0.37189341,0.33550009,,
4,"Thonides cotier",3.31404209,1.00000000,2.89000010,2.89000010,0.80000001,9.50000000,0.38927329,0.08421053,,
5,Requins,3.44680500,1.00000000,0.20299999,0.20299999,0.90499997,3.51600003,0.70761782,0.25739479,,
6,Raies,2.70931602,1.00000000,0.11200000,0.11200000,1.00000000,6.00000000,0.80357128,0.16666670,,
7,Cephalopodes,3.16167498,1.00000000,1.08700001,1.08700001,1.89999998,11.6999998,0.85978973,0.16239320,,
8,"Demersaux cotie",2.29996204,1.00000000,4.69600010,4.69600010,1.20000005,6.00000000,0.69734591,0.20000000,,
9,"Sardinelle rond",2.79999995,1.00000000,8.59399986,8.59399986,1.53999996,20.2000008,0.99167877,0.07623762,,
10,"Sardinelle plat",2.75000000,1.00000000,13.5360003,13.5360003,1.20000005,13.8999996,0.93777752,0.08633094,,
11,"Autres pelagiqu",2.79999995,1.00000000,13.1160002,13.1160002,1.10000002,10.6350002,0.83972192,0.10343210,,
12,Zooplancton,2.00000000,1.00000000,20.6359997,20.6359997,58.3559990,274.804993,0.35352090,0.21235420,,
13,Meiobenthos,2.05831504,1.00000000,19.6000004,19.6000004,4.00000000,30.0000000,0.95869279,0.13333330,,
14,Macrobenthos,2.16630602,1.00000000,93.0000000,93.0000000,1.20000005,10.00000000,0.90276939,0.12000000,,
15,"Producteurs ben",1.00000000,1.00000000,10.5000000,10.5000000,15.0000000,,0.55069709,,,
16,Phytoplancton,1.00000000,1.00000000,82.0139999,82.0139999,138.188995,,0.51042777,,,
17,Rejets,1.00000000,1.00000000,0.0010000000,0.0010000000,,,,,,
18,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,0.16026710,,,
