,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Aves,3.73989010,1.00000000,0.020877291,0.020877291,0.40579531,87.5415573,0.76522851,0.00463546,,
2,Sciaenidae,3.59725690,1.00000000,1.37911904,1.37911904,0.86486697,6.88165283,0.71704471,0.12567720,,
3,Haemulidae,3.13033605,1.00000000,1.30370903,1.30370903,2.10451603,9.62733078,0.69666332,0.21859810,,
4,Centropomidae,3.53820109,1.00000000,1.39769495,1.39769495,0.70747489,2.47257900,0.88782340,0.28612831,,
5,Lutjanidae,3.40094590,1.00000000,0.67811251,0.67811251,0.74385118,3.20047808,0.73787200,0.23241881,,
6,Pleuronectiform,3.90500212,1.00000000,2.60086012,2.60086012,1.48761296,5.03750801,0.83002043,0.29530731,,
7,Scombridae,4.03531599,1.00000000,1.38055897,1.38055897,0.89643288,5.45289993,0.81965762,0.16439560,,
8,Coryphaenidae,4.16284800,1.00000000,0.34675330,0.34675330,0.83328819,7.26849794,0.78115213,0.11464380,,
9,Carangidae,3.40359211,1.00000000,1.02232206,1.02232206,2.87704897,12.0005102,0.81623268,0.23974390,,
10,Scorp./Triglida,3.24016500,1.00000000,0.56384891,0.56384891,1.18913901,8.74823666,0.11679590,0.13592900,,
11,Serranidae,3.59556103,1.00000000,2.79353905,2.79353905,1.13182700,5.83428478,0.61016059,0.19399580,,
12,Rajiformes,3.05255198,1.00000000,1.02099705,1.02099705,1.13907897,6.39762211,0.84507138,0.17804720,,
13,Ariidae,2.80660892,1.00000000,0.95959860,0.95959860,1.98697400,6.19243002,0.91717982,0.32087141,,
14,Poly./Mullidae,3.16421509,1.00000000,0.71834087,0.71834087,2.09681201,11.0298004,0.86511701,0.19010431,,
15,Tetraodontidae,2.96922588,1.00000000,0.72577441,0.72577441,2.19990802,6.03084421,0.87796402,0.36477610,,
16,Synodontidae,4.09618282,1.00000000,0.56087071,0.56087071,1.72815096,6.73965120,0.89892012,0.25641549,,
17,Cheloniidae,3.23412299,1.00000000,0.83977991,0.83977991,0.10378870,2.78848195,0.53372359,0.03722050,,
18,Gerreidae,2.34280992,1.00000000,2.00379395,2.00379395,3.63582802,12.2809696,0.81265467,0.29605380,,
19,Clupeidae,2.77764511,1.00000000,10.4765701,10.4765701,3.48445892,16.0299301,0.91968518,0.21737210,,
20,Mugilidae,2.26105595,1.00000000,1.02855897,1.02855897,1.02003896,16.3880291,0.95835543,0.06224293,,
21,"Otros peces",2.74045992,1.00000000,5.82662678,5.82662678,3.25872803,10.8357697,0.88072813,0.30073801,,
22,Celenterata,2.99471903,1.00000000,0.71017629,0.71017629,3.14717793,11.0454998,0.81489187,0.28492850,,
23,Cephalopoda,3.20423293,1.00000000,2.95922303,2.95922303,3.27740598,18.0902500,0.90575761,0.18116970,,
24,Gastropoda,2.00000000,1.00000000,3.84638095,3.84638095,3.55702209,15.7115698,0.77296579,0.22639510,,
25,Bivalvia,2.30989599,1.00000000,6.67975998,6.67975998,2.44235611,10.9078197,0.64507103,0.22390869,,
26,Echinodermata,2.34449410,1.00000000,8.22767353,8.22767353,0.94769019,3.18385696,0.90116268,0.29765469,,
27,Porifera,2.02611804,1.00000000,4.28952217,4.28952217,1.84554303,4.73543215,0.73191851,0.38973060,,
28,Palinura,2.64906693,1.00000000,3.72297907,3.72297907,1.14468801,7.92858219,0.94606519,0.14437491,,
29,Portunidae,2.39523911,1.00000000,1.20495105,1.20495105,3.10809493,9.13261986,0.85243630,0.34032899,,
30,Stomatopoda,2.05211496,1.00000000,0.81405991,0.81405991,2.30237389,8.59121513,0.87746090,0.26799160,,
31,Penaeidae,2.02152705,1.00000000,1.00495005,1.00495005,5.48332024,21.0587006,0.98631263,0.26038271,,
32,Polychaeta,2.00627589,1.00000000,6.30601978,6.30601978,6.09954977,25.0928497,0.75002992,0.24307920,,
33,Macrocrustáceos,2.00474191,1.00000000,6.75974798,6.75974798,1.27634394,6.61151791,0.89267081,0.19304860,,
34,Zooplancton,2.08994198,1.00000000,25.3969994,25.3969994,19.0538998,86.5063477,0.83886951,0.22026010,,
35,Fitoplancton,1.00000000,1.00000000,124.624001,124.624001,21.3509998,,0.67352378,,,
36,Macrofitas,1.00000000,1.00000000,109.321297,109.321297,7.61155605,,0.14797869,,,
37,Detritus,1.00000000,1.00000000,4.11850023,4.11850023,,,0.26661730,,,
