,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Delfines,4.32824707,1.00000000,0.01559416,0.01559416,0.10000000,33.5000000,0.40000001,0.00298508,,
2,Tiburones,4.21929407,1.00000000,0.079999998,0.079999998,0.94000000,7.80000019,0.69148940,0.12051280,,
3,"Aves marinas",4.18913221,1.00000000,0.00115286,0.00115286,5.40000010,80.0000000,0.10000000,0.06750000,,
4,Meros,4.04659224,1.00000000,0.38999999,0.38999999,0.44999999,4.59999990,0.90969878,0.09782609,,
5,Sierras,4.00841618,1.00000000,0.77119672,0.77119672,1.27999997,8.89999962,0.75000012,0.14382020,,
6,Calamar,3.90749407,1.00000000,0.11000000,0.11000000,1.70000005,26.5000000,0.48656911,0.06415094,,
7,Pargos,3.85578108,1.00000000,0.079999998,0.079999998,0.57999998,4.30000019,0.98506802,0.13488370,,
8,Jureles,3.76396394,1.00000000,1.33766699,1.33766699,0.69999999,10.00000000,0.80000001,0.07000000,,
9,"Otros peces",3.54871988,1.00000000,0.50000000,0.50000000,0.50000000,8.30000019,0.99122483,0.06024096,,
10,Pulpo,3.44695902,1.00000000,3.00558901,3.00558901,1.12000000,3.55999994,0.97000003,0.31460679,,
11,Sargos,3.38287711,1.00000000,0.93728977,0.93728977,1.09000003,15.3000002,0.94999999,0.07124183,,
12,Roncos,3.27698112,1.00000000,0.20000000,0.20000000,0.40000001,8.10000038,0.98429388,0.04938271,,
13,Corvinas,3.19250798,1.00000000,0.41999999,0.41999999,0.80000001,6.80000019,0.95627159,0.11764710,,
14,Sardinas,3.05542994,1.00000000,5.05026007,5.05026007,4.30999994,13.6999998,0.94999999,0.31459850,,
15,Bagres,3.02246404,1.00000000,0.69999999,0.69999999,0.44999999,9.69999981,0.98132730,0.04639175,,
16,"Tortugas marinas",3.01022911,1.00000000,0.28713050,0.28713050,0.15000001,3.50000000,0.41999999,0.04285714,,
17,Lenguados,2.85519099,1.00000000,0.89999998,0.89999998,0.30000001,9.10000038,0.96417868,0.03296703,,
18,Mojarras,2.83295989,1.00000000,0.89999998,0.89999998,1.14999998,18.2000008,0.93034101,0.06318681,,
19,Epifauna,2.74659395,1.00000000,4.99247408,4.99247408,2.11999989,8.50000000,0.94999993,0.24941170,,
20,Camarón,2.30789495,1.00000000,2.19636106,2.19636106,7.75699997,26.7000008,0.94999993,0.29052430,,
21,Zooplancton,2.05263209,1.00000000,6.94808388,6.94808388,21.7600002,119.699997,0.94999993,0.18178780,,
22,Infauna,2.00000000,1.00000000,37.4000015,37.4000015,4.84999990,24.2000008,0.29569641,0.20041320,,
23,Fitoplancton,1.00000000,1.00000000,45.5000000,45.5000000,102.599998,,0.12470920,,,
24,"Macrofítas bent.",1.00000000,1.00000000,0.03925613,0.03925613,10.2399998,,0.94999999,,,
25,Detritus,1.00000000,1.00000000,4.00000000,4.00000000,,,0.25345141,,10357.69042969,2589.42309570
