,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,76.9380035,76.9380035,,154.399994,,0.17177521,,,
2,Benth.producers,1.00000000,1.00000000,5.58371210,5.58371210,,15.0000000,,0.50000000,,,
3,Microzooplank.,2.05263209,1.00000000,1.80069101,1.80069101,,482.000000,1928.00000,0.94999999,0.25000000,,
4,Mesozooplank.,2.52631593,1.00000000,7.63040018,7.63040018,,40.0000000,133.332993,0.94999993,0.30000079,,
5,Macrozooplank.,2.86031604,1.00000000,12.74691963,12.74691963,,13.0000000,31.7070007,0.94999993,0.41000411,,
6,"Gelatinous zoo.",3.29174995,1.00000000,4.54500008,4.54500008,,0.58399999,1.66900003,0.15545620,0.34991011,,
7,Anchovy,3.54461193,1.00000000,6.34279108,6.34279108,,1.39999998,14.3999996,0.99000013,0.09722222,,
8,Sardine,2.90969610,1.00000000,1.01473796,1.01473796,,1.20000005,12.3710003,0.99000001,0.09700105,,
9,Redeye,3.65991592,1.00000000,5.55499983,5.55499983,,1.29999995,13.0000000,0.67787641,0.09999999,,
10,Othersmallpel,3.60271907,1.00000000,0.36399999,0.36399999,,1.00000000,10.00000000,0.75930572,0.10000000,,
11,Chubmackerel,4.00911093,1.00000000,0.28400001,0.28400001,,0.80000001,8.00000000,0.86938429,0.10000000,,
,"Horse mackerel",,,,,,,,,,,
12,Juv.hmack.,3.60981607,1.00000000,0.48619601,0.48619601,1.20000005,,22.2063408,0.35792220,0.05403862,,
13,Ad.hmack.,3.79174995,1.00000000,1.61800003,1.61800003,1.50000000,,10.00000000,0.54163361,0.15000001,,
14,Mesopelagics,3.72671604,1.00000000,6.97517776,6.97517776,,1.20000005,12.0000000,0.99000013,0.10000000,,
15,Snoek,4.54117584,1.00000000,0.14248270,0.14248270,,0.50000000,5.00000000,0.99000013,0.10000000,,
16,Otherlargepel,4.50768900,1.00000000,0.13100000,0.13100000,,0.49300000,4.92999983,0.89482421,0.10000000,,
17,Cephalopods,3.93053508,1.00000000,1.36399996,1.36399996,,3.50000000,10.00000000,0.82280523,0.34999999,,
,"M. capensis",,,,,,,,,,,
18,SmallM.capens,4.16733789,1.00000000,0.50244647,0.50244647,2.12500000,,15.6833296,0.98321438,0.13549420,,
19,LargeM.capens,4.75424719,1.00000000,0.82300019,0.82300007,0.80000001,,4.39999914,0.75809312,0.18181820,,
,"M. paradoxus",,,,,,,,,,,
20,SmallM.parad,4.03980207,1.00000000,1.29322898,1.29322898,2.50000000,,18.2915592,0.99474180,0.13667510,,
21,LargeM.parad,4.61535501,1.00000000,0.78600037,0.78600168,0.80000001,,4.69999599,0.99956012,0.17021289,,
22,Pelagicdemers,4.16666889,1.00000000,1.43611801,1.43611801,,0.69999999,3.50000000,0.99000001,0.20000000,,
23,Benthicdemers,3.45810008,1.00000000,3.68594193,3.68594193,,0.69999999,3.50000000,0.99000013,0.20000000,,
24,Pelagicchond,4.97245884,1.00000000,0.58200002,0.58200002,,0.50000000,4.54500008,0.99319261,0.11001100,,
25,Benthicchond,3.56077409,1.00000000,0.87300003,0.87300003,,1.00000000,10.00000000,0.88494152,0.10000000,,
26,Apexchond,4.80479002,1.00000000,0.045000002,0.045000002,,0.50000000,5.00000000,0.00000000,0.10000000,,
27,Seals,4.73633623,1.00000000,0.13300000,0.13300000,,0.25000000,19.3059998,0.46436089,0.01294934,,
28,Cetaceans,4.61669111,1.00000000,0.074000001,0.074000001,,0.15000001,10.00000000,0.81081080,0.01500000,,
29,Seabirds,4.58362198,1.00000000,0.015000000,0.015000000,,0.12300000,123.000000,0.10000000,0.00100000,,
30,Meiobenthos,2.00000000,1.00000000,10.40443039,10.40443039,,4.00000000,33.0000000,0.94999999,0.12121210,,
31,Macrobenthos,2.16128993,1.00000000,49.42105103,49.42105103,,1.20000005,10.00000000,0.94999993,0.12000000,,
32,Detritus,1.00000000,1.00000000,50.0000000,50.0000000,,,,0.23295520,,,
