,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Killer whales",4.58908701,1.00000000,0.0010000000,0.0010000000,0.059999999,4.80000019,0.00000000,0.01250000,,
2,"Sperm whales",4.69779110,1.00000000,0.0089999996,0.0089999996,0.064999998,4.19999981,0.00000000,0.01547619,,
3,"Baleen whales",3.43039107,1.00000000,0.012000000,0.012000000,0.085000001,4.80000019,0.23999999,0.01770833,0.0000769678,0.00641399
4,"Minke whales",3.39676404,1.00000000,0.14000000,0.14000000,0.094999999,4.80000019,0.02300000,0.01979167,0.0000038021,0.00002716
5,"Small cetaceans",4.45576191,1.00000000,0.048999999,0.048999999,0.15000001,7.19999981,0.00800000,0.02083333,-0.0000035377,-0.00007220
6,"Anctarctic fur seals",3.86156702,1.00000000,0.032000002,0.032000002,0.15000001,3.19700003,0.17500000,0.04691899,-0.0001477802,-0.00461813
7,"Elephant seals",4.62071800,1.00000000,0.082999997,0.082999997,0.15000001,2.65599990,0.00800000,0.05647591,-0.0000161677,-0.00019479
8,"Crabeater seals",3.40975499,1.00000000,0.0049999999,0.0049999999,0.11000000,5.79799986,0.99499989,0.01897206,-0.0001069302,-0.02138604
9,"Leopard seals",4.09854317,1.00000000,0.0010000000,0.0010000000,0.15000001,5.34299994,0.50000000,0.02807412,0.0000126623,0.01266235
10,"Weddell and Ross seals",4.26174021,1.00000000,0.00031172,0.00031172,0.22000000,11.3820000,0.90899998,0.01932877,,
11,"King pinguins",4.21059990,1.00000000,0.0070000002,0.0070000002,0.22100000,62.0270004,0.11300000,0.00356296,0.0000015009,0.00021441
12,pinguins,3.35233498,1.00000000,0.020000000,0.020000000,0.23999999,64.2360001,0.43599999,0.00373622,-0.0001708007,-0.00854004
13,Albatrosses,4.14407110,1.00000000,0.0010000000,0.0010000000,0.14000000,65.6240005,0.79100013,0.00213337,-0.0000050277,-0.00502765
14,"Other birds",3.62468696,1.00000000,0.0080000004,0.0080000004,0.25999999,256.419006,0.05100000,0.00101396,-0.0000096877,-0.00121096
15,Toothfish,4.33543110,1.00000000,0.19599999,0.19599999,0.26499999,1.60000002,0.98400003,0.16562501,0.0001870370,0.00095427
16,"Marbled rockcod",3.52819395,1.00000000,0.056000002,0.056000002,0.30500001,2.28600001,0.99099988,0.13342080,-0.0006556673,-0.01170834
17,"Mackerel icefish",3.31806207,1.00000000,0.059999999,0.059999999,0.56999999,2.91199994,0.99599999,0.19574180,-0.0018200590,-0.03033432
18,Myctophids,3.15737391,1.00000000,16.2999992,16.2999992,0.94999999,7.40600014,0.99599987,0.12827440,-0.039203539,-0.00240512
19,"Small pelagics",3.15737391,1.00000000,3.00000000,3.00000000,0.25000000,4.80200005,0.93000001,0.05206164,-0.0039395001,-0.00131317
20,"Large demersals",3.68308401,1.00000000,2.50000000,2.50000000,0.55000001,3.27399993,0.98900002,0.16799019,0.0019048910,0.00076196
21,"Small demersals",3.16113091,1.00000000,3.50000000,3.50000000,0.80000001,4.24300003,0.99299997,0.18854579,-0.0020204210,-0.00057726
22,"Large squid",3.88585305,1.00000000,1.60899997,1.60899997,2.50000000,12.0000000,0.09599999,0.20833330,-0.0004181836,-0.00025990
23,"Small squid",3.68963408,1.00000000,0.94999999,0.94999999,3.00000000,15.0000000,0.98000002,0.20000000,-0.011224170,-0.01181492
24,"Large invertebrates",2.61899710,1.00000000,3.70000005,3.70000005,0.87000000,10.00000000,0.99599987,0.08700000,0.0011754660,0.00031769
25,"Small invertebrates",2.11743689,1.00000000,8.19999981,8.19999981,1.74000001,20.0000000,0.99800003,0.08700000,0.0046485718,0.00056690
26,Krill,2.30303001,1.00000000,47.0000000,47.0000000,2.00000000,8.25000000,0.99500012,0.24242420,0.0096925814,0.00020623
27,Salps,2.05050492,1.00000000,20.8050003,20.8050003,50.0000000,250.000000,0.00500000,0.20000000,-0.17571460,-0.00844579
28,"Other zooplankton",2.01010108,1.00000000,71.0000000,71.0000000,7.00000000,28.0000000,0.99299991,0.25000000,-0.0040467689,-0.00005700
29,Phytoplankton,1.00000000,1.00000000,64.7720032,64.7720032,200.000000,,0.50000000,,0.0021326139,0.00003292
30,Detritus,1.00000000,1.00000000,,,,,0.09490091,,,
