,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Cutlassfish,4.25190210,1.00000000,0.23999999,0.23999999,0.41000000,2.04999995,0.85200012,0.20000000,-0.0000431996,-0.00018000
2,Hake,4.11214113,1.00000000,0.085000001,0.085000001,0.35499999,1.75000000,0.94999999,0.20285711,-0.0000487508,-0.00057354
3,Sharks,3.94288206,1.00000000,0.34200001,0.34200001,0.40000001,4.00000000,0.94999999,0.10000000,-0.0000399920,-0.00011694
4,"Other pelagics",4.02208185,1.00000000,0.74800003,0.74800003,0.56999999,5.30000019,0.94999993,0.10754720,0.0000420026,0.00005615
5,Weakfish,3.59324193,1.00000000,2.00000000,2.00000000,0.47999999,2.33999991,0.93500000,0.20512819,-0.0003600236,-0.00018001
6,Mackerel,3.10999990,1.00000000,1.32900000,1.32900000,0.34000000,2.71000004,0.94999993,0.12546130,-0.0001730357,-0.00013020
7,"Jack mackerel",3.11111093,1.00000000,0.30000001,0.30000001,0.34999999,3.00000000,0.95800000,0.11666670,0.0000075024,0.00002501
8,Anchovy,3.00000000,1.00000000,13.7100000,13.7100000,1.28999996,5.15500021,0.23999999,0.25024250,0.0015157730,0.00011056
9,Squids,3.31855106,1.00000000,0.20000000,0.20000000,1.50000000,3.23000002,0.89399999,0.46439630,-0.0001225140,-0.00061257
10,"Marine shrimps",2.00000000,1.00000000,0.29800001,0.29800001,3.93000007,19.1299992,0.94999999,0.20543650,-0.0001128462,-0.00037868
11,Zooplankton,2.11111093,1.00000000,9.00000000,9.00000000,64.9199982,324.600006,0.61900008,0.20000000,-0.19975010,-0.02219445
12,Phytoplankton,1.00000000,1.00000000,16.7000008,16.7000008,100.0000000,,0.96499997,,0.10606410,0.00635114
13,Detritus,1.00000000,1.00000000,150.000000,150.000000,,,0.93907928,,,
