,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Whales and porpoises",4.25083685,1.00000000,0.020000000,0.020000000,0.089000002,10.00000000,0.22471911,0.00890000,,
2,"Harp seals",4.03613806,1.00000000,0.23000000,0.23000000,0.033000000,3.30999994,0.09222661,0.00996979,,
3,"Hooded seals",4.39380693,1.00000000,0.0030000000,0.0030000000,0.079999998,9.55000019,0.00000000,0.00837696,,
4,"Grey seals",4.50940990,1.00000000,0.029999999,0.029999999,0.068000004,7.13000011,0.34313720,0.00953717,,
5,"Harbour seals",4.31959391,1.00000000,0.0012000001,0.0012000001,0.050999999,5.21000004,0.00000000,0.00978887,,
6,Seabirds,4.18728495,1.00000000,0.0040000002,0.0040000002,0.38999999,45.2500000,0.19230770,0.00861878,,
7,"Cod > 35 cm",3.49584889,1.00000000,5.25000000,5.25000000,0.55299997,2.35999990,0.31667891,0.23432200,,
8,"Cod <= 35 cm",3.37804008,1.00000000,1.25000000,1.25000000,0.58899999,3.07999992,0.88265562,0.19123380,,
9,"Greenland halibut",4.08368206,1.00000000,0.01182050,0.01182050,0.96300000,4.25000000,0.94999999,0.22658820,,
10,"American plaice <= 35 cm",3.27327204,1.00000000,4.80000019,4.80000019,0.50000000,2.45000005,0.21548291,0.20408159,,
11,"American plaice > 35 cm",3.13133502,1.00000000,0.55000001,0.55000001,0.49300000,2.43000007,0.53935373,0.20288070,,
12,Flounders,3.04560804,1.00000000,2.08704591,2.08704591,0.28600001,1.47000003,0.88000000,0.19455780,,
13,Skates,4.26486492,1.00000000,0.079999998,0.079999998,0.27900001,1.38000000,0.71026880,0.20217390,,
14,Redfish,3.65293193,1.00000000,0.029999999,0.029999999,0.34400001,1.73000002,0.88181239,0.19884390,,
15,"Large demersal feeders",4.23365307,1.00000000,0.34000000,0.34000000,0.44800001,1.60000002,0.68020493,0.28000000,,
16,"Small demersal feeders",3.97297597,1.00000000,1.73599994,1.73599994,0.31799999,1.09000003,0.94999993,0.29174310,,
17,Capelin,3.16523910,1.00000000,0.71672660,0.71672660,0.86600000,5.42999983,0.94000012,0.15948440,,
18,"Large pelagic feeders",3.93953800,1.00000000,0.029999999,0.029999999,0.38699999,2.33999991,0.80431092,0.16538461,,
19,"Piscivorous small pelagics",3.32009912,1.00000000,4.92999983,4.92999983,0.31600001,2.00999999,0.67128712,0.15721390,,
20,"Planktivorous small pelagics",3.24563193,1.00000000,9.75000000,9.75000000,0.54299998,3.13000011,0.68018258,0.17348240,,
21,Shrimp,2.47955990,1.00000000,0.55890912,0.55890912,3.57800007,16.0400009,0.92000002,0.22306730,,
22,"Large crustaceans",2.82688498,1.00000000,4.17074585,4.17074585,0.35699999,1.26999998,0.94999999,0.28110239,,
23,Echinoderms,2.00000000,1.00000000,112.300003,112.300003,0.36700001,1.67999995,0.07835974,0.21845239,,
24,Molluscs,2.00000000,1.00000000,42.0999985,42.0999985,0.72299999,2.65000010,0.15743770,0.27283019,,
25,Polychaetes,2.20652199,1.00000000,10.5000000,10.5000000,2.05399990,8.10999966,0.91650963,0.25326759,,
26,"Other benthic invertebrates",2.00000000,1.00000000,7.80000019,7.80000019,1.29799998,7.61000013,0.80310547,0.17056499,,
27,"Large zooplankton",2.46896410,1.00000000,5.75000000,5.75000000,5.47900009,34.7299995,0.90943700,0.15775990,,
28,"Small zoplankton",2.14925408,1.00000000,50.0000000,50.0000000,5.32399988,17.0799999,0.82898593,0.31170961,,
29,Phytoplankton,1.00000000,1.00000000,18.0400009,18.0400009,97.7959976,,0.37757739,,,
30,Detritus,1.00000000,1.00000000,93.0100021,93.0100021,,,0.36254680,,,
