,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Phytoplankton- Primary Producers",1.00000000,1.00000000,26.5280495,26.5280495,182.859299,,0.52158117,,,
2,Bacteria,2.00000000,1.00000000,7.53160000,7.53160000,91.2500076,380.208191,0.89999998,0.24000010,,
3,Microzooplankton,2.39397001,1.00000000,5.08305407,5.08305407,71.9999771,242.424194,0.89999992,0.29699999,,
4,"Small copepods",2.22847199,1.00000000,11.8251801,11.8251801,45.4321098,127.750000,0.90000010,0.35563299,,
5,"Large Copepods",2.65921688,1.00000000,5.65273619,5.65273619,61.9863701,109.500000,0.89999998,0.56608558,,
6,"Gelatinous Zooplankton",3.35287499,1.00000000,1.19584095,1.19584095,40.0000000,146.000000,0.89962250,0.27397260,,
7,Micronekton,2.81013799,1.00000000,4.23279476,4.23279476,14.2500000,139.286407,0.77589148,0.10230720,,
8,Mesopelagics,3.38315606,1.00000000,0.22835781,0.22835781,0.95037627,1.82500005,0.82759893,0.52075410,,
9,"Macrobenthos- polychaetes",2.38777494,1.00000000,35.4362411,35.4362411,2.50000000,17.5000000,0.89663428,0.14285710,,
10,"Macrobenthos- crustaceans",2.59462905,1.00000000,6.39222383,6.39222383,3.00000000,21.0000000,0.89653927,0.14285710,,
11,"Macrobenthos- molluscs",2.24689102,1.00000000,17.8054008,17.8054008,2.00000000,14.0000000,0.89880788,0.14285710,,
12,"Macrobenthos- other",2.44455695,1.00000000,18.9326191,18.9326191,2.03999996,17.6399994,0.89526463,0.11564630,,
13,"Megabenthos- filterers",2.19999909,1.00000000,3.70247102,3.70247102,5.00000000,19.0000000,0.73129612,0.26315790,,
14,"Megabenthos- other",2.99572897,1.00000000,3.37289095,3.37289095,2.00000000,16.9414597,0.89917523,0.11805360,,
15,"Shrimp et al.",2.68612790,1.00000000,0.27000001,0.27000001,2.00000000,5.00000000,0.87770128,0.40000001,,
16,"Larval-juv fish- all",3.28378391,1.00000000,0.42223811,0.42223811,21.0000000,45.0000000,0.59239590,0.46666670,,
17,"Small Pelagics- commercial",3.71452188,1.00000000,14.8511400,14.8511400,0.36310840,2.00000000,0.78810149,0.18155420,,
18,"Small Pelagics- other",3.51261592,1.00000000,1.94576800,1.94576800,0.95037627,2.00000000,0.90223467,0.47518811,,
19,"Small Pelagics- squid",3.91711593,1.00000000,3.06976104,3.06976104,0.95037627,2.75000000,0.74922919,0.34559140,,
20,"Small Pelagics- anadromous",3.61355710,1.00000000,0.65910012,0.65910012,0.45897940,2.00000000,0.92535287,0.22948970,,
21,"Medium Pelagics- (piscivores & other)",4.63179207,1.00000000,0.34955311,0.34955311,0.58499998,1.42799997,0.90746182,0.40966389,,
22,"Demersals- benthivores",3.82883906,1.00000000,2.33743596,2.33743596,0.44999999,0.89999998,0.79019731,0.50000000,,
23,"Demersals- omnivores",3.56575799,1.00000000,3.63476205,3.63476205,0.44999999,0.80000001,0.88411462,0.56250000,,
24,"Demersals- piscivores",4.33017492,1.00000000,2.33421803,2.33421803,0.46799999,1.03499997,0.91032320,0.45217389,,
25,"Sharks- coastal",4.57825518,1.00000000,0.021472611,0.021472611,0.10200000,0.87599999,0.84158617,0.11643840,,
26,"Sharks- pelagics",4.73879814,1.00000000,0.038751669,0.038751669,0.10523970,0.40798810,0.85514432,0.25794801,,
27,HMS,4.56815910,1.00000000,0.0054784170,0.0054784170,0.58379108,7.28909302,0.83240080,0.08009104,,
28,Pinnipeds,4.64704895,1.00000000,0.017808860,0.017808860,0.10574320,8.77777767,0.58118188,0.01204669,,
29,"Baleen Whales",3.74153805,1.00000000,0.14004380,0.14004380,0.040519569,4.48999977,0.06760550,0.00902440,,
30,Odontocetes,4.70557880,1.00000000,0.075230353,0.075230353,0.040800001,15.6408005,0.79320019,0.00260856,,
31,"Sea Birds",4.16518307,1.00000000,0.010703640,0.010703640,0.27500001,9.95204926,0.74582487,0.02763250,,
32,Discard,1.00000000,1.00000000,0.97425401,0.97425401,,,0.22175699,,1.29501700,1.32923901
33,Detritus-POC,1.00000000,1.00000000,40.0000000,40.0000000,,,0.83647180,,,
