,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
,arrowtooth,,,,,,,,,,,
1,"arrowtooth juv.",3.73040009,1.00000000,0.0033520749,0.0033520749,0.50000000,,4.42278290,0.70195359,0.11305100,,
2,"arrowtooth ad.",3.77043796,1.00000000,0.029999999,0.030000070,0.30000001,,2.00002789,0.68999839,0.14999790,,
,P.Cod,,,,,,,,,,,
3,"P. cod juv.",3.65305209,1.00000000,0.17621170,0.17621170,0.80000001,,3.42176104,0.79921627,0.23379770,,
4,"P. cod ad.",3.63837504,1.00000000,0.30000019,0.30000019,0.66000003,,1.79999900,0.66449451,0.36666691,,
,"P. halibut",,,,,,,,,,,
5,"P. halibut juv.",3.73552990,1.00000000,0.0006462024,0.0006462024,0.50000000,,2.55046797,0.30950049,0.19604240,,
6,"P. halibut ad.",3.96459603,1.00000000,0.0049999990,0.0049999990,0.30000001,,1.00000000,0.66666681,0.30000001,,
,sablefish,,,,,,,,,,,
7,"sablefish juv.",3.74066401,1.00000000,0.016560730,0.016560730,0.30000001,,4.41281605,0.88059717,0.06798380,,
8,"sablefish ad.",3.51170111,1.00000000,0.10000000,0.10000000,0.20000000,,2.20000005,0.74099988,0.09090909,,
,pollock,,,,,,,,,,,
9,"pollock juv.",3.61048388,1.00000000,0.086646177,0.086646177,0.80000001,,6.71485615,0.89958489,0.11913880,,
10,"pollock ad.",3.58921289,1.00000000,2.50000095,2.50000095,0.40000001,,1.99999905,0.49641180,0.20000011,,
,herring,,,,,,,,,,,
11,"herring juv.",3.27628398,1.00000000,4.25566196,4.25566196,1.10000002,,8.06406021,0.93898970,0.13640770,,
12,"herring ad.",3.23275805,1.00000000,9.99999714,9.99999046,0.69999999,,4.39998722,0.89009857,0.15909140,,
13,"birds pelag pisciv",4.30673122,1.00000000,0.012000000,0.012000000,,0.22300000,120.000000,0.00000000,0.00185833,,
14,"birds demer pisciv",4.20469618,1.00000000,0.0080000004,0.0080000004,,0.11400000,120.000000,0.00000000,0.00095000,,
15,"birds zooplanktiv",3.50119090,1.00000000,0.0010000000,0.0010000000,,0.18632960,228.125000,0.00000000,0.00081679,,
16,odontocetae,4.56778288,1.00000000,0.059999999,0.059999999,,0.029999999,13.1000004,0.00000000,0.00229008,,
17,mysticetae,3.40841103,1.00000000,0.0099999998,0.0099999998,,0.020000000,13.3699999,0.00000000,0.00149589,,
18,"sea lions",4.52500486,1.00000000,0.14000000,0.14000000,,0.059999999,12.6999998,0.00000000,0.00472441,,
19,seals,4.56135416,1.00000000,0.34000000,0.34000000,,0.14000000,15.9499998,0.96050417,0.00877743,,
20,"salmon shark",4.80951500,1.00000000,0.020000000,0.020000000,,0.20000000,1.20000005,0.00000000,0.16666670,,
21,"pelagic sharks",4.80546713,1.00000000,0.015000000,0.015000000,,0.14000000,1.00000000,0.00000000,0.14000000,,
22,dogfish,3.89206910,1.00000000,2.50000000,2.50000000,,0.19000000,2.70000005,0.43493059,0.07037037,,
23,"rajidae / ratfish",3.34748292,1.00000000,1.20000005,1.20000005,,0.30000001,1.31975996,0.75741673,0.22731410,,
24,pink,3.87194490,1.00000000,0.020000000,0.020000000,,1.39999998,8.89999962,0.89216632,0.15730339,,
25,chum,3.77913904,1.00000000,1.00000000,1.00000000,,1.00000000,7.00000000,0.33868271,0.14285710,,
26,sockeye,4.12237597,1.00000000,0.020000000,0.020000000,,1.26999998,8.39999962,0.98468530,0.15119050,,
,coho,,,,,,,,,,,
27,"coho juv.",3.79401708,1.00000000,0.95771557,0.95771557,2.40000010,,7.87143183,0.91433209,0.30490011,,
28,"coho ad.",4.06100082,1.00000000,0.20000000,0.20000000,1.29999995,,3.24000001,0.97995412,0.40123451,,
,chinook,,,,,,,,,,,
29,"chinook juv.",4.18254614,1.00000000,1.24410999,1.24410999,2.40000010,,11.8642902,0.60482597,0.20228770,,
30,"chinook ad.",4.00326300,1.00000000,0.33000001,0.33000019,1.39999998,,5.00000191,0.91917050,0.27999991,,
31,"Pac. Ocean perch",3.36892200,1.00000000,0.0001000000,0.0001000000,,0.10000000,2.40000010,0.50000000,0.04166666,,
32,"rockfish other",3.48995900,1.00000000,0.80000001,0.80000001,,0.18000001,2.59999990,0.60887152,0.06923077,,
33,"Pac. hake",3.39019108,1.00000000,10.00000000,10.00000000,,0.80000001,2.40000010,0.56646252,0.33333331,,
34,lingcod,4.22975302,1.00000000,3.00000000,3.00000000,,0.34999999,2.40000010,0.28761911,0.14583330,,
35,"yellowfin sole",3.36840892,1.00000000,0.0010000000,0.0010000000,,0.19000000,2.40000010,0.00000000,0.07916667,,
36,"rock sole",3.39039707,1.00000000,0.46000001,0.46000001,,0.22000000,2.29999995,0.33537549,0.09565218,,
37,"flatfish other",3.32409692,1.00000000,4.00000000,4.00000000,,0.60000002,3.00000000,0.54206538,0.20000000,,
38,myctophids,3.27260995,1.00000000,4.50000000,4.50000000,,0.50000000,6.80000019,0.22903940,0.07352941,,
39,"misc. small demersals",3.52478909,1.00000000,5.50000000,5.50000000,,1.57679999,5.25600004,0.99442798,0.30000001,,
40,"misc. pred. pelagics",4.42526293,1.00000000,0.0010000000,0.0010000000,,0.44999999,6.59999990,0.86666662,0.06818182,,
41,"misc. small pelagics",3.31340098,1.00000000,15.0000000,15.0000000,,2.29999995,7.66666603,0.87497669,0.30000001,,
42,krill,2.12012601,1.00000000,30.0000000,30.0000000,,6.00000000,24.7999992,0.86559898,0.24193551,,
43,"carn. zooplankton",3.00632310,1.00000000,20.0000000,20.0000000,,7.00000000,20.0000000,0.87990612,0.34999999,,
44,"herb. zooplankton",2.00000000,1.00000000,27.0000000,27.0000000,,22.0000000,80.0000000,0.92389113,0.27500001,,
45,jellies,3.01094794,1.00000000,12.5000000,12.5000000,,9.60000038,13.0000000,0.07643254,0.73846161,,
46,"large squids",4.13839293,1.00000000,0.050000001,0.050000001,,2.59999990,6.40000010,0.41200000,0.40625000,,
47,"small squids",3.56092310,1.00000000,0.62000108,0.62000108,,3.00000000,15.0000000,0.89999998,0.20000000,,
48,shrimps,3.03161192,1.00000000,0.50000000,0.50000000,,1.20000005,9.66699982,0.92490649,0.12413370,,
49,crabs,2.82434106,1.00000000,3.79999995,3.79999995,,1.50000000,3.50000000,0.85298568,0.42857140,,
50,bivalves,2.25063205,1.00000000,7.69999981,7.69999981,,0.89999998,4.50000000,0.50458157,0.20000000,,
51,echinoderms,2.75160193,1.00000000,15.0000000,15.0000000,,0.30000001,1.20000005,0.98780477,0.25000000,,
52,"other benthos",2.07371712,1.00000000,43.0000000,43.0000000,,4.50000000,15.00000000,0.59727502,0.30000001,,
53,phytoplankton,1.00000000,1.00000000,40.0000000,40.0000000,,130.000000,,0.60753042,,,
54,macrophytes,1.00000000,1.00000000,8.00000000,8.00000000,,9.00000000,,0.97680539,,,
55,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,,0.09125188,,,
