,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Ardea alba",3.65072107,1.00000000,1.46000004,1.46000004,,0.11000000,0.73333329,0.00000000,0.15000001,,
2,"Butorides Striata",3.79361105,1.00000000,0.020000000,0.020000000,,0.20000000,1.33333302,0.00000000,0.15000001,,
3,"Caracara plancus",2.75119591,1.00000000,0.15000001,0.15000001,,0.090000004,0.60000002,0.00000000,0.15000001,,
4,"Egretta thula",3.66775489,1.00000000,0.20000000,0.20000000,,0.15000001,1.00000000,0.00000000,0.15000001,,
5,"Phalacrocorax brasilianus",3.69256902,1.00000000,0.039999999,0.039999999,,0.11000000,0.73333329,0.00000000,0.15000001,,
6,"Other Birds",2.57279611,1.00000000,1.73000002,1.73000002,,0.19000000,1.26666701,0.00000000,0.15000001,,
7,Pescada,2.90191388,1.00000000,2.94264197,2.94264197,,1.58454502,12.9671803,0.60000008,0.12219660,,
8,P.brevis,2.06666708,1.00000000,2.76380610,2.76380610,,1.13950598,11.2230797,0.60000002,0.10153240,,
9,L.piau,2.55768204,1.00000000,1.54855597,1.54855597,,1.28121901,10.3433599,0.60000002,0.12386870,,
10,A.bimaculatus,2.89739490,1.00000000,0.81827748,0.81827748,,4.25600910,16.8382397,0.60000002,0.25275859,,
,"A. gigas",,,,,,,,,,,
11,"A. gigas 1",2.76055694,1.00000000,0.015169900,0.015169900,4.00000000,,20.3999996,0.00000000,0.19607840,,
12,"A.gigas 2",3.61110806,1.00000000,0.034773279,0.034773272,0.67699999,,8.22512913,0.00000000,0.08230874,,
13,"A. gigas 3",3.49924302,1.00000000,0.069876708,0.069876708,0.23700000,,5.63815689,0.00000000,0.04203501,,
14,"A. gigas 4",3.49924302,1.00000000,1.08369005,1.08369005,0.23700000,,3.44526410,0.00000000,0.06879008,,
15,Poecilia,2.75717711,1.00000000,2.13590288,2.13590288,,2.73937893,28.4008598,0.74638498,0.09645408,,
,C.monoculus,,,,,,,,,,,
16,"Cichla sp. adulto",3.39101791,1.00000000,1.09300005,1.09299898,0.73358458,,11.4205399,0.88849258,0.06423377,,
17,"Cichla sp. juvenil",2.87321591,1.00000000,0.24070570,0.24070570,1.12686706,,28.6087608,0.62354833,0.03938888,,
,O.niloticus,,,,,,,,,,,
18,"O.niloticus adulto",2.52941203,1.00000000,3.23534799,3.23534799,1.29639697,,7.93690920,0.92602938,0.16333780,,
19,"O.niloticus juvenil",2.45434403,1.00000000,0.94999999,0.94999999,1.20187604,,15.1383896,0.93372518,0.07939260,,
,A.brasiliensis,,,,,,,,,,,
20,"A.brasiliensis adulto",2.91027594,1.00000000,1.69416904,1.69416904,1.92168605,,15.4310799,0.70716512,0.12453350,,
21,"A.brasiliensis juvenil",2.83543897,1.00000000,0.31135711,0.31135711,1.73849797,,31.8765392,0.83129460,0.05453848,,
22,"Outros Invertebrados",2.00000000,1.00000000,5.03000021,5.03000021,,2.61999989,10.47999954,0.67256463,0.25000000,,
23,"M. tuberculata",2.00000000,1.00000000,17.1765003,17.1765003,,4.80999994,13.4300003,0.40250969,0.35815340,,
24,Camarão,2.00000000,1.00000000,1.41310000,1.41310000,,22.5000000,90.0000000,0.87898958,0.25000000,,
25,Insecta,2.00956893,1.00000000,9.19317436,9.19317436,,10.0864000,40.3456116,0.97852337,0.24999990,,
26,Ostracoda,2.00000000,1.00000000,3.47000003,3.47000003,,8.40304947,33.6122017,0.50579083,0.25000000,,
27,Cladocera,2.00000000,1.00000000,0.13213320,0.13213320,,12.0000000,48.0000000,0.91422892,0.25000000,,
28,Rotifera,2.00000000,1.00000000,0.14621291,0.14621291,,6.00000000,24.0000000,0.76294577,0.25000000,,
29,Copepoda,2.00000000,1.00000000,0.16029000,0.16029000,,24.0000000,96.0000000,0.76718211,0.25000000,,
30,Phytoplankton,1.00000000,1.00000000,11.4860001,11.4860001,,45.9599991,,0.28535941,,,
31,Detritus,1.00000000,1.00000000,21.0000000,21.0000000,,,,0.86569530,,,
