,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (g/m^2)","Biomass (g/m^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (g/m^2)","BA rate (/year)"
1,"O. saurus",3.43703389,1.00000000,0.010700000,0.010700000,0.30000001,3.00000000,0.00000000,0.10000000,,
2,"S. notata",3.23917103,1.00000000,0.049400002,0.049400002,0.30000001,2.00000000,0.00000000,0.15000001,,
3,"B. chrysoura",3.15848708,1.00000000,0.51800001,0.51800001,0.38000000,5.86899996,0.01431813,0.06474698,,
4,Anchovies,3.03332210,1.00000000,0.60811228,0.60811228,0.60000002,8.77799988,0.20000000,0.06835271,,
5,"D. auratus",2.93827295,1.00000000,0.023399999,0.023399999,1.38000000,6.12400007,0.08727797,0.22534290,,
6,"Other fishes",2.79888892,1.00000000,3.00000000,3.00000000,0.40000001,3.00000000,0.07186300,0.13333330,,
7,Shrimp,2.65555596,1.00000000,0.80000001,0.80000001,7.57299995,19.2210007,0.38630089,0.39399609,,
8,Benthos,2.11111093,1.00000000,10.76313019,10.76313019,4.00000000,25.0000000,0.94999993,0.16000000,,
9,"M. curema",2.06840205,1.00000000,0.93120003,0.93120003,1.00000000,4.50000000,0.00000000,0.22222219,,
10,Zooplankton,2.00000000,1.00000000,1.12777400,1.12777400,5.00000000,60.0000000,0.94999999,0.08333334,,
11,"Other decapods",2.00000000,1.00000000,0.75979441,0.75979441,2.50000000,8.50000000,0.94999999,0.29411769,,
12,Phytoplankton,1.00000000,1.00000000,2.50000000,2.50000000,102.557999,,0.60733849,,,
13,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,0.93830669,,,
