,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Seabirds,3.96815205,1.00000000,0.037200000,0.037200000,,4.19999981,29.7383003,0.00000000,0.14123200,,
2,Dolphins,3.82928395,1.00000000,0.094700001,0.094700001,,0.12000000,14.6000004,0.15202910,0.00821918,,
3,"large coastal sharks",4.25645018,1.00000000,1.70589995,1.70589995,,0.32929999,3.47979999,0.13756500,0.09463187,,
4,"small coastal sharks",3.74989104,1.00000000,0.73189998,0.73189998,,0.53920001,4.65170002,0.31752270,0.11591460,,
,Snook,,,,,,,,,,,
5,"0-6 Snook",3.73924708,1.00000000,0.062173709,0.062173709,6.00000000,,29.3184509,0.84551978,0.20464930,,
6,"6-18 Snook",3.83088708,1.00000000,0.44990179,0.44990179,2.00000000,,10.2843599,0.55287719,0.19447000,,
7,"18-66 Snook",3.91118097,1.00000000,1.07043099,1.07043099,1.00000000,,5.31986809,0.29260570,0.18797460,,
8,"66+ Snook",4.01286507,1.00000000,0.091200002,0.091199383,0.60000002,,3.85056806,0.74494809,0.15582120,,
,"Red Drum",,,,,,,,,,,
9,"0-6 Red Drum",3.17001796,1.00000000,0.035640810,0.035640810,5.00000000,,21.2105198,0.86586791,0.23573209,,
10,"6-18 Red Drum",3.51151109,1.00000000,0.35058281,0.35058281,1.75000000,,7.58404303,0.58625698,0.23074760,,
11,"18+ Red Drum",3.89637494,1.00000000,1.21720004,1.21720099,0.87000000,,3.83441591,0.22872069,0.22689240,,
,"Black Drum",,,,,,,,,,,
12,"juv Black Drum",3.11645198,1.00000000,0.0014988190,0.0014988190,5.09999990,,29.1567001,0.87348282,0.17491689,,
13,"adult Black Drum",3.42268395,1.00000000,0.24014001,0.24013990,0.64999998,,4.00000000,0.74286610,0.16249999,,
,Mackerel,,,,,,,,,,,
14,"juv Spanish mackerel",3.83939600,1.00000000,0.012182260,0.012182260,5.00000000,,34.1558495,0.82123399,0.14638780,,
15,"adult Spanish mackerel",4.02904987,1.00000000,1.00179005,1.00179005,0.95999998,,7.22730303,0.78411460,0.13282961,,
,Jacks,,,,,,,,,,,
16,"juv Jacks",3.80163908,1.00000000,0.016102260,0.016102260,4.00000000,,27.9250393,0.81381828,0.14324060,,
17,"adult Jacks",3.95318890,1.00000000,0.78460002,0.78460038,0.70999998,,5.46179914,0.36454809,0.12999380,,
,Pompano,,,,,,,,,,,
18,"juv Pompano",3.11944509,1.00000000,0.0043534711,0.0043534711,4.00000000,,29.5374203,0.87310171,0.13542140,,
19,"adult Pompano",3.33603811,1.00000000,0.21066999,0.21066990,0.81999999,,7.00360394,0.78002602,0.11708260,,
,Seatrout,,,,,,,,,,,
20,"0-6 Sea Trout",3.63573003,1.00000000,0.025076849,0.025076849,5.50000000,,28.9226704,0.86791712,0.19016220,,
21,"6-18 Sea Trout",3.80239606,1.00000000,0.25476089,0.25476089,1.75000000,,9.73597908,0.71405602,0.17974570,,
22,"18+ Sea Trout",4.00480604,1.00000000,1.50279999,1.50279999,0.75000000,,4.27619791,0.74074298,0.17538939,,
,Sandtrout,,,,,,,,,,,
23,"juv Sand Trout",3.57224393,1.00000000,0.038471472,0.038471472,3.00000000,,19.2539997,0.87032199,0.15581180,,
24,"adult Sand Trout",3.85486603,1.00000000,0.51827002,0.51826978,0.85000002,,5.79580212,0.29043069,0.14665790,,
,Snapper,,,,,,,,,,,
25,"juv snappers",3.67198300,1.00000000,0.018431021,0.018431021,3.50000000,,21.8010807,0.82138789,0.16054250,,
26,"adult snappers",3.95124412,1.00000000,0.48951000,0.48950991,0.73000002,,4.75790215,0.42592281,0.15342900,,
,Flounder,,,,,,,,,,,
27,"juv Flounders",3.70567107,1.00000000,0.0015299630,0.0015299630,5.00000000,,30.6905193,0.82778049,0.16291679,,
28,"adult Flounders",3.93953109,1.00000000,0.22319999,0.22319999,0.76999998,,5.73899221,0.78867209,0.13416991,,
,Mullet,,,,,,,,,,,
29,"juv Mullet",2.18564010,1.00000000,0.12466940,0.12466940,5.00000000,,33.1952286,0.84823680,0.15062410,,
30,"adult Mullet",2.13220000,1.00000000,4.79040003,4.79039907,0.75000000,,7.77870178,0.74039328,0.09641711,,
,Ladyfish,,,,,,,,,,,
31,"juv Ladyfish",3.65161109,1.00000000,0.037752241,0.037752241,4.00000000,,26.9109001,0.86516422,0.14863870,,
32,"adult Ladyfish",3.82127094,1.00000000,0.79864001,0.79863971,0.89999998,,6.63860083,0.73874748,0.13557070,,
,"Silver Perch",,,,,,,,,,,
33,"juv Silver Perch",3.45678401,1.00000000,0.041320320,0.041320320,5.00000000,,21.8802795,0.86576229,0.22851630,,
34,"adult Silver Perch",3.77969193,1.00000000,0.85229999,0.85229981,1.32000005,,6.94400215,0.38816211,0.19009210,,
,Sheepshead,,,,,,,,,,,
35,"juv Sheepshead",3.15295601,1.00000000,0.037869118,0.037869118,5.00000000,,33.9119911,0.84225082,0.14744049,,
36,"adult Sheepshead",3.45118594,1.00000000,1.82982004,1.82982099,0.93000001,,6.50460100,0.24516410,0.14297570,,
37,Spadefish,2.49342990,1.00000000,0.27026001,0.27026001,,0.97000003,7.72650003,0.12434160,0.12554200,,
