,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Pelagic sharks",4.51287508,1.00000000,0.042670000,0.042670000,0.50000000,2.00000000,0.00000000,0.25000000,,
2,"Tunas  billfishes",4.74795198,1.00000000,0.026750000,0.026750000,0.60000002,6.19999981,0.00000000,0.09677420,,
3,"Demersal sharks",4.47368002,0.50000000,1.20000005,0.60000002,0.079999998,1.50000000,0.00000000,0.05333333,,
4,Scavengers,3.21994996,0.50000000,50.0000000,25.0000000,0.079999998,1.39999998,0.00000000,0.05714286,,
5,Alepocephalids,3.28699589,1.00000000,0.19000000,0.19000000,0.10000000,2.09999990,0.00000000,0.04761905,,
6,Roughy,4.36390209,0.10000000,100.0000000,10.00000000,0.041999999,4.00000000,0.83333337,0.01050000,,
7,"Warty oreo",4.44117689,0.10000000,0.059999999,0.0060000001,0.059999999,4.00000000,0.00000000,0.01500000,,
8,"Other oreos",3.43311691,0.10000000,300.000000,30.0000000,0.059999999,4.00000000,0.00000000,0.01500000,,
9,"Lge pelagic fishes",3.91886210,1.00000000,0.30348831,0.30348831,0.19000000,2.29999995,0.89999998,0.08260870,,
10,"Benthopelagic fish",3.54085994,1.00000000,12.0000000,12.0000000,0.10000000,0.50000000,0.90000308,0.20000000,0.0000000638,0.00000001
11,"Benthic fish",3.25267601,1.00000000,3.29999995,3.29999995,0.13739240,2.40000010,0.89999998,0.05724685,,
12,"Shallow migratory small fish",3.18047595,1.00000000,29.0000000,29.0000000,0.82999998,8.00000000,0.90000010,0.10375000,0.0000007911,0.00000003
13,"Deep migratory small fish",3.18124604,1.00000000,40.0000000,40.0000000,0.68000001,6.00000000,0.89999998,0.11333330,-0.0000008869,-0.00000002
14,"Non-migratory small fish",3.99964094,1.00000000,32.0000000,32.0000000,0.34999999,1.60000002,0.89999992,0.21875000,0.0000015450,0.00000005
15,"Lge squid",3.69907403,1.00000000,3.59265399,3.59265399,3.20000005,10.6999998,0.89999998,0.29906541,,
16,"Small squid",3.37917900,1.00000000,2.76726389,2.76726389,4.00000000,13.0000000,0.89999998,0.30769229,,
17,Epibenthos,2.33918095,1.00000000,8.01636219,8.01636219,1.48000002,7.69000006,0.80000001,0.19245771,,
18,Infauna,2.00000000,1.00000000,16.05389023,16.05389023,1.39999998,12.0000000,0.80000001,0.11666670,,
19,Megabenthos,2.75584793,1.00000000,6.49165487,6.49165487,2.50000000,5.84999990,0.80000007,0.42735040,,
20,Corals,2.22222209,0.15000001,15.0000000,2.25000000,0.050000001,1.00000000,0.01063826,0.05000000,,
21,"Gelatinous zooplankton",2.27777791,1.00000000,8.00000000,8.00000000,6.00000000,22.0000000,0.80000001,0.27272731,-0.0000047684,-0.00000060
22,"Pelagic crustaceans",2.44444394,1.00000000,5.00000000,5.00000000,1.70000005,10.00000000,0.79999989,0.17000000,0.0000010550,0.00000021
23,Zooplankton,2.11111093,1.00000000,14.0000000,14.0000000,6.00000000,22.0000000,0.80000079,0.27272731,-0.0000722408,-0.00000516
24,Phytoplankton,1.00000000,1.00000000,17.0000000,17.0000000,40.0000000,,0.44745591,,,
25,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,0.53515428,,,
