,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Engraulidae,2.54980397,1.00000000,0.72100002,0.72100002,0.66000003,9.25699997,0.70879149,0.07129740,,
2,Gerreidae,2.87128091,1.00000000,0.13699999,0.13699999,1.58599997,6.59999990,0.74719357,0.24030299,,
3,Ariidae,2.65598607,1.00000000,0.37099999,0.37099999,0.35800001,9.64200020,0.69713038,0.03712923,,
4,Haemulidae,2.90122700,1.00000000,0.14200000,0.14200000,0.49200001,9.33699989,0.80407339,0.05269359,,
5,Scianidae,3.11022806,1.00000000,0.12000000,0.12000000,0.51300001,6.84299994,0.79031372,0.07496712,,
6,Lutjanidae,3.31455898,1.00000000,0.037000000,0.037000000,0.51599997,4.75099993,0.69798112,0.10860870,,
7,Sparidae,2.36825395,1.00000000,0.47900000,0.47900000,0.47799999,11.8459997,0.79630172,0.04035117,,
8,Tetraodontidae,2.50605202,1.00000000,0.22900000,0.22900000,0.30000001,7.90299988,0.03125202,0.03796027,,
9,"Other fish",3.13694191,1.00000000,0.24200000,0.24200000,0.77800000,6.22599983,0.95326638,0.12495980,,
10,Brachyurans,2.41557503,1.00000000,0.75300002,0.75300002,3.80100012,14.1580000,0.39935970,0.26847011,,
11,Penaeids,2.37752891,1.00000000,2.55999994,2.55999994,4.50099993,17.8600006,0.23519979,0.25201571,,
12,Microcrustaceans,2.09932089,1.00000000,0.38600001,0.38600001,4.63500023,13.6300001,0.95018029,0.34005871,,
13,Molluscs,2.10729098,1.00000000,1.50600004,1.50600004,4.62300014,15.7650003,0.75459772,0.29324451,,
14,"Other macroinvertebrates",2.36841297,1.00000000,1.30993998,1.30993998,2.24499989,12.5959997,0.95999998,0.17823119,,
15,Polychaetes,2.06516504,1.00000000,8.01299953,8.01299953,4.42500019,21.5440006,0.44355759,0.20539360,,
16,Meiofauna,2.04432297,1.00000000,5.19294977,5.19294977,10.3830004,48.7630005,0.46000001,0.21292780,,
17,Zooplankton,2.06837606,1.00000000,1.12699997,1.12699997,18.9500008,71.9739990,0.57438600,0.26328951,,
18,"Benthic autotrophs",1.00000000,1.00000000,239.037994,239.037994,10.5310001,,0.01187472,,,
19,Phytoplankton,1.00000000,1.00000000,1.15499997,1.15499997,60.6759987,,0.98196793,,,
20,Detritus,1.00000000,1.00000000,12.7100000,12.7100000,,,0.17369001,,,
