,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Anguille,3.65262294,1.00000000,11.0000000,11.0000000,0.80000001,4.00000000,0.84545451,0.20000000,,
2,"Adult predators",3.32971597,1.00000000,6.07163906,6.07163906,1.00000000,4.84999990,0.89999998,0.20618559,,
3,"Adult mugilids",2.40154791,1.00000000,9.16930294,9.16930294,1.00000000,5.00000000,0.89999998,0.20000000,,
4,"Young predators",2.99224806,1.00000000,11.48795033,11.48795033,3.00000000,8.00000000,0.89999992,0.37500000,,
5,Atherinids,2.77796197,1.00000000,9.06772614,9.06772614,1.60000002,11.6000004,0.89999998,0.13793100,,
6,Molluscs,2.14285707,1.00000000,477.000000,477.000000,0.69999999,5.00000000,0.80321342,0.14000000,,
7,Benthos,2.29870105,1.00000000,13.12596035,13.12596035,4.00000000,36.0000000,0.89999998,0.11111110,,
8,Zooplankton,2.42857099,1.00000000,267.000000,267.000000,20.0000000,60.0000000,0.98092228,0.33333331,,
9,Phytoplankton,1.00000000,1.00000000,15.0000000,15.0000000,40.0000000,,0.87494898,,,
10,"Benthic prod.",1.00000000,1.00000000,1071.00000,1071.00000,8.39999962,,0.01205876,,,
11,Detritus,1.00000000,1.00000000,5000.00000,5000.00000,,,0.81664968,,,
