,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Marine birds",4.26798201,1.00000000,0.028000001,0.028000001,0.10000000,76.1829987,0.00000000,0.00131263,,
2,"Dolphins and porpoise",4.41430998,1.00000000,0.078699999,0.078699999,0.10000000,27.0000000,0.00000000,0.00370370,,
3,"Baleen whales",4.19386911,1.00000000,0.19499999,0.19499999,0.050000001,10.8999996,0.00000000,0.00458716,,
4,Seals,4.37292385,1.00000000,0.0015000000,0.0015000000,0.24699999,3.09999990,0.00000000,0.07967742,,
5,"Black seabass",4.02011108,1.00000000,0.05490327,0.05490327,0.74000001,3.59999990,0.84999990,0.20555560,,
6,Goosefish,4.36386585,1.00000000,0.50433362,0.50433362,0.34999999,3.09999990,0.85000008,0.11290320,,
7,Tilefish,3.33631301,1.00000000,0.035000000,0.035000000,0.41999999,4.09999990,0.92303407,0.10243900,,
8,Scup,3.28659105,1.00000000,0.01323866,0.01323866,1.32000005,5.50000000,0.94999999,0.23999999,,
9,Spot,2.49801898,1.00000000,0.04295262,0.04295262,1.82000005,19.2999992,0.94999999,0.09430052,,
10,Butterfishes,3.46515203,1.00000000,0.079999998,0.079999998,2.20000005,5.50000000,0.60809708,0.40000001,,
11,"Atlantic salmon",3.41676593,1.00000000,0.00437508,0.00437508,0.74000001,7.13999987,0.89999998,0.10364150,,
12,"Striped bass",4.26427078,1.00000000,0.22200000,0.22200000,0.13000000,1.39999998,0.96416187,0.09285714,,
13,Weakfish,4.25751495,1.00000000,0.04371904,0.04371904,0.98000002,3.50000000,0.94999993,0.28000000,,
14,"Spiny dogfish",4.15632105,1.00000000,0.58627892,0.58627892,0.18000001,4.76999998,0.94999999,0.03773585,,
15,"Ocean pout",3.20737910,1.00000000,4.17574596,4.17574596,0.50000000,1.79999995,0.94999999,0.27777779,,
16,Billfishes,4.52723885,1.00000000,0.01387732,0.01387732,0.44000000,5.28999996,0.89999998,0.08317580,,
17,Jacks,4.18745518,1.00000000,0.05077102,0.05077102,0.56000000,9.19999981,0.94999999,0.06086957,,
18,"Coastal sharks",4.30103588,1.00000000,0.10400000,0.10400000,0.43000001,4.17999983,0.87818247,0.10287080,,
19,Tunas,4.47066784,1.00000000,0.059999999,0.059999999,0.40000001,4.60200024,0.99643892,0.08691873,,
20,"Rays and skates",3.08650994,1.00000000,1.18157196,1.18157196,0.47000000,3.17499995,0.89999998,0.14803150,,
21,Bluefish,4.50828218,1.00000000,0.082999997,0.082999997,0.61000001,4.59999990,0.99574149,0.13260870,,
22,"Cods and hakes",3.90541196,1.00000000,0.55000001,0.55000001,0.64999998,2.57999992,0.98688328,0.25193799,,
23,Redfish,3.80748200,1.00000000,0.23500000,0.23500000,0.25999999,3.00000000,0.98916209,0.08666667,,
24,"Benthic piscivores",4.15353107,1.00000000,0.072999999,0.072999999,0.40000001,9.85700035,0.97205311,0.04058030,,
25,Flounders,3.33101392,1.00000000,1.00000000,1.00000000,0.60000002,4.09999990,0.86051053,0.14634150,,
26,"Demersal piscivores",4.01047802,1.00000000,1.47936904,1.47936904,0.55000001,4.00000000,0.98999989,0.13750000,,
27,"Demersal invertebrate eaters",3.09155512,1.00000000,6.51537800,6.51537800,0.76444399,5.02222204,0.98999989,0.15221231,,
28,"Demersal planktivores",3.33749604,1.00000000,0.06781677,0.06781677,2.59999990,10.00000000,0.99000013,0.25999999,,
29,"Benthic invertebrate eaters",3.48150301,1.00000000,0.78431553,0.78431553,1.73000002,13.5699997,0.98000002,0.12748709,,
30,"Med. pel. pisc (Mackerel)",3.65433908,1.00000000,6.00000000,6.00000000,0.43000001,4.30000019,0.74945652,0.09999999,,
31,"Atlantic menhaden",3.35999990,1.00000000,2.87109804,2.87109804,1.54999995,31.3999996,0.98999989,0.04936306,,
32,"Drum / croaker",3.58881688,1.00000000,0.36100000,0.36100000,0.47000000,7.34000015,0.90575558,0.06403270,,
33,"Snapper / grouper",4.20051813,1.00000000,0.33899999,0.33899999,0.69999999,6.76000023,0.92147517,0.10355030,,
34,"Forage fish",3.35718012,1.00000000,8.00000000,8.00000000,1.50000000,5.00000000,0.96611571,0.30000001,,
35,"Large pelagic planktivores",3.74481010,1.00000000,0.59100002,0.59100002,0.88000000,11.5190001,0.70006198,0.07639552,,
