,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Small sharks",3.80745196,1.00000000,0.082000002,0.082000002,0.40000001,4.50000000,0.82766771,0.08888889,,
2,Scombrids/barr.,3.76291704,1.00000000,0.55000001,0.55000001,0.56999999,5.94000006,0.82746398,0.09595960,,
3,Snappers/group.,3.58178496,1.00000000,0.75000000,0.75000000,0.49000001,5.59999990,0.87174147,0.08750001,,
4,Carangids,3.30018592,1.00000000,6.67000008,6.67000008,0.44999999,7.60099983,0.93270153,0.05920273,,
5,Mackerel,3.28397393,1.00000000,0.80000001,0.80000001,0.60500002,9.02999973,0.90623963,0.06699890,,
6,Squid,3.30750489,1.00000000,0.26699999,0.26699999,1.70000005,36.5000000,0.96382791,0.04657535,,
7,"Oth. demersal",3.19608402,1.00000000,0.85000002,0.85000002,1.91999996,8.35299969,0.91709578,0.22985750,,
8,Catfish,3.24959993,1.00000000,0.38000000,0.38000000,0.62000000,7.19000006,0.93414479,0.08623087,,
9,Grunts,3.33888102,1.00000000,0.47999999,0.47999999,0.56999999,6.67999983,0.95193720,0.08532934,,
10,Croakers,3.28707290,1.00000000,0.23000000,0.23000000,0.63999999,4.90000010,0.91824049,0.13061219,,
11,"Small pelagics",2.58333302,1.00000000,33.2999992,33.2999992,1.13000000,9.81999969,0.93340200,0.11507130,,
12,Zooplankton,2.04166698,1.00000000,8.15999985,8.15999985,40.0000000,279.902008,0.97442329,0.14290720,,
13,"Het. benthos",2.20929098,1.00000000,13.3999996,13.3999996,3.00000000,12.4630003,0.97235012,0.24071249,,
14,Phytoplankton,1.00000000,1.00000000,45.0000000,45.0000000,70.0000000,,0.74510592,,,
15,"Benthic prod.",1.00000000,1.00000000,11.1999998,11.1999998,12.5000000,,0.60870498,,,
16,Detritus,1.00000000,1.00000000,135.000000,135.000000,,,0.02207139,,,
