,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Killer whale",5.23081779,1.00000000,0.0001000000,0.0001000000,0.029999999,9.10999966,0.00000000,0.00329308,,
2,"Polar bear",5.12968397,1.00000000,0.0013000000,0.0013000000,0.15000001,6.00000000,0.51594871,0.02500000,,
3,Narwhal,4.54963779,1.00000000,0.046999998,0.046999998,0.037999999,19.7999992,0.75843060,0.00191919,,
4,"Bowhead whale",3.70676398,1.00000000,0.046000000,0.046000000,0.013400000,14.2299995,0.31776771,0.00094167,,
5,"Ringed seal",4.09585714,1.00000000,0.10700000,0.10700000,0.14600000,15.3199997,0.75602680,0.00953003,,
6,"Other seals",4.24708080,1.00000000,0.061000001,0.061000001,0.090999998,39.5999985,0.79634321,0.00229798,,
7,Walrus,3.20193195,1.00000000,0.0024000001,0.0024000001,0.085000001,30.3999996,0.44342601,0.00279605,,
8,Seabirds,3.87505198,1.00000000,0.0010000000,0.0010000000,0.23500000,254.399994,0.34707111,0.00092374,,
9,"Greenland shark",4.50440407,1.00000000,0.10024310,0.10024310,0.045000002,0.40000001,0.50000012,0.11250000,,
10,"Greenland halibut",4.42370987,0.33000001,2.82999992,0.93390000,0.50999999,2.29999995,0.96633112,0.22173910,,
11,"Arctic char",3.54026198,0.10000000,0.94938189,0.09493819,0.19000000,2.29999995,0.94999999,0.08260870,,
12,"Arctic/Polar cod",3.14203596,1.00000000,5.73999977,5.73999977,0.64999998,3.25000000,0.94546980,0.20000000,,
13,"Small pelagic fish",3.35071707,1.00000000,1.23299098,1.23299098,0.63000000,4.84999990,0.94999999,0.12989689,,
14,Sculpins/Eelpouts,3.68047905,1.00000000,2.15352011,2.15352011,0.34999999,2.89000010,0.94999999,0.12110730,,
15,"Small demersal fish",3.54470491,1.00000000,2.78415108,2.78415108,0.52999997,3.13000011,0.94999999,0.16932911,,
16,"Large demersal fish",3.59629202,1.00000000,3.45298195,3.45298195,0.13600001,1.58000004,0.94999999,0.08607595,,
17,"Large crustaceans",2.69369888,1.00000000,3.16376305,3.16376305,0.85799998,6.00000000,0.94999999,0.14300001,,
18,Cephalopods,3.98339891,1.00000000,0.35784990,0.35784990,2.54999995,6.90000010,0.94999999,0.36956519,,
19,"Carnivorous zooplankton",3.01947498,1.00000000,7.80000019,7.80000019,3.09999990,17.7000008,0.92962933,0.17514120,,
20,"Omnivorous zooplankton",2.02484298,1.00000000,12.1000004,12.1000004,6.30000019,20.1000004,0.84866142,0.31343281,,
21,Calanus,2.01728106,1.00000000,24.2999992,24.2999992,4.90000010,12.6000004,0.84341860,0.38888890,,
22,Microzooplankton,2.01650000,1.00000000,1.10000002,1.10000002,32.5999985,100.400002,0.76922452,0.32470119,,
23,Polychaetes,2.28019094,1.00000000,18.1000004,18.1000004,1.00000000,4.00000000,0.50927651,0.25000000,,
24,Echinoderms,2.59343505,1.00000000,10.3000002,10.3000002,0.55000001,2.20000005,0.82246709,0.25000000,,
25,Bivalves,2.18254399,1.00000000,8.57939720,8.57939720,0.56999999,6.32999992,0.94999993,0.09004740,,
26,"Other benthos",2.09209108,1.00000000,13.3999996,13.3999996,2.50000000,12.5000000,0.43885210,0.20000000,,
27,Bacteria,2.00000000,1.00000000,1.72000003,1.72000003,11.1000004,170.199997,0.20359360,0.06521740,,
28,"Ice algae",1.00000000,1.00000000,2.29999995,2.29999995,149.500000,,0.83756948,,,
29,Phytoplankton,1.00000000,1.00000000,3.71000004,3.71000004,172.399994,,0.41175479,,,
30,Detritus,1.00000000,1.00000000,14.7700005,14.7700005,,,0.61005491,,,
