,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Mammals,4.89219522,1.00000000,0.020000000,0.020000000,0.050000001,30.0000000,0.00000000,0.00166667,,
2,"Large predators",4.28548717,1.00000000,0.020000000,0.020000000,2.85999990,7.30000019,0.66433573,0.39178079,,
3,"Large pelagics",4.28548717,1.00000000,0.17000000,0.17000000,3.93000007,9.55000019,0.84717852,0.41151831,,
4,"Medium pelagics",4.42356205,1.00000000,0.15000001,0.15000001,2.43000007,10.00000000,0.78243631,0.24300000,,
5,"Large zoobenthos feeders",3.50998497,1.00000000,0.25000000,0.25000000,3.90000010,7.84999990,0.03848185,0.49681529,,
6,"Intermediate predators",3.50424004,1.00000000,0.77999997,0.77999997,7.48999977,15.0000000,0.47389230,0.49933329,,
7,"Small demersal species",3.15995789,1.00000000,2.53999996,2.53999996,10.00000000,23.7399998,0.02222519,0.42122999,,
8,"Small pelagics",3.00055504,1.00000000,0.62000000,0.62000000,3.75000000,12.8999996,0.93461078,0.29069769,,
9,"Crustaceans (excl plankton)",2.55118799,1.00000000,6.55000019,6.55000019,5.11000013,21.8099995,0.94398212,0.23429620,,
10,"Misc invertebrates",2.48515010,1.00000000,5.96000004,5.96000004,5.51000023,11.0200005,0.95757997,0.50000000,,
11,Squids,2.35134196,1.00000000,4.40000010,4.40000010,4.09999990,10.5100002,0.95737028,0.39010471,,
12,Turtles,2.30363393,1.00000000,0.020000000,0.020000000,1.50000000,3.50000000,0.00000000,0.42857140,,
13,Zooplankton,2.11111093,1.00000000,2.66000009,2.66000009,67.0000000,280.000000,0.94788849,0.23928569,,
14,"Aquatic plants",1.00000000,1.00000000,14.0799999,14.0799999,71.1500015,,0.50023478,,,
15,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,0.43507010,,,
