,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Seals,4.99814415,1.00000000,0.21065430,0.21065430,0.070000000,12.0000000,0.80000007,0.00583333,,
2,Cetaceans,4.41680622,1.00000000,0.027000001,0.027000001,0.090000004,6.77500010,0.00857871,0.01328413,,
3,Seabirds,4.07227087,1.00000000,0.00553224,0.00553224,0.80000001,53.5000000,0.80000007,0.01495327,,
4,Halibut/turbot/brill,4.24655581,1.00000000,0.28035769,0.28035769,0.34999999,1.79999995,0.80000001,0.19444440,,
5,Whiting,4.36422205,1.00000000,2.83895206,2.83895206,0.69999999,2.40000010,0.88300008,0.29166669,,
6,"Other demersals",4.16180801,1.00000000,4.35059595,4.35059595,0.76999998,2.56666708,0.93300003,0.30000001,,
7,Sharks,4.14008617,1.00000000,0.69487917,0.69487917,0.16000000,3.00000000,0.92600012,0.05333333,,
8,Rays/Skates,3.85698509,1.00000000,1.52177703,1.52177703,0.47999999,1.45000005,0.79799998,0.33103451,,
9,Cod,3.94048595,1.00000000,2.49695492,2.49695492,0.75000000,3.79699993,0.85100007,0.19752440,,
10,Saithe,3.97478509,1.00000000,0.27381951,0.27381951,0.87000000,4.02299976,0.91500008,0.21625650,,
11,"Other pelagics",3.79501510,1.00000000,4.69964218,4.69964218,0.86850011,2.89499998,0.92299998,0.30000001,,
12,Crabs/lobsters,3.80058599,1.00000000,0.25038669,0.25038669,4.50000000,30.00000000,0.89999980,0.15000001,,
13,Gurnards,3.72014594,1.00000000,0.15000001,0.15000001,1.39999998,4.66699982,0.77717888,0.29997861,,
14,Haddock,3.70732594,1.00000000,0.76680088,0.76680088,1.00000000,4.00000000,0.80000001,0.25000000,,
15,"Inshore fish",3.59735990,1.00000000,0.20760091,0.20760091,5.00000000,16.66666985,0.89999998,0.30000001,,
16,Salmo,3.57278705,1.00000000,0.04172961,0.04172961,0.80000001,3.56999993,0.80000001,0.22408959,,
17,Mackerel,3.37157607,1.00000000,0.87476188,0.87476188,1.02100003,3.95000005,0.94999993,0.25848100,,
18,Trachurus,3.23746300,1.00000000,2.00042391,2.00042391,0.69999999,2.90000010,0.80499989,0.24137931,,
19,Plaice,3.45357609,1.00000000,1.77368701,1.77368701,0.97500002,3.42000008,0.79199988,0.28508770,,
20,Sole,3.37665796,1.00000000,0.49266210,0.49266210,0.80000001,2.70000005,0.86899990,0.29629630,,
21,Nephrops,3.31644893,1.00000000,2.20000005,2.20000005,3.00000000,10.00000000,0.53493643,0.30000001,,
22,"Norway pout",3.23183203,1.00000000,0.42957500,0.42957500,2.00000000,7.00000000,0.90000010,0.28571430,,
23,Cephalopods,3.16522002,1.00000000,0.39900291,0.39900291,3.00000000,10.00000000,0.83500010,0.30000001,,
24,Sandeel,3.22852707,1.00000000,0.95006871,0.95006871,3.00000000,10.2500000,0.80000019,0.29268289,,
25,Sprat,3.15234900,1.00000000,1.55951905,1.55951905,1.89999998,8.50000000,0.80000019,0.22352940,,
26,Herring,3.15137911,1.00000000,3.92599201,3.92599201,1.79999995,7.00000000,0.81800008,0.25714281,,
27,Echinoderms,3.00130606,1.00000000,4.11659193,4.11659193,4.00000000,16.00000000,0.92000008,0.25000000,,
28,"Other benthic inverts",2.66552496,1.00000000,7.67789221,7.67789221,6.00000000,24.00000000,0.94999993,0.25000000,,
29,Prawns/shrimps,2.47271705,1.00000000,17.58142090,17.58142090,3.00000000,12.00000000,0.91699988,0.25000000,,
30,Euphausiids,2.25830507,1.00000000,2.45944691,2.45944691,9.00000000,36.00000000,0.86199993,0.25000000,,
31,"Large zooplankton",2.05497909,1.00000000,6.73404694,6.73404694,10.00000000,35.0000000,0.87900001,0.28571430,,
32,Polychaetes,2.03689289,1.00000000,10.00000000,10.00000000,5.00000000,16.66666985,0.44762009,0.30000001,,
33,"Small zooplankton",2.03092790,1.00000000,8.32079601,8.32079601,18.0000000,72.00000000,0.80000007,0.25000000,,
34,Epifauna,2.00000000,1.00000000,10.5839996,10.5839996,20.0000000,80.00000000,0.40254250,0.25000000,,
35,Infauna,2.00000000,1.00000000,1.63904595,1.63904595,20.0000000,80.00000000,0.73100013,0.25000000,,
36,Phytoplankton,1.00000000,1.00000000,80.0000000,80.0000000,70.0000000,,0.19121380,,,
37,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,0.21760270,,,
