,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Primary produce",1.00000000,1.00000000,118.900002,118.900002,,24.7999992,,0.25976270,,,
2,Microzooplankton,2.05555606,1.00000000,2.62925005,2.62925005,,45.2799988,120.000000,0.63328522,0.37733331,,
3,Mesozooplankton,2.16013694,1.00000000,5.87074995,5.87074995,,39.0800018,80.0000000,0.51080132,0.48850000,,
4,Marozooplankton,3.16013694,1.00000000,1.10000002,1.10000002,,18.0000000,38.0000000,0.03659824,0.47368419,,
5,"deposit feeders",2.00000000,1.00000000,13.6420002,13.6420002,,3.00000000,20.00000000,0.69426727,0.15000001,,
6,"suspension feed",2.60637498,1.00000000,5.07000017,5.07000017,,0.30000001,2.00000000,0.26736069,0.15000001,,
7,"Shrimp and Praw",2.43455410,1.00000000,4.88595486,4.88595486,,3.96000004,13.19999981,0.89999998,0.30000001,,
8,Whelk,3.04936600,1.00000000,0.54750001,0.54750001,,0.64099997,8.02999973,0.05629374,0.07982565,,
9,Echinoderms,2.23025203,1.00000000,8.82600021,8.82600021,,0.66200000,6.93499994,0.75869292,0.09545782,,
10,Bivalves,2.00000000,1.00000000,17.4099998,17.4099998,,0.88870400,9.87448883,0.79269040,0.090000004,,
11,scallops,2.00000000,1.00000000,1.20000005,1.20000005,,0.50000000,5.55555487,0.52304298,0.090000004,-0.059999999,-0.05000000
12,Crab,2.29785800,1.00000000,5.15700006,5.15700006,,1.94700003,12.97999954,0.75801778,0.15000001,,
13,"Commercial crab",2.43770289,1.00000000,0.76650000,0.76650000,,0.60000002,4.00000000,0.27690011,0.15000001,-0.038325001,-0.05000000
14,lobster,3.10009789,1.00000000,0.015300000,0.015300000,,0.51499999,5.84999990,0.38318381,0.08803419,-0.0007650000,-0.05000000
15,"small demersals",3.09207106,1.00000000,1.01999998,1.01999998,,1.57299995,9.66042995,0.93254912,0.16282921,0.050999999,0.05000000
16,"small gadoids",3.35627699,1.00000000,0.77934998,0.77934998,,1.27199996,5.92799997,0.96362323,0.21457490,0.038967501,0.05000000
17,mullet,3.22068310,1.00000000,0.077000000,0.077000000,,0.51999998,5.70059299,0.99615377,0.09121858,0.0038500000,0.05000000
,Sole,,,,,,,,,,,
