"","B20","B25","B30","B35","B40","B50","B60","B70","B0","B0_SSB","B40_SSB","B35_SSB","Blim","Btarget_SQ"
"walleye_pollock_adult",2.26110462290787,2.82638077863484,3.39165693436181,3.95693309008877,4.52220924581574,5.65276155726968,6.78331386872361,7.91386618017755,11.3055231145394,7.91453925226,3.165815700904,2.770088738291,0.226110462290787,4.52220924581574
"pacific_cod_adult",0.511475377698458,0.639344222123072,0.767213066547687,0.895081910972301,1.02295075539692,1.27868844424614,1.53442613309537,1.7901638219446,2.55737688849229,0.545779739049505,0.218311895619802,0.191022908667327,0.511475377698458,1.02295075539692
"arrowtooth_flounder_adult",1.48640602480585,1.85800753100732,2.22960903720878,2.60121054341024,2.97281204961171,3.71601506201464,4.45921807441756,5.20242108682049,7.43203012402927,2.68982215030745,1.07592886012298,0.941437752607607,0.148640602480585,2.97281204961171
"flathead_sole_adult",0.197538003586356,0.246922504482944,0.296307005379533,0.345691506276122,0.395076007172711,0.493845008965889,0.592614010759067,0.691383012552244,0.987690017931778,0.317283743353253,0.126913497341301,0.111049310173639,0.0197538003586356,0.395076007172711
"octopus",0.626205888099653,0.782757360124567,0.93930883214948,1.09586030417439,1.25241177619931,1.56551472024913,1.87861766429896,2.19172060834879,3.13102944049827,NA,NA,NA,0.0626205888099653,1.25241177619931
"deep_water_flatfish",0.0470917313071458,0.0588646641339322,0.0706375969607186,0.0824105297875051,0.0941834626142915,0.117729328267864,0.141275193921437,0.16482105957501,0.235458656535729,NA,NA,NA,0.00470917313071458,0.0941834626142915
"sablefish_adult",0.215052961130159,0.268816201412698,0.322579441695238,0.376342681977777,0.430105922260317,0.537632402825396,0.645158883390476,0.752685363955555,1.07526480565079,NA,NA,NA,0.0215052961130159,0.430105922260317
"shallow_water_flatfish",0.833809494463453,1.04226186807932,1.25071424169518,1.45916661531104,1.66761898892691,2.08452373615863,2.50142848339036,2.91833323062208,4.16904747231726,NA,NA,NA,0.0833809494463453,1.66761898892691
"rex_sole_adult",0.0630570284776033,0.0788212855970042,0.094585542716405,0.110349799835806,0.126114056955207,0.157642571194008,0.18917108543281,0.220699599671612,0.315285142388017,0.122381157106844,0.0489524628427375,0.0428334049873953,0.00630570284776033,0.126114056955207
"pacific_ocean_perch_adult",0.148986792420745,0.186233490525931,0.223480188631117,0.260726886736303,0.297973584841489,0.372466981051862,0.446960377262234,0.521453773472606,0.744933962103723,0.380267726947191,0.152107090778877,0.133093704431517,0.0148986792420745,0.297973584841489
"slope_rockfish",0.474931870415893,0.593664838019867,0.71239780562384,0.831130773227813,0.949863740831787,1.18732967603973,1.42479561124768,1.66226154645563,2.37465935207947,NA,NA,NA,0.0474931870415893,0.949863740831787
"demersal_shelf_rockfish",0.00907161446790371,0.0113395180848796,0.0136074217018556,0.0158753253188315,0.0181432289358074,0.0226790361697593,0.0272148434037111,0.031750650637663,0.0453580723395185,NA,NA,NA,0.000907161446790371,0.0181432289358074
"pelagic_shelf_rockfish",0.0707296002661402,0.0884120003326753,0.10609440039921,0.123776800465745,0.14145920053228,0.176824000665351,0.212188800798421,0.247553600931491,0.353648001330701,NA,NA,NA,0.00707296002661402,0.14145920053228
"atka_mackerel",0.032388899911007,0.0404861248887587,0.0485833498665104,0.0566805748442622,0.0647777998220139,0.0809722497775174,0.0971666997330209,0.113361149688524,0.161944499555035,NA,NA,NA,0.0032388899911007,0.0647777998220139
"big_skate",0.0189302624211903,0.0236628280264878,0.0283953936317854,0.033127959237083,0.0378605248423805,0.0473256560529757,0.0567907872635708,0.0662559184741659,0.0946513121059513,NA,NA,NA,0.00189302624211903,0.0378605248423805
"longnose_skate",0.0163231615189266,0.0204039518986582,0.0244847422783899,0.0285655326581215,0.0326463230378531,0.0408079037973164,0.0489694845567797,0.057131065316243,0.0816158075946329,NA,NA,NA,0.00163231615189266,0.0326463230378531
"other_skates",0.0126735178156405,0.0158418972695506,0.0190102767234607,0.0221786561773708,0.025347035631281,0.0316837945391012,0.0380205534469214,0.0443573123547417,0.0633675890782024,NA,NA,NA,0.00126735178156405,0.025347035631281
"pacific_halibut_adult",0.68508608267405,0.856357603342562,1.02762912401107,1.19890064467959,1.3701721653481,1.71271520668512,2.05525824802215,2.39780128935917,3.42543041337025,2.8948581675731,1.15794326702924,1.01320035865059,0.068508608267405,1.3701721653481
"salmon_shark",0.00785959506045248,0.0098244938255656,0.0117893925906787,0.0137542913557918,0.015719190120905,0.0196489876511312,0.0235787851813574,0.0275085827115837,0.0392979753022624,NA,NA,NA,0.000785959506045248,0.015719190120905
"pacific_sleeper_shark",0.00754499258153024,0.0094312407269128,0.0113174888722954,0.0132037370176779,0.0150899851630605,0.0188624814538256,0.0226349777445907,0.0264074740353558,0.0377249629076512,NA,NA,NA,0.000754499258153024,0.0150899851630605
