"","B20","B25","B30","B35","B40","B50","B60","B70","B0","Blim","Btarget_SQ"
"walleye_pollock_adult",2.22018913997851,2.77523642497313,3.33028370996776,3.88533099496239,4.44037827995701,5.55047284994627,6.66056741993552,7.77066198992477,11.1009456998925,0.222018913997851,4.44037827995701
"pacific_cod_adult",0.487937960839536,0.60992245104942,0.731906941259305,0.853891431469189,0.975875921679073,1.21984490209884,1.46381388251861,1.70778286293838,2.43968980419768,0.487937960839536,0.975875921679073
"arrowtooth_flounder_adult",1.55840810780039,1.94801013475049,2.33761216170058,2.72721418865068,3.11681621560078,3.89602026950097,4.67522432340117,5.45442837730136,7.79204053900195,0.155840810780039,3.11681621560078
"flathead_sole_adult",0.216488013646376,0.27061001705797,0.324732020469564,0.378854023881158,0.432976027292752,0.54122003411594,0.649464040939128,0.757708047762316,1.08244006823188,0.0216488013646376,0.432976027292752
"octopus",0.633836028208502,0.792295035260628,0.950754042312753,1.10921304936488,1.267672056417,1.58459007052126,1.90150808462551,2.21842609872976,3.16918014104251,0.0633836028208502,1.267672056417
"deep_water_flatfish",0.0472287720045142,0.0590359650056427,0.0708431580067713,0.0826503510078998,0.0944575440090284,0.118071930011285,0.141686316013543,0.1653007020158,0.236143860022571,0.00472287720045142,0.0944575440090284
"sablefish_adult",0.217036214781257,0.271295268476571,0.325554322171885,0.379813375867199,0.434072429562514,0.542590536953142,0.65110864434377,0.759626751734399,1.08518107390628,0.0217036214781257,0.434072429562514
"shallow_water_flatfish",0.835811173976031,1.04476396747004,1.25371676096405,1.46266955445805,1.67162234795206,2.08952793494008,2.50743352192809,2.92533910891611,4.17905586988015,0.0835811173976031,1.67162234795206
"rex_sole_adult",0.0626828285214209,0.0783535356517762,0.0940242427821314,0.109694949912487,0.125365657042842,0.156707071303552,0.188048485564263,0.219389899824973,0.313414142607105,0.00626828285214209,0.125365657042842
"pacific_ocean_perch_adult",0.149042505462666,0.186303131828333,0.223563758193999,0.260824384559666,0.298085010925332,0.372606263656665,0.447127516387998,0.521648769119331,0.74521252731333,0.0149042505462666,0.298085010925332
"slope_rockfish",0.466347685241422,0.582934606551777,0.699521527862133,0.816108449172488,0.932695370482843,1.16586921310355,1.39904305572427,1.63221689834498,2.33173842620711,0.0466347685241422,0.932695370482843
"demersal_shelf_rockfish",0.00949624805745214,0.0118703100718152,0.0142443720861782,0.0166184341005412,0.0189924961149043,0.0237406201436303,0.0284887441723564,0.0332368682010825,0.0474812402872607,0.000949624805745214,0.0189924961149043
"pelagic_shelf_rockfish",0.0710874064106533,0.0888592580133166,0.10663110961598,0.124402961218643,0.142174812821307,0.177718516026633,0.21326221923196,0.248805922437287,0.355437032053267,0.00710874064106533,0.142174812821307
"atka_mackerel",0.0275961113065366,0.0344951391331707,0.0413941669598048,0.048293194786439,0.0551922226130731,0.0689902782663414,0.0827883339196097,0.096586389572878,0.137980556532683,0.00275961113065366,0.0551922226130731
"big_skate",0.0186212354901187,0.0232765443626484,0.0279318532351781,0.0325871621077078,0.0372424709802374,0.0465530887252968,0.0558637064703562,0.0651743242154155,0.0931061774505936,0.00186212354901187,0.0372424709802374
"longnose_skate",0.0169743879893109,0.0212179849866386,0.0254615819839663,0.029705178981294,0.0339487759786217,0.0424359699732772,0.0509231639679326,0.059410357962588,0.0848719399465543,0.00169743879893109,0.0339487759786217
"other_skates",0.0131390006406815,0.0164237508008519,0.0197085009610222,0.0229932511211926,0.026278001281363,0.0328475016017037,0.0394170019220445,0.0459865022423852,0.0656950032034075,0.00131390006406815,0.026278001281363
"pacific_halibut_adult",0.775044216802855,0.968805271003568,1.16256632520428,1.356327379405,1.55008843360571,1.93761054200714,2.32513265040856,2.71265475880999,3.87522108401427,0.0775044216802855,1.55008843360571
"salmon_shark",0.00764173720396892,0.00955217150496115,0.0114626058059534,0.0133730401069456,0.0152834744079378,0.0191043430099223,0.0229252116119068,0.0267460802138912,0.0382086860198446,0.000764173720396892,0.0152834744079378
"pacific_sleeper_shark",0.00472458634156443,0.00590573292695554,0.00708687951234665,0.00826802609773775,0.00944917268312886,0.0118114658539111,0.0141737590246933,0.0165360521954755,0.0236229317078222,0.000472458634156443,0.00944917268312886
