"","F40_ABC_Grid","F35_OFL_Grid"
"walleye_pollock_adult",0.311862068965517,0.358206896551724
"pacific_cod_adult",0.341034482758621,0.388620689655172
"arrowtooth_flounder_adult",0.151475862068966,0.168358620689655
"flathead_sole_adult",0.145,0.145
"octopus",0.5,0.5
"deep_water_flatfish",0.27635,0.32605
"sablefish_adult",0.01075,0.01075
"shallow_water_flatfish",0.165651724137931,0.194762068965517
"rex_sole_adult",0.195951724137931,0.216434482758621
"pacific_ocean_perch_adult",0.0384,0.0416
"slope_rockfish",0.0527965517241379,0.0616310344827586
"demersal_shelf_rockfish",0.0478275862068965,0.0494
"pelagic_shelf_rockfish",0.046,0.046
"atka_mackerel",0.207509883044129,0.240008784928115
"big_skate",0.115521889975171,0.115521889975171
"longnose_skate",0.108146116846322,0.136135679928728
"other_skates",0.189231970569449,0.237042436635688
"pacific_halibut_adult",0.027297754343416,0.027297754343416
"salmon_shark",0.0385431460496496,0.0740398271227535
"pacific_sleeper_shark",0.0572434700372958,0.0572434700372958
