"","F40_ABC","F35_OFL","F50"
"walleye_pollock_adult",0.313477601027052,0.360788022845976,0.23476743492028
"pacific_cod_adult",0.341262391159968,0.389352856347432,0.260708324380441
"arrowtooth_flounder_adult",0.150817280746092,0.169494862774834,0.117364492560021
"flathead_sole_adult",0.12679760100434,0.139789979291353,0.102771232528376
"octopus",0.739556618279913,0.864060853391647,0.538179998831465
"deep_water_flatfish",0.264832050569543,0.318853675311515,0.184094744129267
"sablefish_adult",0.249612068172723,0.249612068172723,0.223616602229889
"shallow_water_flatfish",0.167169731390854,0.196186411589854,0.12094609216286
"rex_sole_adult",0.194360314542642,0.216494298185849,0.154207198811034
"pacific_ocean_perch_adult",0.0370047246877456,0.0408873627604981,0.0299665177808583
"slope_rockfish",0.0532774959510534,0.0610829212393191,0.040050075121145
"demersal_shelf_rockfish",0.0480684436724699,0.0558352972611124,0.0353933151867047
"pelagic_shelf_rockfish",0.0421854097033802,0.0479676664401828,0.0321033786608793
"atka_mackerel",0.207229944706924,0.235201205169506,0.158240661937979
"big_skate",0.110039135802855,0.126366415179986,0.0823790388622996
"longnose_skate",0.112670673141903,0.130425786111596,0.0832158170601626
"other_skates",0.198695538931217,0.241653947802253,0.135826799780079
"pacific_halibut_adult",0.0329362585027533,0.0366152720686299,0.0263247255597384
"salmon_shark",0.0522283204447723,0.0577606470825737,0.0415796552859901
"pacific_sleeper_shark",0.0511954392175524,0.05912178469032,0.0383160642760658
