"","F_meanlast","Ftarg_persist","F40_Opt","F40_Grid","F35_Opt","F35_Grid","F50_Opt","F50_Grid"
"walleye_pollock_adult",0.0571895984800461,0.591461326247637,0.313477601027052,0.311862068965517,0.360788022845976,0.358206896551724,0.23476743492028,0.236551724137931
"pacific_cod_adult",0.213002365054473,0.357290408666566,0.341262391159968,0.341034482758621,0.389352856347432,0.388620689655172,0.260708324380441,0.253
"arrowtooth_flounder_adult",0.0141971646640806,0.160994217654714,0.150817280746092,0.151475862068966,0.169494862774834,0.168358620689655,0.117364492560021,0.117710344827586
"flathead_sole_adult",0.0107854202305748,0.239237100287654,0.12679760100434,0.145,0.139789979291353,0.145,0.102771232528376,0.10875
"octopus",0.000337780445309197,1.00430072280791,0.739556618279913,0.5,0.864060853391647,0.5,0.538179998831465,0.5
"deep_water_flatfish",0.00314613045075266,0.358239125299498,0.264832050569543,0.27635,0.318853675311515,0.32605,0.184094744129267,0.17695
"sablefish_adult",0.0299297282247219,0.28318879898881,0.249612068172723,0.3059,0.249612068172723,0.333628571428571,0.223616602229889,0.222714285714286
"shallow_water_flatfish",0.00337744766076132,0.205329101819581,0.167169731390854,0.165651724137931,0.196186411589854,0.194762068965517,0.12094609216286,0.1206
"rex_sole_adult",0.0274360563947083,0.225629237396907,0.194360314542642,0.195951724137931,0.216494298185849,0.216434482758621,0.154207198811034,0.154986206896552
"pacific_ocean_perch_adult",0.439041771228181,0.439125665623049,0.0370047246877456,0.0384,0.0408873627604981,0.0416,0.0299665177808583,0.032
"slope_rockfish",0.0106977486625825,0.665214685793726,0.0532774959510534,0.0527965517241379,0.0610829212393191,0.0616310344827586,0.040050075121145,0.03965
"demersal_shelf_rockfish",0.0250008936409967,0.547390488653383,0.0480684436724699,0.0478275862068965,0.0558352972611124,0.0494,0.0353933151867047,0.035248275862069
"pelagic_shelf_rockfish",0.330359483431912,0.330380282805709,0.0421854097033802,0.046,0.0479676664401828,0.046,0.0321033786608793,0.0345
"atka_mackerel",0.0346272104801545,0.204744828981273,0.207229944706924,0.207509883044129,0.235201205169506,0.240008784928115,0.158240661937979,0.142512079276158
"big_skate",0.308058373267123,0.0827868419389551,0.110039135802855,0.115521889975171,0.126366415179986,0.115521889975171,0.0823790388622996,0.0770145933167808
"longnose_skate",0.0831893206510172,0.546959338975225,0.112670673141903,0.108146116846322,0.130425786111596,0.136135679928728,0.0832158170601626,0.0840498998301657
"other_skates",0.127174413489485,0.242911951801735,0.198695538931217,0.189231970569449,0.241653947802253,0.237042436635688,0.135826799780079,0.136383595155965
"pacific_halibut_adult",0.0209982725718585,0.533173270270417,0.0329362585027533,0.027297754343416,0.0366152720686299,0.027297754343416,0.0263247255597384,0.0264288603059598
"salmon_shark",0.00234343459734286,0.842732168929374,0.0522283204447723,0.0385431460496496,0.0577606470825737,0.0740398271227535,0.0415796552859901,0.0385431460496496
"pacific_sleeper_shark",0.0178348272498308,0.606927154960386,0.0511954392175524,0.0572434700372958,0.05912178469032,0.0572434700372958,0.0383160642760658,0.0572434700372958
