"","persist","126","245","585"
"walleye_pollock_adult",0.562605981265844,0.561442486883639,0.557007010570094,0.563422712602201
"pacific_cod_adult",0.177940908567557,0.170317607176106,0.160977142797127,0.145834183453531
"arrowtooth_flounder_adult",0.125657714565222,0.124911918560696,0.123307976994676,0.121834946991744
"flathead_sole_adult",0.148193592594872,0.147770301447395,0.146963461040747,0.146608324280903
"octopus",0.873857253265354,0.875310729287214,0.863978480011739,0.869308928371399
"deep_water_flatfish",0.33724257294447,0.336883584421362,0.334943822061469,0.332161886010228
"sablefish_adult",0.230167807568625,0.229118705143587,0.230380300076195,0.228791230463533
"shallow_water_flatfish",0.188644072774653,0.188314142635762,0.187526768674566,0.187045805853687
"rex_sole_adult",0.176126750149544,0.175951309077264,0.175691595932693,0.175791244527043
"pacific_ocean_perch_adult",0.282309329176696,0.28232570924245,0.282312692947822,0.282328131777772
"slope_rockfish",0.0491110271368848,0.0490629555604646,0.0492664078789891,0.0492677299518626
"demersal_shelf_rockfish",0.0302534338214111,0.030341597801873,0.0302356839099179,0.0301823150681727
"pelagic_shelf_rockfish",0.253994026059721,0.254003318430053,0.253990730054201,0.254011621277404
"atka_mackerel",0.203966882172788,0.185604398075426,0.16514803198804,0.139020297727789
"big_skate",0.0781924992523505,0.0777256653571328,0.0774092060439709,0.0765397275525299
"longnose_skate",0.046947922804717,0.0466634066940647,0.0464797315759535,0.0457486010835412
"other_skates",0.154171374511912,0.152953786308835,0.152287497636619,0.151346516820157
"pacific_halibut_adult",0.0609127000132761,0.0606617694797214,0.0602301515764996,0.0597633138539347
"salmon_shark",0.00320006380809397,0.00327281668185936,0.00316182700632551,0.00314323369516875
"pacific_sleeper_shark",0.0241875875966767,0.0174262002155798,0.0137338141402549,0.0119215449902755
