EwE_num,EwE_name,flagdem,N_spp,N_hspn,Pelagic,DepthMin,DepthPrefMin,DepthPrefMax,DepthMax,TempMin,TempPrefMin,TempPrefMax,TempMax,SalinityMin,SalinityPrefMin,SalinityPrefMax,SalinityMax,PrimProdMin,PrimProdPrefMin,PrimProdPrefMax,OxyMin,OxyPrefMin,OxyPrefMax,OxyMax,LandDistMin,LandDistPrefMin,LandDistPrefMax,LandDistMax,NMostLat,SMostLat,WMostLong,EMostLong
1,Transient killer whales,0,1,1,0,0,100,2400,6000,-1.76,-0.77,27.86,32.06,3.58,31.09,35.87,39.25,0.1,1.26,24.71,0.52,117.19,297.64,408.48,0,8,360,2286,90,-90,-180,180
2,Resident killer whales,0,1,1,0,0,100,2400,6000,-1.76,-0.77,27.86,32.06,3.58,31.09,35.87,39.25,0.1,1.26,24.71,0.52,117.19,297.64,408.48,0,8,360,2286,90,-90,-180,180
3,Offshore killer whales,0,1,1,0,0,100,2400,6000,-1.76,-0.77,27.86,32.06,3.58,31.09,35.87,39.25,0.1,1.26,24.71,0.52,117.19,297.64,408.48,0,8,360,2286,90,-90,-180,180
4,Other toothed whales,0,2,5,0.5,0,8.88,1275,5400,2.95,7.61,17.2,28.14,17.54,30.65,34.26,35.99,1.15,4.03,33.28,28.48,100.17,289.05,349.79,1,7.62,313.75,1280.62,67.5,-22.5,-180,145
5,Humpback whale,0,1,1,1,0,30,4000,8000,-1.76,-0.42,27.72,29.73,3.58,31.51,35.76,40.11,-0.18,0.82,22.86,1.03,105.41,295.87,408.48,0,11,472,2004,90,-90,-180,180
6,Other baleen whales,0,2,2,1,0,125,3000,8000,-1.84,-1.25,24.73,30.38,2.99,31.42,35.65,38.84,0.1,1.57,17.32,1.56,147.68,301.68,408.48,0,11.5,471.5,1946,90,-90,-180,180
8,Northern elephant seal,0,1,1,1,0,200,4000,8000,1.95,7.26,16.39,27.09,24.18,32.09,33.46,35.57,0.42,2.98,16.87,1.1,88.16,155.82,325.99,0,74,1462,2538.5,90,10,-180,0
9,Northern fur seal adult,0,1,1,1,0,200,4000,6000,-1.61,4.39,16.06,27.09,24.2,31.03,33.4,34.53,0.4,4.24,39.08,9.66,43.19,294.51,361.01,0,14,368,2043,90,0,100,-100
10,Northern fur seal juvenile,0,1,1,1,0,200,4000,6000,-1.61,4.39,16.06,27.09,24.2,31.03,33.4,34.53,0.4,4.24,39.08,9.66,43.19,294.51,361.01,0,14,368,2043,90,0,100,-100
11,Steller sea lion,0,1,1,1,0,10,200,2000,-1.61,4.96,12.73,19.06,19.95,27.25,32.91,36.34,0.4,7.81,51.71,8.17,55.58,311.89,366.58,0,4,100,327,90,0,-180,180
12,Harbor seal,0,1,1,1,0,1,50,500,-0.95,5.39,13.32,28.34,3.58,25.56,34.89,40.31,0.47,3.81,32.13,1.53,178.35,327.05,408.48,0,2,89,594,90,0,-180,180
13,Sea otter,0,1,1,1,0,25,300,2000,0.91,5.17,13.28,27.09,17.77,27.75,32.89,35.87,1.1,9.41,43.32,12.51,98.69,320.05,353.35,0,3,63,413,90,0,-180,180
