EwE_num,EwE_name,flagdem,N_spp,N_hspn,Pelagic,DepthMin,DepthPrefMin,DepthPrefMax,DepthMax,TempMin,TempPrefMin,TempPrefMax,TempMax,SalinityMin,SalinityPrefMin,SalinityPrefMax,SalinityMax,PrimProdMin,PrimProdPrefMin,PrimProdPrefMax,OxyMin,OxyPrefMin,OxyPrefMax,OxyMax,LandDistMin,LandDistPrefMin,LandDistPrefMax,LandDistMax,NMostLat,SMostLat,WMostLong,EMostLong
2,Salmon_sharks,1,1,1,1,0,0,152,650,1.24,3.74,11.49,19.24,25.44,31.32,32.87,34.15,3.27,6.55,27.17,10.84,87.4,307.02,353.35,2,11,241,1739,66,22,120,-115
5,Halibut,1,1,1,0,0,155,515,1200,-0.75,2.92,9.28,13.53,19.95,30.28,32.77,34.18,1.68,5.25,20.77,13.16,55.67,319.55,366.58,0,11,230,515,73,42,138,-123
6,Pinnipeds,0,2,2,0,0,5.5,125,1250,-1.28,5.18,13.03,23.7,11.77,26.41,33.9,38.33,0.44,5.81,41.92,4.85,116.97,319.47,387.53,0,3,94.5,460.5,90,0,-180,180
7,Porpoise,0,2,5,0.5,0,8.88,1275,5400,2.95,7.61,17.2,28.14,17.54,30.65,34.26,35.99,1.15,4.03,33.28,28.48,100.17,289.05,349.79,1,7.62,313.75,1280.62,67.5,-22.5,-180,145
8,Lingcod,1,1,1,0,0,56,215,475,0.98,6.56,13.19,17.99,24.18,28.81,32.95,34.29,1.92,10.91,49.71,8.17,33.55,299.94,354.45,1,8,116,559,61,31,-172,-116
10,Salmon_L,0,5,5,0,0,31,117.4,275,-0.87,3.88,11.4,19.75,19.33,26.95,32.76,36.04,2.15,6.45,37.06,16.14,70.07,322.31,366.4,0,3.8,193,674.4,72.4,29.4,129.6,-109.4
11,Pacific_cod,1,1,1,0,10,100,400,1280,1.23,3.8,11.04,19.9,24.18,29.21,32.72,34.15,1.58,6.84,25.11,13.1,82.91,312.26,365.48,0,7,176,356,63,31,119,-119
12,Sablefish,1,1,1,0,175,175,1450,2740,2.28,4.72,12.85,20.56,24.18,30.34,32.86,34.16,1.51,5.7,31.37,8.17,35.13,298.72,363.29,0,12,241,565,64,23,141,-109
14,Spiny_dogfish,1,1,1,0,0,50,300,1460,-0.57,8.19,19.44,28.51,3.58,30.61,35.64,39.25,0.15,3.22,22.89,0.1,176.68,288.51,408.48,0,11,275,685,81,-57,-82,-171
19,Pollock,1,1,1,0,1,30,400,1280,-1.2,2.44,9.58,19.9,23.67,29.87,32.77,34.38,1.29,4.97,22.92,11.81,69.26,335.32,368.38,0,9,217,426,68,34,129,-120
20,Rockfish,1,30,30,0,27.27,123.87,288.77,547.57,3.71,7.46,14.19,18.95,25.26,29.48,33.09,35.23,4.11,9.73,49.84,10.59,31.86,278.43,330.55,1.93,9.93,130.33,401.82,60,30.5,-75.72,-116.64
23,Nshore_demersal,1,9,9,0,3.56,53.33,147.56,416.44,0.19,3.65,10.69,16.82,21.67,28.52,32.9,34.57,2.46,5.85,28.29,28.45,92.94,319.03,362.9,0.78,8.67,187.67,522.61,66.75,35.38,79.25,-100.5
25,Eulachon,0,1,1,0,0,34,140,300,-1.15,4.21,11.24,16.39,19.95,27.96,32.42,35.29,1.92,7.83,33.35,12.99,87.82,309.96,354.45,0,5,179,279,61,40,-171,-121
26,Sea_otters,0,1,1,0,0,25,300,2000,0.91,5.17,13.28,27.09,17.77,27.75,32.89,35.87,1.1,9.41,43.32,12.51,98.69,320.05,353.35,0,3,63,413,90,0,-180,180
27,Deep _epibenthos,1,12,12,0,8.17,54.08,251.42,805.75,1.52,4.38,10.7,19.48,23.91,29.23,33.17,35.56,2.46,6.14,27.43,44.82,121.34,319.49,352.7,1.5,9.17,198,413.46,67.3,32.9,55,-75.4
29,Herring,0,1,1,0,0,56,215,475,-1.18,2.23,11.66,19.9,13.66,27.95,32.72,35.29,1.15,4.78,33.62,9.75,93.8,346.76,386.66,0,6,220,406,77,33,34,-119
