EwE_num,EwE_name,Code,Common_name,Sciname
"01,02,03",Transient killer whales,KWT,Orca,Orcinus orca
"01,02,03",Resident killer whales,KWR,Orca,Orcinus orca
"01,02,03",Offshore killer whales,KWT,Orca,Orcinus orca
4,Other toothed whales,DOL,Harbor porpoise,Phocoena phocoena
4,Other toothed whales,DOL,Dalls porpoise,Phocoenoides dalli
5,Humpback whale,BAL,Humpback whale,Megaptera novaeangliae
6,Other baleen whales,BAL,Minke whale,Balaenoptera acutorostrata
6,Other baleen whales,BAL,Fin whale,Balaenoptera physalus
7,Dolphins & porpoises,DOL,Harbor porpoise,Phocoena phocoena
7,Dolphins & porpoises,DOL,Dalls porpoise,Phocoenoides dalli
8,Northern elephant seal,PIN,Northern elephant seal,Mirounga angustirostris
"09,10",Northern fur seal adult,PIN,Northern fur seal,Callorhinus ursinus
"09,10",Northern fur seal juvenile,PIN,Northern fur seal,Callorhinus ursinus
11,Steller sea lion,PIN,Steller sea lion,Eumetopias jubatus
12,Harbor seal,PIN,harbor seal,Phoca vitulina
13,Sea otter,OTT,otter,Enhydra lutris
14,Piscivorous surface birds,BIR,Black-legged kittiwake,Rissa tridactyla
14,Piscivorous surface birds,BIR,Glaucous-winged gull,Larus glaucescens
14,Piscivorous surface birds,BIR,Arctic tern,Sterna paradisaea
15,Planktivorous surface birds,BIR,Leach's storm-petrel,Oceanodroma leucorhoa
15,Planktivorous surface birds,BIR,Fork-tailed storm-petrel,Oceanodroma furcata
16,Piscivorous diving birds,BIR,Common murre,Uria aalge
16,Piscivorous diving birds,BIR,Tufted puffin,Fratercula cirrhata
16,Piscivorous diving birds,BIR,Marbled murrelet,Brachyramphus marmoratus
16,Piscivorous diving birds,BIR,Cormorants,Phalacrocorax spp.
17,Planktivorous diving birds,BIR,Parakeet auklet,Aethia psittacula
17,Planktivorous diving birds,BIR,Crested auklet,Aethia cristatella
"18,19",Salmon returning,SAL_R,Chinook,Oncorhynchus tshawytscha
"18,19",Salmon returning,SAL_R,chum,Oncorhynchus keta
"18,19",Salmon returning,SAL_R,coho,Oncorhynchus kisutch
"18,19",Salmon returning,SAL_R,pink,Oncorhynchus gorbuscha
"18,19",Salmon returning,SAL_R,sockeye,Oncorhynchus nerka
"18,19",Salmon outgoing,,,
"18,19",Salmon outgoing,SAL_O,Chinook,Oncorhynchus tshawytscha
20,Pacific hake,HAK,Pacific hake,Merluccius productus
"21,22",Pacific herring adult,HER,Pacific herring,Clupea pallasii
"21,22",Pacific herring juvenile,HER,Pacific herring,Clupea pallasii
23,Pacific sandlance,SAN,Pacific sandlance,Ammodytes personatus
24,Pacific capelin,CAP,capelin,Mallotus villosus
25,Shelf forage fish,FOR,Eulachon,Thaleichthys pacificus
25,Shelf forage fish,FOR,Sand lance,Ammodytes personatus
25,Shelf forage fish,FOR,Capelin,Mallotus villosus
26,Slope forage fish,FOR,Myctophids,Myctophidae
26,Slope forage fish,FOR,Deep-sea smelts,Bathylagidae
27,Pacific dogfish,SPD,Spiny dogfish,Squalus suckleyi
28,Salmon shark,SAS,Salmon shark,Lamna ditropis
29,Pacific sleeper shark,SLS,Sleeper shark,Somniosus pacificus
30,Big skate,SKA,Big skate,Beringraja binoculata
31,Longnose skate,SKA,Longnose skate,Raja rhina
32,Other skates,SKA,Other skates,Bathyraja spp.
"33,34",Pacific halibut adult,HAL,Pacific Halibut,Hippoglossus stenolepis
"33,34",Pacific halibut juvenile,HAL,Pacific Halibut,Hippoglossus stenolepis
