"","race_group","weighted_avg_surf","weighted_minA_surf","weighted_maxA_surf","weighted_minPref_surf","weighted_maxPref_surf","weighted_avg_bot","weighted_minA_bot","weighted_maxA_bot","weighted_minPref_bot","weighted_maxPref_bot","total_stations","total_catch"
"1","Arrowtooth flounder adult",9.65126888286427,3.2,16,6.63333333333333,12.65,5.46159838000903,0.8,12.2271999998717,4.5,6.35,4209,1247521.944
"2","Atka mackerel",6.29716181653967,3.5,15.0873999999974,5.25,7,4.76650754808158,2.7,7.89439999999886,4.2,5.25,773,75611.972
"3","Big skate",8.37958795688962,3.3,15.2,5.6,10.9,6.73751645355214,2.5,11.9,4.7,8.9,647,27168.558
"4","Deep-water flatfish",10.7385549441368,4.1,16.5,7.9,13.35,5.1693555095983,1.9,11.9682999999888,4.22857142857143,5.9,2103,36071.893
"5","Demersal shelf rockfish",10.4694619112547,4.5,15.5,7.1,13.3666666666667,5.54856236173843,3.2,8.19560000000001,4.8,6.1,227,1801.989
"6","Euphausiids",10.3227146814404,10.6,10.6,10.6,10.6,5.43379501385042,7,7,7,7,5,0.361
"7","Flathead sole adult",8.64099257872173,3.2,16.9,5.8,11.3,5.3471325040759,0.8,11.9,4,6.8,3040,183255.926
"8","Gelatinous carnivores",11.0124108370942,3.6,16.6,8.8,13.8,6.30847915276861,3,11.6438000000002,4.9,8.8,2405,11118.716
"9","Infauna",8.68141713206516,3.8,15.8034000000001,5.66363636363636,10.8,6.13507783836339,2.4,11.2551000000002,4.54545454545454,7.73333333333333,2467,1160.613
"10","King crab",8.81981890959327,4.1,15.5,5.90071,10.80639,5.82494674521915,3,10.2,4.3,8.6,150,621.071
"11","Large sculpins",7.6182045874905,3.3,15.6,5,10.7,5.39532083685528,0.8,11.9,4.08888888888889,6.9,1991,26938.416
"12","Lingcod",10.871396695541,5.4,16.6,8.3,13.45,6.58649888190411,4.3,11.1,5.4,8.2,469,7104.34
"13","Longnose skate",10.2864262985622,4.2,16.2,7.4,13.2,5.79341761083583,3.2,10.1,4.85,7.1,1270,22236.658
