,Pcod_rec,,Year,Model 19.1a Age-0 x 10^9,Model 19.1a Stdev,Model 19.1b Age-0 x 10^9,Model 19.1b Stdev,
1991.1,0.838451429,,1977,0.99,0.25,0.79,0.18,
1991.2,0.838451429,,1978,0.5,0.15,0.4,0.11,0.980187696
1991.3,0.838451429,,1979,0.4,0.12,0.34,0.09,0.832800852
1991.4,0.838451429,,1980,0.49,0.14,0.42,0.11,1.02494577
1991.5,0.838451429,,1981,0.77,0.19,0.62,0.14,1.513873474
1991.6,0.838451429,,1982,0.76,0.2,0.63,0.15,1.556896552
1991.7,0.838451429,,1983,0.7,0.21,0.56,0.16,1.402504472
1991.8,0.838451429,,1984,0.62,0.19,0.54,0.15,1.365823566
1991.9,0.838451429,,1985,0.89,0.2,0.73,0.15,1.863433312
1991.1,0.838451429,,1986,0.61,0.14,0.52,0.11,1.357429719
1991.11,0.838451429,,1987,0.61,0.12,0.51,0.09,1.343966713
1991.12,0.838451429,,1988,0.64,0.12,0.55,0.09,1.462976276
1992.1,0.985377041,,1989,0.65,0.12,0.54,0.09,1.45508982
1992.2,0.985377041,,1990,0.83,0.14,0.7,0.11,1.911076443
1992.3,0.985377041,,1991,0.55,0.1,0.45,0.08,1.262376238
1992.4,0.985377041,,1992,0.48,0.09,0.41,0.07,1.159383033
1992.5,0.985377041,,1993,0.35,0.07,0.29,0.05,0.824156306
1992.6,0.985377041,,1994,0.37,0.07,0.33,0.05,0.9325433
1992.7,0.985377041,,1995,0.52,0.08,0.44,0.06,1.240601504
1992.8,0.985377041,,1996,0.34,0.06,0.29,0.04,0.824509804
1992.9,0.985377041,,1997,0.35,0.06,0.3,0.04,0.847628658
1992.1,0.985377041,,1998,0.27,0.04,0.24,0.03,0.674297607
1992.11,0.985377041,,1999,0.37,0.06,0.33,0.04,0.915688367
1992.12,0.985377041,,2000,0.45,0.07,0.38,0.05,1.050884956
1993.1,0.944768284,,2001,0.31,0.05,0.27,0.04,0.748267898
1993.2,0.944768284,,2002,0.21,0.03,0.18,0.03,0.493444577
1993.3,0.944768284,,2003,0.25,0.04,0.22,0.03,0.58952497
1993.4,0.944768284,,2004,0.29,0.04,0.26,0.03,0.683354193
1993.5,0.944768284,,2005,0.44,0.06,0.39,0.05,1.009055627
1993.6,0.944768284,,2006,0.68,0.09,0.58,0.07,1.501362398
1993.7,0.944768284,,2007,0.5,0.07,0.45,0.06,1.198224852
1993.8,0.944768284,,2008,0.66,0.1,0.57,0.07,1.535657686
1993.9,0.944768284,,2009,0.47,0.08,0.43,0.06,1.198606272
1993.1,0.944768284,,2010,0.51,0.08,0.42,0.06,1.186440678
1993.11,0.944768284,,2011,0.63,0.11,0.54,0.09,1.54601227
1993.12,0.944768284,,2012,1.25,0.23,1.05,0.17,3.137931034
1994.1,0.952599101,,2013,0.84,0.18,0.69,0.13,2.509090909
1994.2,0.952599101,,2014,0.3,0.07,0.27,0.06,1.137931034
1994.3,0.952599101,,2015,0.27,0.06,0.26,0.05,1.111111111
1994.4,0.952599101,,2016,0.28,0.05,0.26,0.04,1.125
1994.5,0.952599101,,2017,0.21,0.04,0.2,0.03,0.879120879
1994.6,0.952599101,,2018,0.17,0.03,0.16,0.02,0.691358025
1994.7,0.952599101,,2019,0.08,0.02,0.09,0.02,0.369863014
1994.8,0.952599101,,2020,0.22,0.05,0.15,0.03,0.547445255
1994.9,0.952599101,,2021,0.26,0.1,0.18,0.04,0.590163934
1994.1,0.952599101,,2022,0.46,0.21,0.24,0.06,0.692307692
1994.11,0.952599101,,2023,,,0.38,0.18,0.95
1994.12,0.952599101,,Mean 1977 - (final year - 2),0.5,,0.42,,1
1995.1,0.905511902,,,,,,,
1995.2,0.905511902,,,,,,,
