"","Prey","Predator","Old_VV","New_VV","Rel_Change","Log_Ratio"
"1","Outside","Outside",2,2,0,0
"2","Outside","large_phytoplankton",2,2,0,0
"3","Outside","small_phytoplankton",2,2,0,0
"4","Outside","macroalgae",2,2,0,0
"5","humpback_whale","transient_killer_whales",2,2,0,0
"6","other_baleen_whales","transient_killer_whales",2,2,0,0
"7","dolphins_porpoises","transient_killer_whales",2,2,0,0
"8","northern_elephant_seal","transient_killer_whales",2,2,0,0
"9","northern_fur_seal_adult","transient_killer_whales",2,2,0,0
"10","northern_fur_seal_juvenile","transient_killer_whales",2,2,0,0
"11","steller_sea_lion","transient_killer_whales",2,2,0,0
"12","harbor_seal","transient_killer_whales",2,2,0,0
"13","sea_otter","transient_killer_whales",2,2,0,0
"14","salmon_returning","resident_killer_whales",3.2228956415194,3.24719530486191,0.00753969909216434,0.00326216722703502
"15","pacific_herring_adult","resident_killer_whales",1.39831987841021,1.4008126135393,0.00178266444436503,0.000773512079694457
"16","pacific_halibut_adult","resident_killer_whales",2.71963296114975,2.69913360977419,-0.00753754336279777,-0.00328591296150802
"17","arrowtooth_flounder_adult","resident_killer_whales",3.35100143896289,3.25407942072792,-0.0289232994972876,-0.0127464659833099
"18","sablefish_adult","resident_killer_whales",4.43238057246908,4.46893757434988,0.0082477127771643,0.00356724547818526
"19","pacific_cod_adult","resident_killer_whales",1.80463912050554,1.79259262624943,-0.00667529264950151,-0.00290876201892274
"20","salmon_returning","offshore_killer_whales",3.2228956415194,3.24719530486191,0.00753969909216434,0.00326216722703502
"21","pacific_dogfish","offshore_killer_whales",2,2,0,0
"22","pacific_sleeper_shark","offshore_killer_whales",2,2,0,0
"23","pacific_halibut_adult","offshore_killer_whales",2.71963296114975,2.69913360977419,-0.00753754336279777,-0.00328591296150802
"24","pacific_dogfish","other_toothed_whales",2,2,0,0
"25","big_skate","other_toothed_whales",2,2,0,0
"26","longnose_skate","other_toothed_whales",2,2,0,0
"27","other_skates","other_toothed_whales",1.64960990991215,1.68431716060666,0.0210396715526284,0.00904261652538198
"28","pacific_ocean_perch_adult","other_toothed_whales",2,2,0,0
"29","slope_rockfish","other_toothed_whales",2,2,0,0
"30","demersal_shelf_rockfish","other_toothed_whales",2,2,0,0
"31","pelagic_shelf_rockfish","other_toothed_whales",2,2,0,0
"32","thornyheads","other_toothed_whales",2,2,0,0
"33","sablefish_adult","other_toothed_whales",4.43238057246908,4.46893757434988,0.0082477127771643,0.00356724547818526
"34","sablefish_juvenile","other_toothed_whales",2,2,0,0
"35","pacific_cod_adult","other_toothed_whales",1.80463912050554,1.79259262624943,-0.00667529264950151,-0.00290876201892274
"36","miscellaneous_deep_sea_fish","other_toothed_whales",2,2,0,0
"37","squid","other_toothed_whales",2.16370260406474,2.17109948574463,0.00341862216461419,0.00148215671593613
"38","pacific_herring_juvenile","humpback_whale",1.66064644280173,1.66245629488044,0.0010898479243131,0.000473057206233786
"39","pacific_sandlance","humpback_whale",1.60473625243531,1.59668560529429,-0.005016803931988,-0.0021842538437839
"40","pacific_capelin","humpback_whale",3.92962779355821,3.7544592849742,-0.0445763613722313,-0.0198040178165347
"41","shelf_forage_fish","humpback_whale",1.62606259807669,1.63983691721433,0.00847096486563648,0.00366339885006381
"42","walleye_pollock_juvenile","humpback_whale",1.47195833361704,1.47172602682911,-0.0001578215786604,-6.85464499342305e-05
"43","euphausiids","humpback_whale",2.31956638311456,2.3146577048298,-0.00211620513234678,-0.000920030041414509
"44","large_copepods","humpback_whale",2,2,0,0
"45","pacific_herring_adult","other_baleen_whales",1.39831987841021,1.4008126135393,0.00178266444436503,0.000773512079694457
"46","pacific_herring_juvenile","other_baleen_whales",1.66064644280173,1.66245629488044,0.0010898479243131,0.000473057206233786
"47","pacific_sandlance","other_baleen_whales",1.60473625243531,1.59668560529429,-0.005016803931988,-0.0021842538437839
"48","pacific_capelin","other_baleen_whales",3.92962779355821,3.7544592849742,-0.0445763613722313,-0.0198040178165347
"49","slope_forage_fish","other_baleen_whales",2,2,0,0
"50","squid","other_baleen_whales",2.16370260406474,2.17109948574463,0.00341862216461419,0.00148215671593613
"51","tanner_crab","other_baleen_whales",1.4762841948005,1.47666851456249,0.00026032911775653,0.00011304478553411
"52","king_crab","other_baleen_whales",2,2,0,0
"53","pandalid_shrimp","other_baleen_whales",1.52319768485256,1.54156638870411,0.0120593039460466,0.00520596173491725
"54","nonpandalid_shrimp","other_baleen_whales",2.75379311132565,2.65336503826553,-0.0364689971251235,-0.0161343067886396
"55","motile_epifauna","other_baleen_whales",1.45148080839979,2,0.37790316511655,0.139218697736159
"56","benthic_zooplankton","other_baleen_whales",1.71952879460816,1.71028579389991,-0.00537531022291271,-0.00234076438706127
"57","sessile_epifauna","other_baleen_whales",2,2,0,0
"58","infauna","other_baleen_whales",1.21517984233876,1.21934727299658,0.00342947645494296,0.00148685458858334
"59","mysids","other_baleen_whales",1.7621123719706,1.74004708525129,-0.0125220656016556,-0.00547260008236879
"60","pelagic_amphipods","other_baleen_whales",2,2,0,0
"61","euphausiids","other_baleen_whales",2.31956638311456,2.3146577048298,-0.00211620513234678,-0.000920030041414509
"62","large_copepods","other_baleen_whales",2,2,0,0
"63","pacific_hake","dolphins_porpoises",2,2,0,0
"64","pacific_sandlance","dolphins_porpoises",1.60473625243531,1.59668560529429,-0.005016803931988,-0.0021842538437839
"65","pacific_capelin","dolphins_porpoises",3.92962779355821,3.7544592849742,-0.0445763613722313,-0.0198040178165347
"66","shelf_forage_fish","dolphins_porpoises",1.62606259807669,1.63983691721433,0.00847096486563648,0.00366339885006381
"67","slope_forage_fish","dolphins_porpoises",2,2,0,0
"68","slope_demersal_fish","dolphins_porpoises",2,2,0,0
"69","squid","dolphins_porpoises",2.16370260406474,2.17109948574463,0.00341862216461419,0.00148215671593613
"70","pacific_hake","northern_elephant_seal",2,2,0,0
"71","pacific_dogfish","northern_elephant_seal",2,2,0,0
"72","big_skate","northern_elephant_seal",2,2,0,0
"73","longnose_skate","northern_elephant_seal",2,2,0,0
"74","other_skates","northern_elephant_seal",1.64960990991215,1.68431716060666,0.0210396715526284,0.00904261652538198
"75","pacific_halibut_adult","northern_elephant_seal",2.71963296114975,2.69913360977419,-0.00753754336279777,-0.00328591296150802
"76","pacific_halibut_juvenile","northern_elephant_seal",2,2,0,0
"77","arrowtooth_flounder_adult","northern_elephant_seal",3.35100143896289,3.25407942072792,-0.0289232994972876,-0.0127464659833099
"78","arrowtooth_flounder_juvenile","northern_elephant_seal",9.63779636019163,9.34135151515413,-0.0307585711461954,-0.0135680308345054
"79","rex_sole_adult","northern_elephant_seal",2,2,0,0
"80","flathead_sole_adult","northern_elephant_seal",2,2,0,0
"81","flathead_sole_juvenile","northern_elephant_seal",2,2,0,0
"82","shallow_water_flatfish","northern_elephant_seal",1.61107880233262,1.61084561509199,-0.000144739810547412,-6.28642506220821e-05
"83","deep_water_flatfish","northern_elephant_seal",2.01173476963637,2.01092851320715,-0.000400776703462169,-0.000174089998727584
