"year","Species","totB","SSB","Catch","Climate","Frate","Region","Model","Scenario"
1991,"POL",2884927.16511783,1690895.40603404,87828.010002781,"persistence","F0","WGOA","Rpath","base"
1991,"COD",399280.293878193,93224.2373585632,64466.829990571,"persistence","F0","WGOA","Rpath","base"
1991,"ATF",1554327.80462664,597326.97740596,16958.380011156,"persistence","F0","WGOA","Rpath","base"
1992,"POL",2892495.91324268,1696087.27813365,90585.189961806,"persistence","F0","WGOA","Rpath","base"
1992,"COD",371842.900083054,88999.2287874369,78966.500089317,"persistence","F0","WGOA","Rpath","base"
1992,"ATF",1551901.37581743,598021.211707819,20482.180062468,"persistence","F0","WGOA","Rpath","base"
1993,"POL",2886917.46017875,1690078.21042351,108230.180085742,"persistence","F0","WGOA","Rpath","base"
1993,"COD",375328.175429555,91984.46817467,45849.170066118,"persistence","F0","WGOA","Rpath","base"
1993,"ATF",1551566.34683954,599298.159270716,18294.449920618,"persistence","F0","WGOA","Rpath","base"
1994,"POL",2891612.89701311,1691340.87032149,100412.359942985,"persistence","F0","WGOA","Rpath","base"
1994,"COD",374238.505424238,92168.0244909248,45610.579965874,"persistence","F0","WGOA","Rpath","base"
1994,"ATF",1547453.431915,598480.508802417,21993.239976229,"persistence","F0","WGOA","Rpath","base"
1995,"POL",2920445.2429594,1709974.75171492,69168.129925675,"persistence","F0","WGOA","Rpath","base"
1995,"COD",354241.118245692,88060.9264831689,67907.179992219,"persistence","F0","WGOA","Rpath","base"
1995,"ATF",1548788.07321952,599203.455585779,17415.490044603,"persistence","F0","WGOA","Rpath","base"
1996,"POL",2949537.49989699,1727520.76771419,49825.8700384,"persistence","F0","WGOA","Rpath","base"
1996,"COD",348901.269856949,89289.8998161644,55391.660096973,"persistence","F0","WGOA","Rpath","base"
1996,"ATF",1545296.54167072,597141.15385086,21555.609900557,"persistence","F0","WGOA","Rpath","base"
1997,"POL",2946193.76182491,1722365.56372477,84179.649971753,"persistence","F0","WGOA","Rpath","base"
1997,"COD",339607.871812025,88455.8466619866,58920.579990637,"persistence","F0","WGOA","Rpath","base"
1997,"ATF",1547340.93937387,596389.731746862,14758.279890696,"persistence","F0","WGOA","Rpath","base"
1998,"POL",3007840.54757787,1762267.82292695,5428.379997642,"persistence","F0","WGOA","Rpath","base"
1998,"COD",338402.008126062,87897.0996300377,50218.950113863,"persistence","F0","WGOA","Rpath","base"
1998,"ATF",1552042.17068945,596282.511778416,12377.190009373,"persistence","F0","WGOA","Rpath","base"
1999,"POL",2993956.26360435,1751820.3586859,90556.900062537,"persistence","F0","WGOA","Rpath","base"
1999,"COD",323385.504513683,83134.3281978233,66264.67009813,"persistence","F0","WGOA","Rpath","base"
1999,"ATF",1556822.57219736,596729.653748177,14649.229924965,"persistence","F0","WGOA","Rpath","base"
2000,"POL",3049484.66889728,1789601.2235707,5552.830105466,"persistence","F0","WGOA","Rpath","base"
2000,"COD",321234.70478313,82993.6306736087,53384.869944958,"persistence","F0","WGOA","Rpath","base"
2000,"ATF",1555589.60333769,595731.530286997,22993.75009338,"persistence","F0","WGOA","Rpath","base"
2001,"POL",3082953.38628358,1808450.38491623,3452.299978517,"persistence","F0","WGOA","Rpath","base"
2001,"COD",327836.052151014,85350.6677932879,40517.409954733,"persistence","F0","WGOA","Rpath","base"
2001,"ATF",1559150.39699574,597017.281545479,17416.199986059,"persistence","F0","WGOA","Rpath","base"
2002,"POL",3117695.91098478,1828996.8919311,1698.029945361,"persistence","F0","WGOA","Rpath","base"
2002,"COD",329657.199807253,86672.396799144,41567.989960821,"persistence","F0","WGOA","Rpath","base"
2002,"ATF",1561074.36729579,598208.760306624,20173.560012907,"persistence","F0","WGOA","Rpath","base"
2003,"POL",3105660.59060301,1817041.08768011,48590.077011908,"persistence","F0","WGOA","Rpath","base"
2003,"COD",321002.232869284,86072.6548698382,52365.755088864,"persistence","F0","WGOA","Rpath","base"
2003,"ATF",1552272.45436907,595288.634146958,30169.771891001,"persistence","F0","WGOA","Rpath","base"
2004,"POL",3100496.17999595,1811816.72016729,62434.439922489,"persistence","F0","WGOA","Rpath","base"
2004,"COD",310907.346053104,86861.6844619175,56450.241969657,"persistence","F0","WGOA","Rpath","base"
2004,"ATF",1557805.52630999,597533.747722124,15634.908041003,"persistence","F0","WGOA","Rpath","base"
2005,"POL",3085140.75609541,1801622.59658072,78302.791927256,"persistence","F0","WGOA","Rpath","base"
2005,"COD",308747.712383036,89355.0329510825,47523.779925577,"persistence","F0","WGOA","Rpath","base"
2005,"ATF",1557456.93296847,596651.527725103,19923.573051558,"persistence","F0","WGOA","Rpath","base"
2006,"POL",3088115.70042571,1805154.79373703,68928.307992488,"persistence","F0","WGOA","Rpath","base"
2006,"COD",305285.425387622,89662.8420266119,47767.079961499,"persistence","F0","WGOA","Rpath","base"
2006,"ATF",1552052.55675712,593803.972010943,27622.698918064,"persistence","F0","WGOA","Rpath","base"
2007,"POL",3108388.6659623,1820162.18935033,51572.307003871,"persistence","F0","WGOA","Rpath","base"
2007,"COD",298656.827987615,86970.5841575916,51812.178003779,"persistence","F0","WGOA","Rpath","base"
2007,"ATF",1552833.11070127,593773.096946291,25346.986980543,"persistence","F0","WGOA","Rpath","base"
2008,"POL",3122657.32782491,1829614.82622622,50786.206014733,"persistence","F0","WGOA","Rpath","base"
