Climate,Frate,Region,Model,Species,year,totB,SSB,Catch,,Scenario
stable_climate,F0,WGOA,Rpath,POL,1991,2884927.165,1690895.406,87828.01,,base
stable_climate,F0,WGOA,Rpath,COD,1991,399280.2939,93224.23736,64466.82999,,base
stable_climate,F0,WGOA,Rpath,ATF,1991,1554327.805,597326.9774,16958.38001,,base
stable_climate,F0,WGOA,Rpath,POL,1992,2892495.913,1696087.278,90585.18996,,base
stable_climate,F0,WGOA,Rpath,COD,1992,371842.9001,88999.22879,78966.50009,,base
stable_climate,F0,WGOA,Rpath,ATF,1992,1551901.376,598021.2117,20482.18006,,base
stable_climate,F0,WGOA,Rpath,POL,1993,2886917.46,1690078.21,108230.1801,,base
stable_climate,F0,WGOA,Rpath,COD,1993,375328.1754,91984.46817,45849.17007,,base
stable_climate,F0,WGOA,Rpath,ATF,1993,1551566.347,599298.1593,18294.44992,,base
stable_climate,F0,WGOA,Rpath,POL,1994,2891612.897,1691340.87,100412.3599,,base
stable_climate,F0,WGOA,Rpath,COD,1994,374238.5054,92168.02449,45610.57997,,base
stable_climate,F0,WGOA,Rpath,ATF,1994,1547453.432,598480.5088,21993.23998,,base
stable_climate,F0,WGOA,Rpath,POL,1995,2920445.243,1709974.752,69168.12993,,base
stable_climate,F0,WGOA,Rpath,COD,1995,354241.1182,88060.92648,67907.17999,,base
stable_climate,F0,WGOA,Rpath,ATF,1995,1548788.073,599203.4556,17415.49004,,base
stable_climate,F0,WGOA,Rpath,POL,1996,2949537.5,1727520.768,49825.87004,,base
stable_climate,F0,WGOA,Rpath,COD,1996,348901.2699,89289.89982,55391.6601,,base
stable_climate,F0,WGOA,Rpath,ATF,1996,1545296.542,597141.1539,21555.6099,,base
stable_climate,F0,WGOA,Rpath,POL,1997,2946193.762,1722365.564,84179.64997,,base
stable_climate,F0,WGOA,Rpath,COD,1997,339607.8718,88455.84666,58920.57999,,base
stable_climate,F0,WGOA,Rpath,ATF,1997,1547340.939,596389.7317,14758.27989,,base
stable_climate,F0,WGOA,Rpath,POL,1998,3007840.548,1762267.823,5428.379998,,base
stable_climate,F0,WGOA,Rpath,COD,1998,338402.0081,87897.09963,50218.95011,,base
stable_climate,F0,WGOA,Rpath,ATF,1998,1552042.171,596282.5118,12377.19001,,base
stable_climate,F0,WGOA,Rpath,POL,1999,2993956.264,1751820.359,90556.90006,,base
stable_climate,F0,WGOA,Rpath,COD,1999,323385.5045,83134.3282,66264.6701,,base
stable_climate,F0,WGOA,Rpath,ATF,1999,1556822.572,596729.6537,14649.22992,,base
stable_climate,F0,WGOA,Rpath,POL,2000,3049484.669,1789601.224,5552.830105,,base
stable_climate,F0,WGOA,Rpath,COD,2000,321234.7048,82993.63067,53384.86994,,base
stable_climate,F0,WGOA,Rpath,ATF,2000,1555589.603,595731.5303,22993.75009,,base
stable_climate,F0,WGOA,Rpath,POL,2001,3082953.386,1808450.385,3452.299979,,base
stable_climate,F0,WGOA,Rpath,COD,2001,327836.0522,85350.66779,40517.40995,,base
stable_climate,F0,WGOA,Rpath,ATF,2001,1559150.397,597017.2815,17416.19999,,base
stable_climate,F0,WGOA,Rpath,POL,2002,3117695.911,1828996.892,1698.029945,,base
stable_climate,F0,WGOA,Rpath,COD,2002,329657.1998,86672.3968,41567.98996,,base
stable_climate,F0,WGOA,Rpath,ATF,2002,1561074.367,598208.7603,20173.56001,,base
stable_climate,F0,WGOA,Rpath,POL,2003,3105660.591,1817041.088,48590.07701,,base
stable_climate,F0,WGOA,Rpath,COD,2003,321002.2329,86072.65487,52365.75509,,base
stable_climate,F0,WGOA,Rpath,ATF,2003,1552272.454,595288.6341,30169.77189,,base
stable_climate,F0,WGOA,Rpath,POL,2004,3100496.18,1811816.72,62434.43992,,base
stable_climate,F0,WGOA,Rpath,COD,2004,310907.3461,86861.68446,56450.24197,,base
stable_climate,F0,WGOA,Rpath,ATF,2004,1557805.526,597533.7477,15634.90804,,base
stable_climate,F0,WGOA,Rpath,POL,2005,3085140.756,1801622.597,78302.79193,,base
stable_climate,F0,WGOA,Rpath,COD,2005,308747.7124,89355.03295,47523.77993,,base
stable_climate,F0,WGOA,Rpath,ATF,2005,1557456.933,596651.5277,19923.57305,,base
stable_climate,F0,WGOA,Rpath,POL,2006,3088115.7,1805154.794,68928.30799,,base
stable_climate,F0,WGOA,Rpath,COD,2006,305285.4254,89662.84203,47767.07996,,base
stable_climate,F0,WGOA,Rpath,ATF,2006,1552052.557,593803.972,27622.69892,,base
stable_climate,F0,WGOA,Rpath,POL,2007,3108388.666,1820162.189,51572.307,,base
stable_climate,F0,WGOA,Rpath,COD,2007,298656.828,86970.58416,51812.178,,base
stable_climate,F0,WGOA,Rpath,ATF,2007,1552833.111,593773.0969,25346.98698,,base
stable_climate,F0,WGOA,Rpath,POL,2008,3122657.328,1829614.826,50786.20601,,base
stable_climate,F0,WGOA,Rpath,COD,2008,288014.1972,83738.42574,58386.38403,,base
stable_climate,F0,WGOA,Rpath,ATF,2008,1551453.517,592951.9777,29205.93997,,base
stable_climate,F0,WGOA,Rpath,POL,2009,3143273.399,1841984.82,41549.50308,,base
stable_climate,F0,WGOA,Rpath,COD,2009,284535.8483,83301.56554,51788.98001,,base
stable_climate,F0,WGOA,Rpath,ATF,2009,1555113.026,594046.2661,24831.74204,,base
stable_climate,F0,WGOA,Rpath,POL,2010,3136117.031,1835292.146,73443.38423,,base
stable_climate,F0,WGOA,Rpath,COD,2010,260387.0744,76717.56805,76954.1546,,base
stable_climate,F0,WGOA,Rpath,ATF,2010,1558263.173,594362.5648,24339.44647,,base
stable_climate,F0,WGOA,Rpath,POL,2011,3141056.088,1838289.751,77694.47962,,base
stable_climate,F0,WGOA,Rpath,COD,2011,234318.5161,69543.30604,83710.47539,,base
stable_climate,F0,WGOA,Rpath,ATF,2011,1557071.61,592792.1032,30911.82176,,base
stable_climate,F0,WGOA,Rpath,POL,2012,3133568.472,1833854.712,98934.69122,,base
stable_climate,F0,WGOA,Rpath,COD,2012,216652.3988,64116.82151,76871.10999,,base
stable_climate,F0,WGOA,Rpath,ATF,2012,1567597.99,595605.7671,20761.90991,,base
stable_climate,F0,WGOA,Rpath,POL,2013,3129803.327,1832301.647,90796.63161,,base
stable_climate,F0,WGOA,Rpath,COD,2013,207097.746,61173.05499,66829.78162,,base
stable_climate,F0,WGOA,Rpath,ATF,2013,1575636.643,596480.792,21809.31232,,base
stable_climate,F0,WGOA,Rpath,POL,2014,3087331.432,1803398.136,138948.062,,base
stable_climate,F0,WGOA,Rpath,COD,2014,180191.4473,54326.17477,83491.7282,,base
stable_climate,F0,WGOA,Rpath,ATF,2014,1567912.163,590069.7527,36524.50153,,base
stable_climate,F0,WGOA,Rpath,POL,2015,3045526.286,1775739.079,162807.646,,base
stable_climate,F0,WGOA,Rpath,COD,2015,157932.7221,48934.44114,77689.99201,,base
stable_climate,F0,WGOA,Rpath,ATF,2015,1577268.818,588791.536,19296.58722,,base
stable_climate,F0,WGOA,Rpath,POL,2016,3007798.292,1753763.798,173086.3524,,base
stable_climate,F0,WGOA,Rpath,COD,2016,147656.6154,47339.00977,62867.32743,,base
stable_climate,F0,WGOA,Rpath,ATF,2016,1586289.943,586210.8787,19976.29419,,base
stable_climate,F0,WGOA,Rpath,POL,2017,2976739.358,1738811.225,184220.0285,,base
stable_climate,F0,WGOA,Rpath,COD,2017,147736.1447,50239.67431,48204.21467,,base
stable_climate,F0,WGOA,Rpath,ATF,2017,1591593.276,581990.6601,27053.50899,,base
stable_climate,F0,WGOA,Rpath,POL,2018,2968841.332,1740812.462,150815.1922,,base
stable_climate,F0,WGOA,Rpath,COD,2018,174522.2292,61112.90393,14681.2982,,base
stable_climate,F0,WGOA,Rpath,ATF,2018,1607270.211,582229.7484,18870.25094,,base
stable_climate,F0,WGOA,Rpath,POL,2019,2976191.205,1750709.517,110649.2716,,base
stable_climate,F0,WGOA,Rpath,COD,2019,197788.813,66355.87669,15200.42058,,base
stable_climate,F0,WGOA,Rpath,ATF,2019,1614692.328,580069.5368,24567.05196,,base
stable_climate,F0,WGOA,Rpath,POL,2020,2989800.234,1764764.179,99971.06489,,base
stable_climate,F0,WGOA,Rpath,COD,2020,228117.2462,75554.1577,6085.249339,,base
stable_climate,F0,WGOA,Rpath,ATF,2020,1626337.879,581528.2622,21115.8993,,base
stable_climate,F0,WGOA,Rpath,POL,2021,2995471.355,1772438.505,93869.85877,,base
stable_climate,F0,WGOA,Rpath,COD,2021,246074.3727,80181.00935,18686.81231,,base
stable_climate,F0,WGOA,Rpath,ATF,2021,1646164.511,588168.3007,9846.300133,,base
stable_climate,F0,WGOA,Rpath,POL,2022,2974120.546,1761962.339,123494.0341,,base
stable_climate,F0,WGOA,Rpath,COD,2022,260979.5272,80696.13341,25387.70532,,base
stable_climate,F0,WGOA,Rpath,ATF,2022,1660853.239,595237.3018,11531.83168,,base
stable_climate,F0,WGOA,Rpath,POL,2023,2954851.425,1752685.59,124964.8454,,base
stable_climate,F0,WGOA,Rpath,COD,2023,281428.0876,80437.53839,21018.29691,,base
stable_climate,F0,WGOA,Rpath,ATF,2023,1673786.771,603767.5153,9114.887409,,base
stable_climate,F0,WGOA,Rpath,POL,2024,3027028.356,1805008.94,0,,base
stable_climate,F0,WGOA,Rpath,COD,2024,318578.5345,85647.45545,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2024,1692346.588,615925.9435,0,,base
stable_climate,F0,WGOA,Rpath,POL,2025,3068557.401,1833252.367,0,,base
stable_climate,F0,WGOA,Rpath,COD,2025,349935.2431,89592.99109,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2025,1707692.855,627451.8718,0,,base
stable_climate,F0,WGOA,Rpath,POL,2026,3097588.978,1852722.443,0,,base
stable_climate,F0,WGOA,Rpath,COD,2026,376995.8389,94557.91934,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2026,1720938.162,638088.3656,0,,base
stable_climate,F0,WGOA,Rpath,POL,2027,3117209.927,1865125.839,0,,base
stable_climate,F0,WGOA,Rpath,COD,2027,400357.9266,100868.6472,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2027,1731484.868,646680.372,0,,base
stable_climate,F0,WGOA,Rpath,POL,2028,3130108.191,1873207.31,0,,base
stable_climate,F0,WGOA,Rpath,COD,2028,420459.311,107598.0814,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2028,1739505.202,652927.2801,0,,base
stable_climate,F0,WGOA,Rpath,POL,2029,3138679.446,1878931.31,0,,base
stable_climate,F0,WGOA,Rpath,COD,2029,437738.2836,113727.9031,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2029,1745554.152,657061.4941,0,,base
stable_climate,F0,WGOA,Rpath,POL,2030,3144504.998,1883372.032,0,,base
stable_climate,F0,WGOA,Rpath,COD,2030,452631.9066,118853.1933,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2030,1750274.743,659326.0841,0,,base
stable_climate,F0,WGOA,Rpath,POL,2031,3148589.314,1887019.232,0,,base
stable_climate,F0,WGOA,Rpath,COD,2031,465594.3605,122853.427,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2031,1754190.209,660076.7214,0,,base
stable_climate,F0,WGOA,Rpath,POL,2032,3151642.481,1890141.277,0,,base
stable_climate,F0,WGOA,Rpath,COD,2032,477041.9704,125616.5722,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2032,1757644.353,659898.7324,0,,base
stable_climate,F0,WGOA,Rpath,POL,2033,3154214.161,1892947.851,0,,base
stable_climate,F0,WGOA,Rpath,COD,2033,487292.5066,127291.7989,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2033,1760824.81,659389.6091,0,,base
stable_climate,F0,WGOA,Rpath,POL,2034,3156729.721,1895618.32,0,,base
stable_climate,F0,WGOA,Rpath,COD,2034,496572.4229,128217.6079,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2034,1763810.934,659032.43,0,,base
stable_climate,F0,WGOA,Rpath,POL,2035,3159509.777,1898301.732,0,,base
stable_climate,F0,WGOA,Rpath,COD,2035,505038.6552,128754.5533,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2035,1766619.318,659126.0089,0,,base
stable_climate,F0,WGOA,Rpath,POL,2036,3162801.413,1901129.125,0,,base
stable_climate,F0,WGOA,Rpath,COD,2036,512800.6606,129169.4796,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2036,1769240.958,659784.7378,0,,base
stable_climate,F0,WGOA,Rpath,POL,2037,3166806.02,1904226.689,0,,base
stable_climate,F0,WGOA,Rpath,COD,2037,519940.8392,129650.8255,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2037,1771668.714,660977.871,0,,base
stable_climate,F0,WGOA,Rpath,POL,2038,3171686.992,1907714.762,0,,base
stable_climate,F0,WGOA,Rpath,COD,2038,526532.7595,130219.3919,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2038,1773913.755,662574.1346,0,,base
stable_climate,F0,WGOA,Rpath,POL,2039,3177559.436,1911693.92,0,,base
stable_climate,F0,WGOA,Rpath,COD,2039,532650.4105,130854.7921,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2039,1776010.877,664397.8696,0,,base
stable_climate,F0,WGOA,Rpath,POL,2040,3184476.793,1916229.659,0,,base
stable_climate,F0,WGOA,Rpath,COD,2040,538370.8781,131477.6998,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2040,1778014.721,666256.0139,0,,base
stable_climate,F0,WGOA,Rpath,POL,2041,3192425.329,1921343.256,0,,base
stable_climate,F0,WGOA,Rpath,COD,2041,543767.2691,131987.7661,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2041,1779990.219,668005.3958,0,,base
stable_climate,F0,WGOA,Rpath,POL,2042,3201325.948,1927009.48,0,,base
stable_climate,F0,WGOA,Rpath,COD,2042,548902.6673,132318.1821,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2042,1782001.156,669563.3989,0,,base
stable_climate,F0,WGOA,Rpath,POL,2043,3211041.419,1933158.713,0,,base
stable_climate,F0,WGOA,Rpath,COD,2043,553822.4078,132465.6938,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2043,1784100.079,670910.1066,0,,base
stable_climate,F0,WGOA,Rpath,POL,2044,3221384.297,1939682.202,0,,base
stable_climate,F0,WGOA,Rpath,COD,2044,558554.4571,132427.6673,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2044,1786321.459,672076.5117,0,,base
stable_climate,F0,WGOA,Rpath,POL,2045,3232129.834,1946441.287,0,,base
stable_climate,F0,WGOA,Rpath,COD,2045,563105.0311,132301.9773,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2045,1788678.916,673124.9643,0,,base
stable_climate,F0,WGOA,Rpath,POL,2046,3243038.898,1953285.207,0,,base
stable_climate,F0,WGOA,Rpath,COD,2046,567469.4438,132132.2276,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2046,1791165.982,674127.5775,0,,base
stable_climate,F0,WGOA,Rpath,POL,2047,3253899.027,1960080.97,0,,base
stable_climate,F0,WGOA,Rpath,COD,2047,571632.6424,131983.5214,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2047,1793759.752,675147.3332,0,,base
stable_climate,F0,WGOA,Rpath,POL,2048,3264566.717,1966741.802,0,,base
stable_climate,F0,WGOA,Rpath,COD,2048,575581.9884,131931.7577,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2048,1796427.536,676225.5954,0,,base
stable_climate,F0,WGOA,Rpath,POL,2049,3274984.599,1973237.837,0,,base
stable_climate,F0,WGOA,Rpath,COD,2049,579314.4035,131961.3288,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2049,1799134.203,677377.7567,0,,base
stable_climate,F0,WGOA,Rpath,POL,2050,3285166.038,1979583.867,0,,base
stable_climate,F0,WGOA,Rpath,COD,2050,582829.5101,132062.3508,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2050,1801848.616,678596.0305,0,,base
stable_climate,F0,WGOA,Rpath,POL,2051,3295159.363,1985814.674,0,,base
stable_climate,F0,WGOA,Rpath,COD,2051,586137.8331,132230.4203,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2051,1804547.905,679856.9563,0,,base
stable_climate,F0,WGOA,Rpath,POL,2052,3305013.457,1991963.592,0,,base
stable_climate,F0,WGOA,Rpath,COD,2052,589258.0537,132407.3647,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2052,1807218.364,681130.1697,0,,base
stable_climate,F0,WGOA,Rpath,POL,2053,3314753.385,1998047.53,0,,base
stable_climate,F0,WGOA,Rpath,COD,2053,592209.805,132557.997,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2053,1809854.033,682386.4319,0,,base
stable_climate,F0,WGOA,Rpath,POL,2054,3324364.001,2004055.976,0,,base
stable_climate,F0,WGOA,Rpath,COD,2054,595010.5787,132661.0999,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2054,1812454.257,683603.5693,0,,base
stable_climate,F0,WGOA,Rpath,POL,2055,3333785.195,2009949.096,0,,base
stable_climate,F0,WGOA,Rpath,COD,2055,597672.1188,132721.8702,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2055,1815020.439,684769.0648,0,,base
stable_climate,F0,WGOA,Rpath,POL,2056,3342916.008,2015661.478,0,,base
stable_climate,F0,WGOA,Rpath,COD,2056,600200.6706,132745.6301,0,,base
stable_climate,F0,WGOA,Rpath,ATF,2056,1817553.136,685879.7516,0,,base
stable_climate,F0,WGOA,Rpath,POL,2057,3351630.664,2021113.042,0,,base
stable_climate,F0,WGOA,Rpath,COD,2057,602597.413,132738.7825,0,,base
