,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,2.66400003,2.66400003,120.214996,,0.98211038,,,
2,Micro/Mesozooplankton,2.01010108,1.00000000,4.98699999,4.98699999,28.3850002,81.0100021,0.93505919,0.35038880,,
3,Macrozooplankton,2.53110003,1.00000000,0.99500000,0.99500000,20.2600002,57.4900017,0.96067852,0.35240909,,
4,"Benthic invertebrates",2.05335593,1.00000000,10.7100000,10.7100000,1.89999998,5.84399986,0.89813602,0.32511979,,
5,Polychaetes,2.10838294,1.00000000,6.19000006,6.19000006,2.84999990,15.4099998,0.90963918,0.18494479,,
6,"Benthic small crustaceans",2.19049311,1.00000000,1.36600006,1.36600006,9.28999996,56.1100006,0.87257689,0.16556761,,
7,Jellyfish,2.85042000,1.00000000,1.30999994,1.30999994,15.7500000,23.8400002,0.43074691,0.66065443,,
8,"Shelf crabs",2.89454103,1.00000000,0.077410214,0.077410214,2.84999990,12.5799999,0.91717392,0.22655010,,
9,"Slope crabs",2.89454103,1.00000000,0.0008063610,0.0008063610,1.49000001,8.19999981,0.91320872,0.18170729,,
10,Shrimps,3.03869295,1.00000000,0.44568679,0.44568679,3.48000002,8.31999969,0.67348403,0.41826919,,
11,Lobsters,3.06152201,1.00000000,0.010895890,0.010895890,2.47499990,7.21000004,0.48020139,0.34327319,,
12,"Norway lobster",2.70806098,1.00000000,0.014792180,0.014792180,1.35000002,4.86499977,0.90779859,0.27749231,,
13,"Octopus and cuttlefish",3.16424203,1.00000000,0.43994600,0.43994600,2.55200005,5.88299990,0.95233458,0.43379229,,
14,Squids,3.89046502,1.00000000,0.62091428,0.62091428,2.79200006,23.9659996,0.83549088,0.11649840,,
15,"European anchovy",3.26513791,1.00000000,1.96674502,1.96674502,2.80813408,9.10000038,0.99137628,0.30858621,,
16,"European pilchard",2.91216302,1.00000000,2.19666100,2.19666100,2.54331112,24.7999992,0.92922819,0.10255290,,
17,"Other small pelagics",3.23963189,1.00000000,1.15294600,1.15294600,1.35414696,14.1374998,0.82454091,0.09578405,,
18,"Picarels and bogue",3.36709404,1.00000000,0.78429931,0.78429931,1.83711302,9.03333378,0.90826058,0.20337041,,
19,Mackerels,4.01817608,1.00000000,0.10009030,0.10009030,2.14810705,5.75000000,0.99553972,0.37358379,,
20,"Horse mackerels",3.53893304,1.00000000,0.23459460,0.23459460,1.02061403,7.65000010,0.87602520,0.13341360,,
21,"Medium pelagics",4.11614609,1.00000000,0.25284410,0.25284410,0.70534211,7.16666698,0.46060389,0.09841982,,
22,"Large pelagics",4.52841711,1.00000000,0.052999999,0.052999999,0.24590170,4.75000000,0.85156250,0.05176878,,
23,Anglerfish,3.86043692,1.00000000,0.16872180,0.16872180,0.66026121,3.45000005,0.09215536,0.19138010,,
24,Flatfishes,3.32389307,1.00000000,0.069966383,0.069966383,0.72066182,9.04615402,0.91625220,0.07966500,,
25,"European hake",3.44211102,1.00000000,0.57218498,0.57218498,1.23414195,4.00000000,0.51658678,0.30853549,,
26,"Other gadiforms",3.42850804,1.00000000,0.62275982,0.62275982,0.41344649,6.18333292,0.75184959,0.06686466,,
27,Gurnards,3.36010909,1.00000000,0.14354859,0.14354859,0.50296712,8.39999962,0.41458809,0.05987704,,
28,"Red mullets",3.49334192,1.00000000,0.073222227,0.073222227,1.81426597,7.59999990,0.76300341,0.23871920,,
29,Rockfish,3.49539709,1.00000000,0.045682751,0.045682751,0.44404370,6.59999990,0.25953430,0.06727935,,
30,"Small demersals 1",3.22197294,1.00000000,0.10252570,0.10252570,1.22935700,10.1999998,0.64744532,0.12052520,,
31,"Small demersals 2",3.22836399,1.00000000,0.16162880,0.16162880,0.61289549,8.97692299,0.75527543,0.06827457,,
32,"Small demersals 3",3.20114899,1.00000000,0.043523781,0.043523781,0.28647771,11.2307701,0.86233437,0.02550829,,
33,"Medium-large demersals 1",3.69386196,1.00000000,0.064545117,0.064545117,0.56438661,6.24444389,0.25793371,0.09038220,,
34,"Medium-large demersals 2",3.47247696,1.00000000,0.070185028,0.070185028,0.95797682,4.47499990,0.43380091,0.21407300,,
35,"Planktivorous deep sea fish",3.15640402,1.00000000,0.51039690,0.51039690,0.34191111,16.8500004,0.98077983,0.02029146,,
36,"Piscivorous deep sea fish",3.41972303,1.00000000,0.21743420,0.21743420,0.24695811,6.84000015,0.96432698,0.03610498,,
37,"Rays and skates",3.66536808,1.00000000,0.15145020,0.15145020,0.24421570,4.19999981,0.13227171,0.05814660,,
38,Sharks,4.16629505,1.00000000,0.21015470,0.21015470,0.083100900,4.19999981,0.37400761,0.01978593,,
39,"Sea turtles",2.89370704,1.00000000,0.079999998,0.079999998,0.16500001,2.74300003,0.00378788,0.06015312,,
40,Seabirds,2.54120803,1.00000000,0.0010000000,0.0010000000,5.05000019,99.2200012,0.00198020,0.05089700,,
41,Dolphins,4.30312777,1.00000000,0.017000001,0.017000001,0.079999998,12.9700003,0.03676470,0.00616808,,
42,"Monk seal",4.30725098,1.00000000,0.0040000002,0.0040000002,0.12500000,12.1250000,0.02000000,0.01030928,,
43,Discards,1.00000000,1.00000000,0.10858070,0.10858070,,,0.89128989,,,
44,Detritus,1.00000000,1.00000000,29.8600006,29.8600006,,,0.88788712,,,
