,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Dolphins,4.69671917,1.00000000,0.0030300000,0.0030300000,,0.10000000,41.0699997,0.00110748,0.00243487,,
2,Dugongs,2.00000000,1.00000000,0.050000001,0.050000001,,0.079999998,36.5000000,0.02500000,0.00219178,,
3,Crocodiles,4.04343891,1.00000000,0.00006892,0.00006892,,0.31799999,2.07999992,0.80000001,0.15288460,,
4,Turtles,3.24183989,1.00000000,0.035000000,0.035000000,,0.19200000,3.50000000,0.95227897,0.05485714,,
5,"Sea snakes",4.96399689,1.00000000,0.0027000001,0.0027000001,,0.69999999,6.09999990,0.81148148,0.11475410,,
6,"Lesser frigates",4.81660700,1.00000000,0.0000500000,0.0000500000,,0.079999998,36.7000008,0.07474773,0.00217984,,
7,"Brown boobies",4.60783720,1.00000000,0.0020200000,0.0020200000,,0.079999998,33.7999992,0.00000000,0.00236686,,
8,"Crested terns",4.71817112,1.00000000,0.0003400000,0.0003400000,,0.20400000,47.5000000,0.00000000,0.00429474,,
9,"Common terns",4.23377085,1.00000000,0.0003600000,0.0003600000,,0.16000000,65.0999985,0.00000000,0.00245776,,
10,"Large pelagic piscivores",4.27722406,1.00000000,0.0000565000,0.0000565000,,0.50000000,7.76666689,0.01380347,0.06437768,,
11,"Medium pelagic piscivores",4.18951082,1.00000000,0.012487100,0.012487100,,0.80000001,12.3066702,0.84848708,0.06500540,,
12,"Small pelagic piscivores",4.29714584,1.00000000,0.052900001,0.052900001,,0.83125001,14.3999996,0.99820018,0.05772570,,
13,Sawfishes,4.71342611,1.00000000,0.039999999,0.039999999,,0.20000000,2.57500005,0.11569540,0.07766990,,
14,"Large teleost benthic piscivores",4.10524082,1.00000000,0.09149650,0.09149650,,0.56599998,6.46000004,0.85000002,0.08761609,,
15,"Small benthic piscivores",4.40684605,1.00000000,0.34622979,0.34622979,,1.04200006,5.16800022,0.95000011,0.20162541,,
16,"Large elasmo benthopelagic piscivores",4.52509594,1.00000000,0.059999999,0.059999999,,0.50000000,7.85599995,0.51946408,0.06364562,,
17,"Large teleost benthopelagic piscivores",4.42346716,1.00000000,0.52260000,0.52260000,,0.45100001,3.42079997,0.53631639,0.13184050,,
18,"Small benthopelagic piscivores",4.16022015,1.00000000,0.18798859,0.18798859,,0.86799997,8.17199993,0.95000011,0.10621630,,
19,"Large benthopelagic invert feeders",4.46634483,1.00000000,0.0019000000,0.0019000000,,0.54699999,7.79199982,0.25151610,0.07020020,,
