,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Killer Whales",4.50869417,1.00000000,0.0010000000,0.0010000000,,0.050000001,11.0000000,0.00000000,0.00454545,,
2,"Leopard Seal",4.11080599,1.00000000,0.0057600001,0.0057600001,,0.12000000,8.10000038,0.63657409,0.01481481,,
3,"Ross Seal",4.11090183,1.00000000,0.0041999999,0.0041999999,,0.13000000,15.3000002,0.83018333,0.00849673,,
4,"Weddell Seal",3.95956111,1.00000000,0.021000000,0.021000000,,0.17000000,13.8800001,0.68903089,0.01224784,,
5,"Crabeater Seal",3.38683200,1.00000000,0.16400000,0.16400000,,0.090000004,15.8599997,0.36286721,0.00567465,,
6,"Antarctic Fur Seals",3.66302109,1.00000000,0.028200001,0.028200001,,0.17500000,25.0000000,0.86239523,0.00700000,,
7,"Southern Elephant Seals",4.23626614,1.00000000,0.0064732139,0.0064732139,,0.16500001,10.3699999,0.43682110,0.01591128,,
8,"Sperm whales",4.19888401,1.00000000,0.0049999999,0.0049999999,,0.034000002,7.32999992,0.00000000,0.00463847,,
9,"Blue Whales",3.38034010,1.00000000,0.0005000000,0.0005000000,,0.032209001,3.52999997,0.68303889,0.00912436,,
10,"Fin Whales",3.31301308,1.00000000,0.0030000000,0.0030000000,,0.035000000,4.11999989,0.52380961,0.00849514,,
11,"Minke whales",3.21063209,1.00000000,0.064999998,0.064999998,,0.064000003,6.34000015,0.90961552,0.01009464,,
12,"Humpback whales",3.36793089,1.00000000,0.020000000,0.020000000,,0.039999999,4.11999989,0.96250010,0.00970874,,
13,"Emperor penguins",3.83972812,1.00000000,0.0049999999,0.0049999999,,0.15000001,28.6900005,0.93312001,0.00522830,,
14,"Gentoo Penguins",3.93061590,1.00000000,0.0065000001,0.0065000001,,0.22000000,29.0000000,0.40318879,0.00758621,,
15,"Chinstrap Penguins",3.91653299,1.00000000,0.0052999998,0.0052999998,,0.33000001,34.0000000,0.39254430,0.00970588,,
16,"Macaroni Penguin",3.64094090,1.00000000,0.013500000,0.013500000,,0.30000001,25.0000000,0.37276050,0.01200000,,
17,"Adelie Penguins",3.48001909,1.00000000,0.034000002,0.034000002,,0.28999999,30.0000000,0.79338741,0.00966667,,
18,"Flying birds",3.67391109,1.00000000,0.19000000,0.19000000,,0.33987501,14.8800001,0.94999999,0.02284106,,
19,Cephalopods,3.39250898,1.00000000,2.49000001,2.49000001,,0.94999999,2.00000000,0.65293908,0.47499999,,
20,"Other Icefish",3.68482804,1.00000000,0.33699721,0.33699721,,0.38000000,1.57000005,0.72589749,0.24203821,,
21,Toothfish,4.22789001,1.00000000,0.046200000,0.046200000,,0.16500001,0.76999998,0.62691867,0.21428570,,
22,"Large Nototheniidae",3.33709693,1.00000000,0.58999997,0.58999997,,0.37000000,1.95000005,0.45221221,0.18974359,,
23,"Small Nototheniidae",3.34400892,1.00000000,0.34099999,0.34099999,,0.64999998,2.20000005,0.87326568,0.29545450,,
24,"Shallow Demersals",3.40774608,1.00000000,0.030776000,0.030776000,,0.75000000,4.12500000,0.36207959,0.18181820,,
25,"Deep demersals Large",3.68651009,1.00000000,0.041999999,0.041999999,,0.28999999,2.18000007,0.80312258,0.13302749,,
26,"Deep demersals Small",3.68889499,1.00000000,0.079999998,0.079999998,,0.64999998,2.70000005,0.82026982,0.24074070,,
27,Myctophids,3.22724009,1.00000000,0.18500000,0.18500000,,1.35000002,3.73000002,0.88259691,0.36193031,,
28,"Other Pelagics",3.76812005,1.00000000,0.49000001,0.49000001,,0.55000001,2.01999998,0.83784688,0.27227721,,
29,"Champsocephalus gunnari",3.35502791,1.00000000,0.28999999,0.28999999,,0.47999999,1.79999995,0.47542521,0.26666671,,
30,"Pleuragramma antarcticum",3.23540807,1.00000000,1.25000000,1.25000000,,1.10000002,3.54999995,0.60324252,0.30985919,,
31,"Notothenia gibberifrons",3.21194696,1.00000000,0.81000000,0.81000000,,0.41000000,1.54999995,0.64499849,0.26451609,,
32,Mollusca,2.12869906,1.00000000,9.50000000,9.50000000,,0.63900000,2.55599999,0.54501992,0.25000000,,
33,Salps,2.27296805,1.00000000,2.50000000,2.50000000,,3.00000000,12.00000000,0.20915350,0.25000000,,
34,Urochordata,2.13000011,1.00000000,5.05000019,5.05000019,,0.23400000,1.00000000,0.55376112,0.23400000,,
35,Porifera,2.00000000,1.00000000,12.7189999,12.7189999,,0.15899999,0.79500002,0.81548929,0.20000000,,
36,Hemichordata,2.00000000,1.00000000,0.045000002,0.045000002,,0.37500000,2.00000000,0.53449541,0.18750000,,
37,Brachiopoda,2.26483989,1.00000000,0.027700000,0.027700000,,0.89800000,4.50000000,0.59020001,0.19955561,,
38,Bryozoa,2.09999990,1.00000000,0.49100000,0.49100000,,0.47499999,1.75000000,0.94960552,0.27142861,,
39,Cnidaria,2.91056895,1.00000000,1.53100002,1.53100002,,0.25000000,1.00000000,0.98193288,0.25000000,,
40,"Arthropod Crustecea",2.42114902,1.00000000,3.61299992,3.61299992,,1.04999995,4.19999981,0.88824528,0.25000000,,
41,"Arthropod Other",2.93555903,1.00000000,1.00999999,1.00999999,,0.61580002,3.32599998,0.98051822,0.18514730,,
42,Worms,2.45358205,1.00000000,12.0000000,12.0000000,,0.69999999,3.20000005,0.84358668,0.21875000,,
43,Echinoidea,2.72966790,1.00000000,4.32999992,4.32999992,,0.11600000,0.46399999,0.77418900,0.25000000,,
44,Crinoidea,2.42901206,1.00000000,0.16374999,0.16374999,,0.12500000,0.80000001,0.52317709,0.15625000,,
45,Ophiuroidea,2.48223901,1.00000000,6.76000023,6.76000023,,0.44999999,1.79999995,0.55078709,0.25000000,,
46,Asteroidea,2.34373999,1.00000000,1.77800000,1.77800000,,0.23100001,0.92400002,0.77359319,0.25000000,,
47,Holothuroidea,2.00000000,1.00000000,5.44999981,5.44999981,,0.31549999,1.10000002,0.93776762,0.28681821,,
,Krill,,,,,,,,,,,
48,"Krill Adult",2.47414207,1.00000000,9.07999992,9.07999611,1.50000000,,33.0000191,0.73841310,0.04545452,,
49,"Krill Sub-adult",2.22296810,1.00000000,25.8926697,25.8926601,0.89999998,,51.6425896,0.84541768,0.01742747,,
50,"Krill Juvenile",2.00000000,1.00000000,0.012547860,0.012547860,2.50000000,,356.132385,0.79517919,0.00701986,,
51,"Krill Larvae",2.00000000,1.00000000,0.0032390931,0.0032390931,8.00000000,,698.505920,0.46125799,0.01145302,,
52,Macro-Zooplankton,2.14840102,1.00000000,8.17000008,8.17000008,,9.21570015,30.7189999,0.83219749,0.30000001,,
53,Micro-Zooplankton,2.00000000,1.00000000,2.07999992,2.07999992,,27.06629944,90.2210007,0.95631528,0.30000001,,
54,Cryptophytes,1.00000000,1.00000000,1.79999995,1.79999995,,75.0000000,,0.72382462,,,
55,Copepods,2.00000000,1.00000000,21.8799992,21.8799992,,16.5599995,90.0000000,0.98711568,0.18400000,,
56,Diatoms,1.00000000,1.00000000,17.4099998,17.4099998,,90.5100021,,0.99500048,,,
57,"Ice algae",1.00000000,1.00000000,26.6900005,26.6900005,,45.0000000,,0.96212608,,,
58,"Other Phytoplankton",1.00000000,1.00000000,2.93000007,2.93000007,,86.0000000,,0.94565731,,,
59,Detritus,1.00000000,1.00000000,3.43000007,3.43000007,,,,0.35364521,,,
60,SOI,1.00000000,1.00000000,1.00000000,1.00000000,,,,,,,
61,SST,1.00000000,1.00000000,1.00000000,1.00000000,,,,,,,
