,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Large coastal sharks",3.83972502,1.00000000,0.081335962,0.081335962,,0.28022179,3.20000005,0.62205023,0.08756931,,
2,"Small coastal sharks",3.69754410,1.00000000,0.077261433,0.077261433,,0.51927757,4.69999981,0.53759360,0.11048460,,
3,Dolphins,3.70516205,1.00000000,0.0017652940,0.0017652940,,0.095016427,30.0000000,0.79960918,0.00316721,,
4,Seabirds,3.84705305,1.00000000,0.0077851349,0.0077851349,,1.29954898,17.7399998,0.40027821,0.07325530,,
5,"Atlantic stingray",3.57398105,1.00000000,0.12287560,0.12287560,,0.64772332,4.26000023,0.11034860,0.15204769,,
6,Snapper,3.74092388,1.00000000,0.0011790320,0.0011790320,,1.24941599,8.84000015,0.57192302,0.14133660,,
7,"Black drum",3.37621689,1.00000000,0.014939020,0.014939020,,0.52085888,3.65400004,0.75545400,0.14254490,,
8,"Red drum",3.86604905,1.00000000,0.50279123,0.50279123,,2.04441309,8.50000000,0.36396119,0.24051920,,
9,Mullet,2.00062990,1.00000000,0.70258921,0.70258921,,2.85788989,19.3999996,0.34692341,0.14731389,,
,"Sand seatrout",,,,,,,,,,,
10,"Juvenile sand seatrout",3.53687811,1.00000000,0.0094383359,0.0094383359,3.61424708,,38.6100006,0.61990231,0.09360909,,
11,"Adult sand seatrout",3.63633394,1.00000000,0.68015921,0.68015921,0.81983691,,8.19853497,0.87385261,0.09999797,,
,"Silver perch",,,,,,,,,,,
12,"Juvenile silver perch",3.01190090,1.00000000,0.096037589,0.096037589,2.84484196,,17.3099995,0.44060060,0.16434669,,
13,"Adult silver perch",3.34085107,1.00000000,0.051304590,0.051304590,1.49425006,,12.6434298,0.51145768,0.11818390,,
14,"Inshore lizardfish",3.91994309,1.00000000,0.0060567060,0.0060567060,,1.15580201,7.32999992,0.39576599,0.15768100,,
15,"Fringed flounder",3.26581407,1.00000000,0.011021570,0.011021570,,0.77474540,4.51599979,0.27900091,0.17155570,,
16,"Gulf flounder",3.26581407,1.00000000,0.012627190,0.012627190,,0.67823511,4.51599979,0.47374469,0.15018490,,
,Spot,,,,,,,,,,,
17,"Juvenile spot",2.98946810,1.00000000,0.31201261,0.31201261,1.85969603,,8.69999981,0.31193110,0.21375820,,
18,"Adult spot",2.88557410,1.00000000,0.13389111,0.13389111,1.08801496,,5.20729399,0.41660741,0.20894060,,
19,"Southern kingfish",3.98635793,1.00000000,0.0023550971,0.0023550971,,1.26607800,13.5799999,0.33929861,0.09323107,,
,"Atlantic croaker",,,,,,,,,,,
20,"Juvenile Atlantic croaker",3.12446594,1.00000000,0.084814817,0.084814817,1.94505298,,9.34000015,0.34853849,0.20824981,,
21,"Adult Atlantic croaker",3.57441902,1.00000000,0.37698790,0.37698790,1.93256104,,3.90285993,0.57871783,0.49516529,,
,Pinfish,,,,,,,,,,,
22,"Juvenile pinfish",3.26213193,1.00000000,0.65547627,0.65547627,1.00237894,,19.1900005,0.29167229,0.05223444,,
23,"Adult pinfish",2.11154008,1.00000000,6.60817623,6.60817623,0.26291400,,8.21930027,0.49329120,0.03198740,,
,Pigfish,,,,,,,,,,,
24,"Juvenile pigfish",2.91768003,1.00000000,0.12262160,0.12262160,0.68693280,,4.00000000,0.43221590,0.17173320,,
25,"Adult pigfish",3.14759398,1.00000000,0.28009361,0.28009361,0.89754039,,2.15917301,0.48395759,0.41568720,,
,"Hardhead catfish",,,,,,,,,,,
26,"Juvenile hardhead catfish",3.55483508,1.00000000,0.040693969,0.040693969,2.37384391,,6.17000008,0.36590570,0.38473970,,
27,"Adult hardhead catfish",3.55210900,1.00000000,0.25088450,0.25088450,0.72214371,,2.01083398,0.88092828,0.35912651,,
28,"Gulf butterfish",3.25397706,1.00000000,0.0005833192,0.0005833192,,2.85187006,11.4499998,0.30802330,0.24907160,,
29,"Atlantic bumper",2.00000000,1.00000000,0.0058406228,0.0058406228,,1.44772696,12.0000000,0.33212459,0.12064390,,
30,Menhaden,2.27431202,1.00000000,0.0087919049,0.0087919049,,2.26119900,19.4990005,0.30360690,0.11596490,,
31,Mojarra,3.11555195,1.00000000,0.0056797969,0.0056797969,,1.75263798,15.0000000,0.41636351,0.11684250,,
32,"Brief squid",3.83986306,1.00000000,0.0018991720,0.0018991720,,3.19752502,15.3820000,0.52304500,0.20787451,,
,"Bay anchovy",,,,,,,,,,,
33,"Juvenile bay anchovy",3.13342500,1.00000000,0.098356389,0.098356389,2.26566100,,39.7799988,0.34888369,0.05695478,,
34,"Adult bay anchovy",3.32091498,1.00000000,0.22957760,0.22957730,2.03114009,,19.5112305,0.40548089,0.10410110,,
,"Striped anchovy",,,,,,,,,,,
35,"Juvenile striped anchovy",3.13342500,1.00000000,0.0026564300,0.0026564300,2.89915991,,14.6879997,0.35787189,0.19738290,,
36,"Adult striped anchovy",3.20082903,1.00000000,0.0026130020,0.0026130029,3.17610002,,7.55337000,0.44219860,0.42048779,,
37,Sardines,3.13342500,1.00000000,0.084227070,0.084227070,,1.55618203,12.6099997,0.47704291,0.12340860,,
38,"Menidia silversides",3.17572308,1.00000000,0.21135260,0.21135260,,2.30068994,19.3999996,0.01365672,0.11859230,,
39,Hogchoker,3.07557011,1.00000000,0.0020654330,0.0020654330,,0.88418043,15.5699997,0.28048179,0.05678744,,
40,"Mantis shrimp",3.57398105,1.00000000,0.0004781776,0.0004781776,,2.19720411,18.0000000,0.36930051,0.12206690,,
41,"Roughback shrimp",2.83468509,1.00000000,0.0006361295,0.0006361295,,2.24612093,19.2000008,0.38188481,0.11698550,,
42,"Brown shrimp",2.88949895,1.00000000,0.0064468058,0.0064468058,,3.16562891,66.6500015,0.65721029,0.04749631,,
43,"Pink shrimp",2.83468509,1.00000000,0.0030338359,0.0030338359,,3.90546799,66.6500015,0.59176952,0.05859667,,
,"White shrimp",,,,,,,,,,,
44,"Juvenile white shrimp",3.37187910,1.00000000,0.017107880,0.017107880,2.76940989,,66.6500015,0.76698619,0.04155153,,
45,"Adult white shrimp",2.78856397,1.00000000,1.86538696,1.86538696,1.93540001,,18.4266205,0.72430563,0.10503280,,
46,"Arrow shrimp",2.40216708,1.00000000,0.0000200542,0.0000200542,,2.38478589,18.0000000,0.23880690,0.13248810,,
47,"Blue crab",3.27801991,1.00000000,0.012026450,0.012026450,,3.59738207,17.0400009,0.32309571,0.21111400,,
48,Oysters,2.00000000,1.00000000,622.916504,622.916504,,2.48827910,10.00000000,0.00722795,0.24882790,,
49,Zoobenthos,2.57392406,1.00000000,24.0598297,24.0598297,,4.86741686,22.0000000,0.78654993,0.22124620,,
50,Macrozooplankton,2.25397706,1.00000000,7.42844915,7.42844915,,21.9545307,67.0000000,0.73815829,0.32767960,,
51,Microzooplankton,2.00000000,1.00000000,6.12000322,6.12000322,,36.7554092,89.0000000,0.93393248,0.41298211,,
52,Seagrass,1.00000000,1.00000000,13.4779301,13.4779301,,11.0950804,,0.61471319,,,
53,Phytoplankton,1.00000000,1.00000000,32.1463394,32.1463394,,198.102997,,0.58196712,,,
54,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,,0.62552220,,,
