,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Coastal sharks",3.19005489,1.00000000,0.030029999,0.030029999,,0.33000001,3.79999995,0.09000797,0.08684211,,
2,Rays,3.29967999,1.00000000,0.090159997,0.090159997,,0.19000000,2.44000006,0.00051254,0.07786885,,
3,SmTunas,3.92183900,1.00000000,0.097000003,0.097000003,,0.55000001,5.23999977,0.11058250,0.10496180,,
4,ShLethrinids,4.02447319,1.00000000,0.13900000,0.13900000,,0.44999999,7.21999979,0.70448017,0.06232687,-0.0049999999,-0.03597122
5,RedEmperor,3.45431304,1.00000000,0.11900000,0.11900000,,0.49000001,4.59999990,0.18949109,0.10652170,-0.0049999999,-0.04201680
6,ShLutjanids,3.95495200,1.00000000,0.26499999,0.26499999,,0.40000001,5.88000011,0.73092282,0.06802721,-0.0049999999,-0.01886792
7,ShNemipterirds,3.38892508,1.00000000,2.43400002,2.43400002,,0.89999998,10.0200005,0.94090837,0.08982036,-0.0049999999,-0.00205423
8,DpNemipterids,3.45098495,1.00000000,0.97299999,0.97299999,,0.89999998,9.19999981,0.62698013,0.09782609,,
9,ShSerranids,4.22225714,1.00000000,0.028999999,0.028999999,,0.31999999,5.00000000,0.33055419,0.06400000,-0.0010000000,-0.03448276
10,FryPBream,4.32311201,1.00000000,0.048999999,0.048999999,,0.37000000,4.50000000,0.23629810,0.08222222,,
,carangids,,,,,,,,,,,
11,JuvCarangids,3.85106802,1.00000000,0.73500001,0.73500001,0.60000002,,5.51999998,0.93868828,0.10869570,,
12,AdCarangids,3.94174910,1.00000000,0.95353311,0.95353580,0.60000002,,2.98800302,0.00378725,0.20080300,,
13,SmallPelagics,2.90259790,1.00000000,11.39503956,11.39503956,,2.04999995,10.2100000,0.96329290,0.20078351,,
14,ShLizard,4.20462179,1.00000000,0.35499999,0.35499999,,0.74000001,7.09999990,0.27475250,0.10422540,,
15,DpLizard,4.17879581,1.00000000,0.11600000,0.11600000,,0.66000003,7.30000019,0.84245151,0.09041096,,
16,ShMullidae,3.58763003,1.00000000,1.84300005,1.84300005,,1.04999995,13.6099997,0.70186460,0.07714915,,
17,DpMullidae,3.58448505,1.00000000,3.29699993,3.29699993,,1.70000005,9.69999981,0.27503151,0.17525770,,
18,ShTriggerFish,3.13457108,1.00000000,0.17500000,0.17500000,,0.56999999,5.59999990,0.72868359,0.10178570,,
19,ShSweetlip,3.53981209,1.00000000,0.11100000,0.11100000,,0.44999999,5.00000000,0.11422390,0.09000000,,
20,DpPonyfish,2.51302505,1.00000000,0.92000002,0.92000002,,2.06999993,24.0000000,0.99260408,0.08625000,,
21,ShSmFish,3.13278604,1.00000000,5.97499990,5.97499990,,1.11000001,11.1800003,0.90764850,0.09928443,,
22,DpSmFish,3.16875792,1.00000000,2.59999990,2.59999990,,1.77999997,12.9600000,0.95837772,0.13734570,,
23,ShMedFish,3.52139306,1.00000000,0.34799999,0.34799999,,0.70999998,9.55000019,0.63796878,0.07434554,-0.0099999998,-0.02873563
24,DpMedFish,3.41785598,1.00000000,0.068000004,0.068000004,,0.60000002,6.48999977,0.84923732,0.09244993,-0.0049999999,-0.07352941
25,ShLgFish,3.77845502,1.00000000,0.24300000,0.24300000,,0.41999999,6.15000010,0.20194550,0.06829268,,
26,DpLgFish,4.48648214,1.00000000,0.0020000001,0.0020000001,,0.36000001,4.00000000,0.01638889,0.09000000,,
27,SessEpibenthos,2.48909211,1.00000000,6.91352892,6.91352892,,0.80000001,12.0000000,0.92726660,0.06666667,,
28,Megabenthos,2.12283897,1.00000000,11.87471962,11.87471962,,3.09999990,20.0000000,0.91284299,0.15500000,,
29,Macrofauna,2.17284012,1.00000000,166.54490662,166.54490662,,2.90000010,10.00000000,0.72583312,0.28999999,,
30,ComPrawns,2.60868001,1.00000000,7.61821508,7.61821508,,7.57000017,37.9000015,0.96488070,0.19973610,,
31,Squid,3.41713095,1.00000000,1.60975695,1.60975695,,4.59000015,17.5499992,0.78275341,0.26153851,,
32,LgZooplankton,2.11111093,1.00000000,9.18798065,9.18798065,,20.0000000,40.0000000,0.66131848,0.50000000,,
33,SmZooplankton,2.11111093,1.00000000,30.0000000,30.0000000,,40.0000000,80.0000000,0.38169351,0.50000000,,
34,PelPhytoplankton,1.00000000,1.00000000,35.0000000,35.0000000,,240.000000,,0.27057430,,,
35,BenPhytoplankton,1.00000000,1.00000000,40.0000000,40.0000000,,20.0000000,,0.68142158,,,
36,Microphytobenthos,1.00000000,1.00000000,24.0000000,24.0000000,,24.0000000,,0.96544290,,,
37,Detritus,1.00000000,1.00000000,100.0000000,100.0000000,,,,0.11560580,,,
