,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,phytoplankton,1.00000000,1.00000000,7.00000000,7.00000000,290.000000,,0.31751019,,,
2,macrophytes,1.00000000,1.00000000,3.71000004,3.71000004,4.34000015,,0.17845941,,,
3,"small zoopl",2.00000000,1.00000000,3.42941999,3.42941999,60.0000000,200.00000000,0.95000011,0.30000001,,
4,"large zoopl",2.76530600,1.00000000,6.91835690,6.91835690,5.00000000,32.0000000,0.80000001,0.15625000,,
5,Loligo,3.95888591,1.00000000,0.06647710,0.06647710,2.89000010,10.00000000,0.94999999,0.28900000,,
6,Octopus,3.60720801,1.00000000,0.01259014,0.01259014,2.89000010,10.00000000,0.94999999,0.28900000,,
7,"cephalop s",3.92236090,1.00000000,0.08776981,0.08776981,4.00000000,10.00000000,0.94999999,0.40000001,,
8,"cephalop L",4.29077005,1.00000000,0.03427866,0.03427866,2.50000000,10.00000000,0.94999999,0.25000000,,
9,lobsters,3.10938597,1.00000000,0.0044999998,0.0044999998,0.60000002,10.00000000,0.35038769,0.05999999,,
10,"shrimps crabs",2.80952406,1.00000000,1.30643106,1.30643106,1.60000002,10.00000000,0.95000011,0.16000000,,
11,"other benthos",2.17346907,1.00000000,7.93199587,7.93199587,2.00000000,16.66666985,0.94999993,0.12000000,,
12,"sea stars",2.00000000,1.00000000,0.27074331,0.27074331,0.40000001,4.44444418,0.94999993,0.090000004,,
13,"coastal S herb",2.19364095,1.00000000,0.13311020,0.13311020,1.07000005,13.0000000,0.94999993,0.08230770,,
14,"coastal S inv",3.02685595,1.00000000,0.33017910,0.33017910,2.62500000,10.5000000,0.94999999,0.25000000,,
15,"coastal S pred",3.46367407,1.00000000,0.25922990,0.25922990,0.80000001,8.39999962,0.94999999,0.09523810,,
16,"coastal M herb",2.11955810,1.00000000,0.00355970,0.00355970,0.40000001,6.00000000,0.94999999,0.06666667,,
17,"coastal M inv",3.21321893,1.00000000,0.08280028,0.08280028,0.88999999,6.90000010,0.95000011,0.12898549,,
18,"coastal M pred",3.98400092,1.00000000,0.03485069,0.03485069,0.44999999,6.59999990,0.94999999,0.06818182,,
19,"coastal L pred",4.16766977,1.00000000,0.020000000,0.020000000,0.25000000,4.09999990,0.17734560,0.06097561,,
20,"demersal S inv",3.21595097,1.00000000,0.22089230,0.22089230,2.00000000,11.6000004,0.94999999,0.17241380,,
21,"Pagellus bogaraveo",4.16738176,1.00000000,0.0060000001,0.0060000001,0.66000003,5.19999981,0.77045721,0.12692310,,
22,"demersal M inv",3.98530507,1.00000000,0.0041999999,0.0041999999,1.20000005,8.10000038,0.71610057,0.14814810,,
23,"demersal M pred",3.82193589,1.00000000,0.06840940,0.06840940,0.80000001,6.80000019,0.94999999,0.11764710,,
24,Helicolenus,3.64935088,1.00000000,0.0030000000,0.0030000000,0.80000001,7.30000019,0.53534663,0.10958900,,
25,"demersal L pred",4.22087002,1.00000000,0.024000000,0.024000000,0.58999997,4.69999981,0.61548179,0.12553190,,
26,"Phycis phycis",4.17128086,1.00000000,0.0030000000,0.0030000000,0.49000001,5.50000000,0.51459903,0.08909091,,
27,"pelagic S inv",2.50000000,1.00000000,0.30295420,0.30295420,2.59999990,11.3000002,0.94999999,0.23008850,,
28,"pelagic S pred",3.07795310,1.00000000,0.54295588,0.54295588,1.20000005,6.57999992,0.94999993,0.18237080,,
29,"pelagic M pred",3.91740990,1.00000000,0.20717660,0.20717660,0.36000001,5.19999981,0.94999999,0.06923077,,
30,"pelagic L pred",4.68415308,1.00000000,0.020000000,0.020000000,0.50000000,2.79999995,0.09389240,0.17857140,,
31,mesopelagics,3.51028895,1.00000000,2.00000000,2.00000000,3.00000000,14.3999996,0.05637773,0.20833330,,
32,"deepwater S",3.43192196,1.00000000,0.18408079,0.18408079,0.80000001,5.00000000,0.94999999,0.16000000,,
33,"deepwater M",3.51599598,1.00000000,0.00632407,0.00632407,0.30000001,8.00000000,0.94999999,0.03750000,,
34,"deepwater L",4.34933376,1.00000000,0.00033553,0.00033553,0.30000001,6.50000000,0.94999993,0.04615385,,
35,rays,3.91859603,1.00000000,0.020000000,0.020000000,0.61000001,5.80000019,0.01434426,0.10517240,,
36,"sharks M",4.09482384,1.00000000,0.029999999,0.029999999,0.50999999,6.90000010,0.13031770,0.07391304,,
37,"sharks L",4.31214905,1.00000000,0.0099999998,0.0099999998,0.30000001,3.09999990,0.11600000,0.09677420,,
38,tunas,3.84995389,1.00000000,0.030999999,0.030999999,0.69999999,3.50000000,0.51391709,0.20000000,,
39,turtles,3.76530600,1.00000000,0.0010000000,0.0010000000,0.15000001,3.50000000,0.00000000,0.04285714,,
40,birds,4.28225994,1.00000000,0.0002000000,0.0002000000,0.039999999,84.3899994,0.21125160,0.00047399,,
41,"baleen whales",4.09821510,1.00000000,0.12300000,0.12300000,0.020000000,5.56300020,0.00000000,0.00359518,,
42,Dolphins,4.70847702,1.00000000,0.0044000000,0.0044000000,0.070000000,11.4099998,0.46311331,0.00613497,,
43,"killer whales",5.30394888,1.00000000,0.0000625000,0.0000625000,0.020000000,10.2700005,0.00000000,0.00194742,,
44,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.11747140,,,
