,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplankton,1.00000000,1.00000000,2.90000010,2.90000010,576.285828,,0.12054180,,,
2,Algae,1.00000000,0.0003463880,2619.04810,0.90720677,4.34000015,,0.01601173,,,
3,"Small Zooplankton",2.00000000,1.00000000,4.52009010,4.52009010,11.2100000,43.2900009,0.89999980,0.25895119,,
4,"Large Zooplankton",2.57894707,1.00000000,3.50798988,3.50798988,4.78000021,15.5000000,0.90000010,0.30838710,,
5,Shrimp,2.76973701,1.00000000,2.29705811,2.29705811,1.45000005,9.66699982,0.94999999,0.14999481,,
6,Cephalopods,3.72371292,1.00000000,0.32472780,0.32472780,3.27999997,12.2900000,0.94999969,0.26688361,,
7,Crabs,2.26160192,1.00000000,2.03178906,2.03178906,1.60000002,10.00000000,0.95000011,0.16000000,,
8,"Benthic filter feeders",2.04999995,1.00000000,2.21151710,2.21151710,0.80000001,9.00000000,0.94999993,0.08888889,,
9,"Benthic worms",2.20000005,1.00000000,1.18152404,1.18152404,2.27999997,11.3999996,0.94999999,0.20000000,,
10,"Other benthos",2.17373705,1.00000000,1.06040502,1.06040502,3.00000000,10.00000000,0.95000023,0.30000001,,
11,"Shallow water S",3.15766191,0.0013520510,12.25712013,0.01657226,2.49239993,8.30799961,0.94999993,0.30000001,,
12,"Shallow water M",3.27783298,0.0013520510,14.47113991,0.01956572,1.25999999,6.30000019,0.95000011,0.20000000,,
13,"Shallow water L",3.57088709,0.0013520510,1.87442303,0.00253432,0.44229999,4.42299986,0.94999999,0.10000000,,
14,"Pelagic S",2.98674011,1.00000000,0.51721311,0.51721311,2.84220004,9.47399998,0.94999993,0.30000001,,
15,"Pelagic M",3.85951996,1.00000000,0.12305010,0.12305010,0.86600000,4.32999992,0.94999999,0.20000000,,
16,"Pelagic L",4.46856880,1.00000000,0.00092387,0.00092387,0.72700000,2.49600005,0.94999999,0.29126599,,
17,Mesopelagics,3.34978294,1.00000000,0.97826219,0.97826219,2.58599997,8.61999989,0.94999999,0.30000001,,
18,Bathypelagic,3.89520311,1.00000000,0.67691803,0.67691803,0.43700001,4.89599991,0.94999999,0.08925654,,
19,"Demersal S",3.55528903,0.0047885161,14.03009033,0.06718330,2.22869992,7.42899990,0.95000029,0.30000001,,
20,"Demersal M",3.83111906,0.0047885161,4.25737095,0.02038649,0.93260002,4.66300011,0.94999999,0.20000000,,
21,"Demersal L",4.31750393,0.0047885161,1.04455805,0.00500188,0.46100000,3.81800008,0.94999993,0.12074380,,
22,"Bathydemersal S",3.29004908,0.99385941,0.99059612,0.98451322,0.49500000,4.94999981,0.95000011,0.10000000,,
23,"Bathydemersal M",3.82735205,0.99385941,0.00426043,0.00423427,0.33100000,3.30999994,0.94999999,0.10000000,,
24,"Bahtydemersal L",4.39055777,0.99385941,0.00073330,0.00072880,0.35260001,3.52600002,0.95000011,0.10000000,,
25,"H. dactylopterus",4.09142113,0.0055575171,4.26836586,0.02372152,0.45660001,4.56599998,0.95000023,0.10000000,,
26,"Conger conger",4.61367798,0.0052442839,1.37584305,0.00721531,0.13400000,2.98499990,0.94999993,0.04489113,,
27,"Pontinus kuhlii",4.00159311,0.0024890970,0.40351301,0.00100438,0.25000000,3.61500001,0.94999999,0.06915630,,
28,"Raja clavata",4.24526596,0.0019429850,0.50373387,0.00097875,0.28600001,4.10400009,0.94999999,0.06968811,,
29,"Phycis phycis",4.07685184,0.0023536440,2.50166202,0.00588802,0.21900000,4.50099993,0.95000023,0.04865585,,
30,"Pagrus pagrus",3.39470100,0.0011970940,1.09004104,0.00130488,0.31600001,4.73299980,0.94999999,0.06676527,,
31,"Beryx splendens",3.74547410,0.0051468578,0.49706930,0.00255834,0.39500001,3.57500005,0.94999999,0.11048950,,
32,"Beryx decadactylus",3.73179007,0.0070270868,0.40703991,0.00286030,0.26199999,2.74300003,0.94999981,0.09551585,,
33,"Pagellus bogaraveo",4.03842878,0.0047885161,3.60387206,0.01725720,0.30500001,4.67700005,0.95000011,0.06521274,,
34,"Mora moro",4.26746702,0.99385941,0.00117616,0.00116894,0.17000000,2.68517590,0.94999993,0.06331056,,
35,"Lepidopus caudatus",4.32221508,1.00000000,0.04568135,0.04568135,0.25099999,4.78499985,0.95000011,0.05245559,,
36,"Rays and other sharks",4.15719509,0.0061405669,0.46837279,0.00287607,0.31259999,3.12599993,0.94999981,0.10000000,,
37,"DW sharks",4.53385401,0.99385941,0.00368443,0.00366181,0.35659999,3.56599998,0.94999993,0.10000000,,
38,"Pelagic sharks",4.29900217,1.00000000,0.04932551,0.04932551,0.26780000,2.67799997,0.95000011,0.10000000,,
39,Tunas,4.09220982,1.00000000,0.08856508,0.08856508,0.36399999,3.02699995,0.94999993,0.12025110,,
40,Turtles,3.62893701,1.00000000,0.04038977,0.04038977,0.15000001,3.50000000,0.94999993,0.04285714,,
41,Seabirds,4.15461493,1.00000000,0.0001000000,0.0001000000,0.25000000,84.3899994,0.23002270,0.00296244,,
42,Dolphins,4.31303883,1.00000000,0.0019000000,0.0019000000,0.10000000,11.4099998,0.38259679,0.00876424,,
43,"Baleen whales",3.49314094,1.00000000,0.020800000,0.020800000,0.059999999,5.55999994,0.46078271,0.01079137,,
44,"Toothed whales",4.63664293,1.00000000,0.056000002,0.056000002,0.020000000,10.2700005,0.13560461,0.00194742,,
45,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.05377993,,,
