,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Phytoplancton,1.00000000,1.00000000,15.6070004,15.6070004,109.000000,,0.44175941,,,
2,Bacteria,2.00000000,1.00000000,0.41289389,0.41289389,72.8000031,145.600006,0.80000001,0.50000000,,
3,Microzooplankton,2.05596590,1.00000000,5.02614689,5.02614689,45.2799988,120.000000,0.80000007,0.37733331,,
4,"Meszooplankton and Macrozooplancton",2.63391590,1.00000000,9.30849743,9.30849743,7.00000000,23.2999992,0.80000001,0.30042920,,
5,Meiofauna,2.11724710,1.00000000,1.44285405,1.44285405,15.0000000,50.00000000,0.94999999,0.30000001,,
6,Suprabenthos,2.67155409,1.00000000,2.50000000,2.50000000,5.65999985,37.49882889,0.94999999,0.15093800,,
7,"Benthic inv. deposit feeders (Surface)",2.22310901,1.00000000,12.76968956,12.76968956,0.88999999,9.86999989,0.80000001,0.09017224,,
8,"Benthic inv. deposit feeders (Subsurface)",2.00000000,1.00000000,1.89934003,1.89934003,3.00000000,20.0000000,0.80000001,0.15000001,,
9,"King scallop",2.00000000,1.00000000,0.55809557,0.55809557,0.89999998,4.50000000,0.80000001,0.20000000,,
10,"Benthic inv. bivalves filter feeders",2.13449407,1.00000000,1.43904698,1.43904698,0.60000002,3.00000000,0.80000001,0.20000000,,
11,"Benthic inv. filter feeders",2.56227589,1.00000000,4.19835997,4.19835997,2.40000010,10.00000000,0.79999250,0.23999999,,
12,"Benthic inv. predators",3.18263507,1.00000000,6.92356396,6.92356396,2.24000001,5.16718102,0.48541820,0.43350521,,
13,"Fish limande",3.30101705,1.00000000,0.25038999,0.25038999,0.71034962,3.89173698,0.60379171,0.18252760,,
14,"Fish flounder",3.61374092,1.00000000,0.19824430,0.19824430,0.56667119,3.18691492,0.78014261,0.17781180,,
15,"Fish european plaice",3.41652489,1.00000000,0.46856710,0.46856710,0.68695623,3.37057710,0.79497772,0.20380969,,
16,"Fish sole",3.27754998,1.00000000,0.25737560,0.25737560,1.26452398,4.20395899,0.66435659,0.30079359,,
17,"Fish sea bream",3.36795497,1.00000000,0.28859451,0.28859451,0.67797732,3.98604298,0.75192219,0.17008780,,
18,"Fish benthos feeders",3.82580090,1.00000000,0.90881872,0.90881872,0.87149233,3.93604302,0.97429878,0.22141330,,
19,"Fish planctivorous",3.27426910,1.00000000,0.49357730,0.49357730,1.24000001,4.72455978,0.93601632,0.26245829,,
20,"Fish piscivorous",4.25643778,1.00000000,0.40211129,0.40211129,0.70520031,2.48971510,0.96842080,0.28324541,,
21,"Fish european sprat",3.40562606,1.00000000,0.34488150,0.34488150,1.10594201,8.66547966,0.95886672,0.12762620,,
22,"Fish european pilchard",3.40273595,1.00000000,1.32660496,1.32660496,1.68783605,6.33537483,0.99726909,0.26641461,,
23,"Fish poor cod",3.77139091,1.00000000,0.35381681,0.35381681,0.77471519,4.78752518,0.81983978,0.16181950,,
24,"Fish pouting",3.93915510,1.00000000,1.14162600,1.14162600,0.70837539,3.02548003,0.90098351,0.23413651,,
25,"Fish gurnard",3.71216297,1.00000000,0.11487080,0.11487080,1.09468305,3.24051905,0.99535477,0.33781099,,
26,"Fish atlantic horse mackerel",3.87886000,1.00000000,0.85000002,0.85000002,0.40189400,3.01188397,0.87499619,0.13343610,,
27,"Fish whiting",4.27459908,1.00000000,0.29781920,0.29781920,0.95917910,2.86096191,0.75462061,0.33526450,,
28,"Fish atlantic cod",4.17789078,1.00000000,0.45669439,0.45669439,0.36653450,1.97802997,0.93952543,0.18530279,,
29,"Fish sharks",4.30717516,1.00000000,0.50000000,0.50000000,0.25426251,2.20657992,0.85281342,0.11522920,,
30,"Fish rays",4.13474417,1.00000000,0.10050900,0.10050900,0.22383130,2.10119104,0.24375729,0.10652590,,
31,"Fish european seabass",4.08674908,1.00000000,0.18120840,0.18120840,0.25279009,2.62819695,0.75707883,0.09618384,,
32,"Fish mackerel",3.70668411,1.00000000,0.40781921,0.40781921,0.81659043,5.86988401,0.95477879,0.13911530,,
33,"Benthic cephalopods",4.01400709,1.00000000,0.15000001,0.15000001,3.50000000,15.0000000,0.54000741,0.23333330,,
34,"Benthopelagic cephalopods",4.28961182,1.00000000,0.10000000,0.10000000,3.00000000,15.0000000,0.91555911,0.20000000,,
35,"Surface feeders seabirds",4.32752180,1.00000000,0.0009906010,0.0009906010,0.28000000,69.2034912,0.00000000,0.00404604,,
36,"Plunge and pursuit divers seabirds",4.30191898,1.00000000,0.0053654918,0.0053654918,0.28000000,58.6758804,0.00000000,0.00477198,,
37,"Benthic feeders seabirds",3.57375908,1.00000000,0.0003306610,0.0003306610,0.28000000,64.1202469,0.00000000,0.00436680,,
38,Phocidae,4.83554697,1.00000000,0.0004854010,0.0004854010,0.039999999,15.8999996,0.00000000,0.00251572,,
39,"Harbour porpoises",4.89800787,1.00000000,0.0094951801,0.0094951801,0.039999999,40.7000008,0.00000000,0.00098280,,
40,"Bottlenose dolphins",5.00193405,1.00000000,0.0060245572,0.0060245572,0.079999998,23.6399994,0.00000000,0.00338409,,
41,Discards,1.00000000,1.00000000,0.025000000,0.025000000,0.079999998,,0.77597362,,,
42,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,0.19774251,,,
