,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Requins,4.27906895,1.00000000,0.0010000000,0.0010000000,0.12899999,4.99100018,0.00154032,0.02584652,,
2,Dauphins,3.94005990,1.00000000,0.0004750000,0.0004750000,0.070000000,12.1199999,0.00000000,0.00577558,,
3,Oiseaux,3.48068190,1.00000000,0.0024000001,0.0024000001,0.50000000,79.5000000,0.00001656,0.00628931,,
4,Raies,3.23381209,1.00000000,0.090000004,0.090000004,0.39800000,3.39100003,0.63725322,0.11736950,,
5,"Otolithes +",3.59419489,1.00000000,0.37599999,0.37599999,0.35400000,7.16900015,0.84106767,0.04937927,,
6,"Barracudas +",3.84633803,1.00000000,0.22000000,0.22000000,0.32600001,6.18200016,0.37702090,0.05273374,,
7,"Grand capitaine",3.65893102,1.00000000,0.19800000,0.19800000,0.30000001,6.53499985,0.69054347,0.04590666,,
8,"Vivaneaux +",3.29943395,1.00000000,0.41100001,0.41100001,0.43200001,9.88700008,0.70733732,0.04369374,,
9,"Tétrodon +",3.30961299,1.00000000,0.26100001,0.26100001,0.31200001,6.13399982,0.93810868,0.05086404,,
10,"Diagramme +",3.15292811,1.00000000,0.12600000,0.12600000,0.60500002,10.6260004,0.73792768,0.05693582,,
11,"Pompaneau +",3.29620790,1.00000000,0.63400000,0.63400000,0.39199999,6.41200018,0.75799590,0.06113537,,
12,Carangues,3.38127208,1.00000000,0.11000000,0.11000000,0.72399998,17.4869995,0.77239943,0.04140218,,
13,"Mâchoirons mari",3.38312197,1.00000000,1.34099996,1.34099996,0.42699999,9.73900032,0.71915329,0.04384433,,
14,Elops,3.47140789,1.00000000,0.15800001,0.15800001,0.39100000,10.2930002,0.91218197,0.03798698,,
15,"Breton africain",3.16334105,1.00000000,0.088000000,0.088000000,0.98600000,18.2689991,0.76523918,0.05397121,,
16,"Sole-langue +",3.25288892,1.00000000,0.023000000,0.023000000,0.38100001,6.51300001,0.75297612,0.05849839,,
17,"Sardinelle +",2.75087690,1.00000000,0.28299999,0.28299999,1.09599996,18.1189995,0.58055699,0.06048899,,
18,Gerres,3.03325701,1.00000000,0.27399999,0.27399999,1.05200005,13.6359997,0.55920959,0.07714873,,
19,Ethmalose,2.57221699,1.00000000,0.35299999,0.35299999,0.93099999,28.9780006,0.57855642,0.03212782,,
20,Mulets,2.67161107,1.00000000,0.60000002,0.60000002,0.73199999,28.4790001,0.63388270,0.02570315,,
21,Pomadasys,3.18029690,1.00000000,0.29100001,0.29100001,0.58399999,9.71199989,0.68400931,0.06013180,,
22,Tilapias,2.03161311,1.00000000,0.16200000,0.16200000,0.92900002,33.9259987,0.52065909,0.02738313,,
23,"Petits benthoph",2.35220098,1.00000000,0.40117940,0.40117940,3.45499992,19.8869991,0.79300010,0.17373160,,
24,Crevettes,2.53269506,1.00000000,2.78833103,2.78833103,5.20400000,22.0000000,0.80100012,0.23654550,,
25,Crabes,2.73723507,1.00000000,3.85837293,3.85837293,2.58299994,8.50000000,0.79299998,0.30388239,,
26,Macrobenthos,2.00000000,1.00000000,61.25616837,61.25616837,1.13300002,10.00000000,0.41400000,0.11330000,,
27,Meiobenthos,2.11642694,1.00000000,7.78757811,7.78757811,3.94400001,50.0000000,0.76700002,0.07888000,,
28,Zooplancton,2.05263209,1.00000000,4.22789001,4.22789001,49.8470001,150.000000,0.55500001,0.33231330,,
29,Phytoplancton,1.00000000,1.00000000,13.85783958,13.85783958,138.000000,,0.47799999,,,
30,Microphytobenth,1.00000000,1.00000000,27.25781059,27.25781059,15.0000000,,0.46700001,,,
31,Detritus,1.00000000,1.00000000,1.00000000,1.00000000,,,0.30144149,,,
