,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,"Large pelagics",4.35666609,1.00000000,0.05111111,0.05111111,1.00000000,4.30700016,0.89999998,0.23218019,,
2,"Large demersal",4.47666693,1.00000000,0.082000002,0.082000002,1.14999998,4.16400003,0.12725340,0.27617681,,
3,Merlangius,3.76666689,1.00000000,0.40000001,0.40000001,1.63000000,8.76000023,0.99450982,0.18607301,,
4,"Mullus and Spicara",3.00000000,1.00000000,0.085000001,0.085000001,2.50000000,8.57499981,0.89976478,0.29154521,,
5,"Small pelagics",3.20000005,1.00000000,1.00000000,1.00000000,2.50000000,9.80200005,0.96421719,0.25505000,,
6,"Belone and Scomber",4.19999981,1.00000000,0.01466968,0.01466968,2.50000000,6.84399986,0.89999998,0.36528349,,
7,Zoobenthos,2.00000000,1.00000000,70.0000000,70.0000000,2.50000000,10.00000000,0.01236926,0.25000000,,
8,Mesozooplankton,2.00000000,1.00000000,7.45482397,7.45482397,40.0000000,200.000000,0.89999998,0.20000000,,
9,Ciliates,3.00000000,1.00000000,3.00000000,3.00000000,100.0000000,300.000000,0.01581667,0.33333331,,
10,Chaetognaths,2.79999995,1.00000000,0.55000001,0.55000001,29.0000000,74.0000000,0.06145454,0.39189190,,
11,Jellies,2.94300008,1.00000000,315.000000,315.000000,0.50000000,2.00000000,0.00000000,0.25000000,,
12,Appendicularians,4.00000000,1.00000000,0.064999998,0.064999998,29.0000000,73.0000000,0.98043507,0.39726031,,
13,Noctituca,2.20000005,1.00000000,7.30000019,7.30000019,40.0000000,200.000000,0.93270552,0.20000000,,
14,Bacteria,2.00000000,1.00000000,7.50000000,7.50000000,1022.00000,2044.00000000,0.16019700,0.50000000,,
15,Phytoplankton,1.00000000,1.00000000,60.0000000,60.0000000,330.000000,,0.15258460,,,
16,Detritus,1.00000000,1.00000000,200.000000,200.000000,,,0.56276232,,,
