,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
1,Dolphin,5.04372215,1.00000000,0.0068750000,0.0068750000,0.075360090,10.3714304,0.00000000,0.00726612,,
2,"Dentex dentex",4.57044506,1.00000000,0.11124300,0.11124300,0.40346819,4.39427090,0.27232859,0.09181686,,
3,"Epinephelus marginatus",4.41987610,1.00000000,0.14592320,0.14592320,0.30799270,2.59102201,0.09518450,0.11886920,,
4,"Seriola dumerili",4.34705877,1.00000000,0.098167337,0.098167337,0.56146431,3.47692800,0.32655230,0.16148290,,
5,Sharks,4.34098291,1.00000000,0.23395160,0.23395160,0.40796041,3.91105604,0.11316790,0.10430950,,
6,Sphyranidae,4.31840611,1.00000000,0.042449109,0.042449109,0.45966440,4.87028790,0.50829703,0.09438136,,
7,"European shag",4.25021315,1.00000000,0.0010827880,0.0010827880,0.68000001,55.8600006,0.00000000,0.01217329,,
8,"Scorpaena scrofa",4.21931982,1.00000000,0.23475990,0.23475990,0.43832931,4.63588905,0.74489778,0.09455130,,
9,Piscivorous,4.04431677,1.00000000,1.12129402,1.12129402,0.45270869,3.84515405,0.69999999,0.11773490,,
10,Rays,4.01003313,1.00000000,0.10191010,0.10191010,0.43125620,3.25574088,0.47927231,0.13246021,,
11,"Suprabenthic cephalopods",4.01169205,1.00000000,0.43189830,0.43189830,3.04873300,9.07854843,0.56000000,0.33581719,,
12,"Benthic cephalopods",3.87206888,1.00000000,0.83690929,0.83690929,1.73507595,6.37734699,0.80000007,0.27206859,,
13,BIF,3.87038589,1.00000000,0.23937120,0.23937120,0.81221080,6.81449223,0.79824179,0.11918870,,
14,"Mullus surmuletus",3.73430300,1.00000000,0.051041551,0.051041551,0.91377717,6.43318510,0.73921949,0.14204121,,
15,Serranidae,3.67693305,1.00000000,0.23811470,0.23811470,0.76276648,6.95951986,0.53981239,0.10960040,,
16,"Sciaena umbra",3.65643406,1.00000000,0.041339520,0.041339520,0.48819670,3.73309302,0.45274481,0.13077541,,
17,SIF,3.63290191,1.00000000,0.18131609,0.18131609,0.68223977,6.44266176,0.78428900,0.10589410,,
18,Labridae,3.40902090,1.00000000,0.31091771,0.31091771,0.66120172,6.90748501,0.75995350,0.09572250,,
19,Sparidae,3.21048093,1.00000000,0.91772348,0.91772348,0.56161892,5.30348301,0.81361198,0.10589620,,
20,Planktivorous,3.18036294,1.00000000,5.42213011,5.42213011,1.23993194,7.83008099,0.72000009,0.15835489,,
21,"Chromis chromis",3.16511798,1.00000000,0.43584469,0.43584469,0.98742551,8.09529972,0.94936937,0.12197520,,
22,"Homarus gammarus",3.15316701,1.00000000,0.12916480,0.12916480,1.20348096,6.05961800,0.83060759,0.19860670,,
23,"Palinurus elephas",3.09785700,1.00000000,0.43365240,0.43365240,0.96690190,6.05961800,0.65045083,0.15956479,,
24,Shrimps,3.05854511,1.00000000,1.99324405,1.99324405,3.27816391,10.1924496,0.94999993,0.32162669,,
25,"Benthic crustaceans",2.66639996,1.00000000,10.0019999,10.0019999,11.2421904,33.2215881,0.93079817,0.33840019,,
26,Gelatinous,2.61984110,1.00000000,0.16090161,0.16090161,14.7799997,53.7976799,0.25360781,0.27473301,,
27,Gastropods,2.36886001,1.00000000,10.56690025,10.56690025,1.91049004,10.7243500,0.98999977,0.17814510,,
28,Cnidaria,2.19158697,1.00000000,2.66926908,2.66926908,1.05953002,8.74841404,0.94252998,0.12111110,,
29,Echinoderms,2.21995091,1.00000000,4.73423815,4.73423815,0.48409680,2.65105200,0.83301878,0.18260550,,
30,Zooplankton,2.12698388,1.00000000,6.30577183,6.30577183,47.8356514,162.641205,0.94999999,0.29411769,,
31,Bivalvia,2.00000000,1.00000000,15.90110016,15.90110016,2.39123297,15.4263697,0.98999989,0.15500940,,
32,"Sarpa salpa",2.02592111,1.00000000,0.36539721,0.36539721,0.71736681,5.09352112,0.62835062,0.14083910,,
33,Worms,2.25630903,1.00000000,8.26230907,8.26230907,7.45492506,39.8659096,0.94556928,0.18700001,,
34,"Paracentrotus lividus",2.00000000,1.00000000,0.12483890,0.12483890,0.22866599,1.23449802,0.87886667,0.18522990,,
35,Phytobenthos,1.00000000,1.00000000,0.76831478,0.76831478,6.40512323,,0.89999998,,,
36,Phytoplankton,1.00000000,1.00000000,4.99169016,4.99169016,107.773697,,0.91116267,,,
37,"Sea grass",1.00000000,1.00000000,31.5008297,31.5008297,0.73087502,,0.29925099,,,
38,Macroalgae,1.00000000,1.00000000,173.551193,173.551193,13.0976896,,0.09231403,,,
39,Detritus,1.00000000,1.00000000,83.1246872,83.1246872,,,0.22811830,,,
