,"Group name","Trophic level","Hab area (proportion)","Biomass in habitat area (t/km^2)","Biomass (t/km^2)","Total mortality (/year)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Production / consumption (/year)","Biomass accumulation (t/km^2)","BA rate (/year)"
,arrowtooth,,,,,,,,,,,
1,"arrowtooth juv.",3.79886889,1.00000000,0.0078215087,0.0078215087,0.50000000,,4.42278481,0.65693241,0.11305090,,
2,"arrowtooth ad.",3.83296108,1.00000000,0.070000030,0.070000179,0.30000001,,2.00002694,0.69064587,0.14999799,,
,P.Cod,,,,,,,,,,,
3,"P. cod juv.",3.66338301,1.00000000,0.17621170,0.17621170,0.80000001,,3.42176104,0.24546500,0.23379770,,
4,"P. cod ad.",3.65992689,1.00000000,0.30000019,0.30000019,0.66000003,,1.79999900,0.28918159,0.36666691,,
,"P. halibut",,,,,,,,,,,
5,"P. halibut juv.",3.74694300,1.00000000,0.022617090,0.022617090,0.50000000,,2.55046606,0.18923759,0.19604260,,
6,"P. halibut ad.",3.98318195,1.00000000,0.17500010,0.17500010,0.30000001,,0.99999928,0.57142818,0.30000019,,
,sablefish,,,,,,,,,,,
7,"sablefish juv.",3.80162001,1.00000000,0.066242933,0.066242933,0.30000001,,4.41281605,0.72712177,0.06798380,,
8,"sablefish ad.",3.55296397,1.00000000,0.40000010,0.40000010,0.20000000,,2.20000005,0.23286240,0.09090909,,
,pollock,,,,,,,,,,,
9,"pollock juv.",3.63805199,1.00000000,0.024260931,0.024260931,0.80000001,,6.71485615,0.83132231,0.11913880,,
10,"pollock ad.",3.50445104,1.00000000,0.69999993,0.69999969,0.40000001,,2.00000095,0.58463973,0.19999990,,
,herring,,,,,,,,,,,
11,"herring juv.",3.34170008,1.00000000,1.22684002,1.22684002,0.80000001,,7.29907084,0.64081597,0.10960300,,
12,"herring ad.",3.27782607,1.00000000,2.00000000,1.99999797,0.64999998,,4.39997578,0.92312622,0.14772810,,
13,"birds pelag pisciv",4.32735682,1.00000000,0.0007100000,0.0007100000,,0.15868869,254.009995,0.00000000,0.00062473,,
14,"birds demer pisciv",4.37919188,1.00000000,0.0034000000,0.0034000000,,0.17614961,164.944595,0.00000000,0.00106793,,
15,"birds zooplanktiv",3.50417709,1.00000000,0.0028800000,0.0028800000,,0.18632960,247.941696,0.00000000,0.00075151,,
16,odontocetae,4.71846485,1.00000000,0.035999998,0.035999998,,0.029999999,13.1000004,0.00000000,0.00229008,,
17,mysticetae,3.44280410,1.00000000,0.15500000,0.15500000,,0.020000000,13.3699999,0.00000000,0.00149589,,
18,"sea lions",4.58217478,1.00000000,0.018999999,0.018999999,,0.059999999,12.6999998,0.00000000,0.00472441,,
19,seals,4.74266481,1.00000000,0.039999999,0.039999999,,0.16000000,15.9499998,0.00000000,0.01003135,,
20,"salmon shark",4.96187687,1.00000000,0.020000000,0.020000000,,0.20000000,1.20000005,0.00000000,0.16666670,,
21,"pelagic sharks",4.84797478,1.00000000,0.029999999,0.029999999,,0.14000000,1.00000000,0.00000000,0.14000000,,
22,dogfish,3.83432102,1.00000000,1.29999995,1.29999995,,0.10000000,2.70000005,0.70747691,0.03703704,,
23,"rajidae / ratfish",3.34825993,1.00000000,0.83499998,0.83499998,,0.30000001,1.31975996,0.71106613,0.22731410,,
24,pink,3.90381002,1.00000000,0.20000000,0.20000000,,1.39999998,8.89999962,0.66085261,0.15730339,,
25,chum,3.83769202,1.00000000,0.40000001,0.40000001,,1.00000000,7.00000000,0.80890679,0.14285710,,
26,sockeye,4.13346195,1.00000000,0.20000000,0.20000000,,1.26999998,8.39999962,0.74994338,0.15119050,,
27,coho,4.29022503,1.00000000,0.25000000,0.25000000,,1.10000002,7.69999981,0.52353090,0.14285710,,
28,chinook,4.21033716,1.00000000,0.38999999,0.38999999,,0.74000001,5.00000000,0.59665632,0.14800000,,
29,"Pac. Ocean perch",3.37737203,1.00000000,0.50000000,0.50000000,,0.10000000,2.40000010,0.82902592,0.04166666,,
30,"rockfish other",3.54778695,1.00000000,1.00000000,1.00000000,,0.18000001,2.59999990,0.82191199,0.06923077,,
31,"Pac. hake",3.33378506,1.00000000,0.93000001,0.93000001,,0.50000000,2.40000010,0.94205379,0.20833330,,
32,lingcod,4.39012909,1.00000000,0.36300001,0.36300001,,0.23999999,2.40000010,0.35697889,0.10000000,,
33,"yellowfin sole",3.37204194,1.00000000,0.0010000000,0.0010000000,,0.19000000,2.40000010,0.00000000,0.07916667,,
34,"rock sole",3.40381193,1.00000000,0.14399999,0.14399999,,0.22000000,2.29999995,0.62930870,0.09565218,,
35,"flatfish other",3.40538692,1.00000000,1.29999995,1.29999995,,0.60000002,3.00000000,0.73725682,0.20000000,,
36,myctophids,3.28415704,1.00000000,4.50000000,4.50000000,,0.50000000,6.80000019,0.60345829,0.07352941,,
37,"misc. small demersals",3.60055709,1.00000000,7.00000000,7.00000000,,1.57679999,5.25600004,0.51871878,0.30000001,,
38,"misc. pred. pelagics",4.48806715,1.00000000,0.20999999,0.20999999,,0.44999999,6.59999990,0.33361900,0.06818182,,
39,"misc. small pelagics",3.55599499,1.00000000,7.45172977,7.45172977,,2.29999995,7.66666603,0.94999999,0.30000001,,
40,krill,2.12516499,1.00000000,18.0000000,18.0000000,,6.00000000,24.7999992,0.90583229,0.24193551,,
41,"carn. zooplankton",3.00658798,1.00000000,25.0000000,25.0000000,,7.00000000,20.0000000,0.92842889,0.34999999,,
42,"herb. zooplankton",2.00000000,1.00000000,25.0000000,25.0000000,,27.0000000,80.0000000,0.83676368,0.33750001,,
43,jellies,3.20757198,1.00000000,12.5000000,12.5000000,,9.60000038,13.0000000,0.07242033,0.73846161,,
44,"large squids",4.16449881,1.00000000,0.50000000,0.50000000,,2.59999990,6.40000010,0.14281660,0.40625000,,
45,"small squids",3.56237411,1.00000000,2.67933512,2.67933512,,3.00000000,15.0000000,0.89999992,0.20000000,,
46,shrimps,3.03293800,1.00000000,5.65000010,5.65000010,,1.20000005,9.66699982,0.69812489,0.12413370,,
47,crabs,2.82434392,1.00000000,3.79999995,3.79999995,,1.50000000,3.50000000,0.69058251,0.42857140,,
48,bivalves,2.25065899,1.00000000,7.69999981,7.69999981,,0.89999998,4.50000000,0.30728751,0.20000000,,
49,echinoderms,2.75160289,1.00000000,14.8000002,14.8000002,,0.30000001,1.20000005,0.62311828,0.25000000,,
50,"other benthos",2.07371902,1.00000000,43.0000000,43.0000000,,4.50000000,15.00000000,0.52160817,0.30000001,,
51,phytoplankton,1.00000000,1.00000000,22.0000000,22.0000000,,130.000000,,0.95675439,,,
52,macrophytes,1.00000000,1.00000000,9.00000000,9.00000000,,9.00000000,,0.86753070,,,
53,Detritus,1.00000000,1.00000000,10.00000000,10.00000000,,,,0.23513290,,,
